Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Augsburg,2,34.0,46,2,2,11,1,46.1,0.27,+1.1,+0.03,285,605,47.1,926,148,48.6,40.8,260,59.6,48.0,266,22,8.3,26,0.76,14.6
Bayern Munich,3,34.0,28,1,1,2,3,28.0,0.27,+3.0,+0.09,158,387,40.8,909,156,35.2,34.1,153,43.8,41.5,188,14,7.4,29,0.85,16.8
Dortmund,2,34.0,47,2,1,4,0,51.6,0.34,+4.6,+0.14,188,543,34.6,1061,170,36.4,36.2,227,69.2,55.4,275,27,9.8,39,1.15,17.5
Eint Frankfurt,1,34.0,45,2,2,8,2,41.0,0.30,-2.0,-0.06,282,704,40.1,1060,164,50.8,41.5,216,76.9,58.9,301,24,8.0,35,1.03,15.2
Freiburg,2,34.0,56,4,1,9,4,46.7,0.30,-5.3,-0.16,345,850,40.6,1074,124,53.3,43.1,312,89.1,66.2,354,23,6.5,32,0.94,18.0
Hamburger SV,2,34.0,53,3,1,5,1,52.8,0.37,+0.8,+0.02,206,645,31.9,988,119,48.0,40.8,244,70.1,54.8,252,18,7.1,31,0.91,16.0
Hannover 96,2,34.0,54,2,1,12,0,52.7,0.30,-1.3,-0.04,291,633,46.0,947,168,49.0,38.6,278,60.8,45.0,329,13,4.0,23,0.68,15.1
Hertha BSC,2,34.0,46,6,0,8,1,40.1,0.25,-4.9,-0.14,324,853,38.0,968,96,65.1,46.7,261,85.4,61.2,317,20,6.3,17,0.50,13.4
Hoffenheim,1,34.0,48,3,1,9,3,41.2,0.27,-3.8,-0.11,219,620,35.3,1175,174,40.8,35.9,230,61.3,48.7,311,20,6.4,37,1.09,15.6
Köln,1,34.0,70,8,0,7,0,71.8,0.33,+1.8,+0.05,293,755,38.8,774,82,66.3,48.9,279,86.7,61.7,370,28,7.6,33,0.97,15.7
Leverkusen,2,34.0,44,5,2,3,0,37.7,0.30,-6.3,-0.18,220,590,37.3,1014,137,44.2,38.6,231,61.5,50.2,229,12,5.2,33,0.97,18.0
M'Gladbach,2,34.0,52,4,0,6,1,50.8,0.29,-0.2,-0.01,233,610,38.2,1134,146,39.4,36.4,257,63.4,49.3,356,28,7.9,22,0.65,14.5
Mainz 05,3,34.0,52,5,1,10,1,49.7,0.34,-1.3,-0.04,212,614,34.5,802,143,51.1,41.7,255,80.0,59.2,297,21,7.1,34,1.00,15.4
RB Leipzig,2,34.0,53,5,0,9,0,52.1,0.33,-0.9,-0.03,233,564,41.3,903,147,45.7,39.5,200,75.5,55.5,284,24,8.5,36,1.06,17.4
Schalke 04,2,34.0,37,3,0,3,1,33.6,0.26,-2.4,-0.07,186,509,36.5,712,125,49.7,41.1,226,68.6,50.8,295,37,12.5,15,0.44,14.2
Stuttgart,1,34.0,36,4,2,2,0,42.8,0.27,+6.8,+0.20,299,880,34.0,1015,111,63.6,46.8,279,83.9,62.8,359,28,7.8,23,0.68,14.9
Werder Bremen,1,34.0,40,2,0,6,2,44.1,0.26,+6.1,+0.18,250,613,40.8,901,175,50.9,42.4,244,63.1,51.7,282,18,6.4,14,0.41,13.3
Wolfsburg,1,34.0,48,6,1,5,2,51.3,0.31,+5.3,+0.16,269,704,38.2,1026,198,49.9,41.1,270,71.1,55.1,298,35,11.7,22,0.65,13.6
