Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Alavés,3,38.0,59,12,3,3,0,57.0,0.32,-2.0,-0.05,401,881,45.5,787,110,71.5,50.4,348,91.4,62.5,356,22,6.2,18,0.47,14.0
Athletic Club,2,38.0,38,5,2,4,2,43.1,0.33,+7.1,+0.19,363,871,41.7,978,168,61.8,47.1,298,89.6,65.6,384,29,7.6,18,0.47,13.7
Atlético Madrid,2,38.0,27,3,1,4,3,25.2,0.22,+1.2,+0.03,263,659,39.9,651,112,64.2,46.9,315,76.5,56.5,349,19,5.4,18,0.47,14.0
Barcelona,2,38.0,38,6,2,1,0,36.3,0.27,-1.7,-0.05,209,348,60.1,1247,182,22.5,28.6,234,28.6,30.4,279,13,4.7,28,0.74,15.0
Betis,2,38.0,60,11,1,4,1,52.6,0.30,-6.4,-0.17,208,540,38.5,1065,169,38.9,36.2,281,44.8,40.4,354,24,6.8,29,0.76,15.2
Celta Vigo,3,38.0,49,5,3,3,0,46.4,0.30,-2.6,-0.07,236,638,37.0,791,132,51.8,41.7,341,66.9,52.5,393,26,6.6,13,0.34,14.5
Eibar,2,38.0,56,4,2,3,1,47.9,0.35,-7.1,-0.19,311,922,33.7,886,97,74.7,58.3,269,96.7,76.1,303,21,6.9,51,1.34,17.1
Espanyol,2,38.0,58,6,0,6,2,50.8,0.29,-5.2,-0.14,237,721,32.9,899,133,55.6,44.6,317,69.7,51.8,315,27,8.6,31,0.82,14.6
Getafe,1,38.0,37,5,0,2,1,38.1,0.33,+2.1,+0.05,369,987,37.4,871,41,86.3,58.8,259,90.7,61.4,262,30,11.5,49,1.29,17.0
Granada,2,38.0,45,4,1,5,0,44.9,0.28,-0.1,0.00,378,979,38.6,1081,136,66.3,49.2,326,80.4,59.7,362,40,11.0,44,1.16,15.6
Leganés,2,38.0,51,6,2,8,1,45.2,0.30,-4.8,-0.13,279,798,35.0,827,167,65.2,50.4,293,88.4,66.6,342,39,11.4,41,1.08,16.5
Levante,2,38.0,53,3,1,9,2,58.9,0.27,+7.9,+0.21,211,579,36.4,824,202,49.9,41.6,357,47.1,40.8,412,27,6.6,31,0.82,14.1
Mallorca,3,38.0,65,15,2,8,1,61.4,0.28,-2.6,-0.07,266,720,36.9,932,189,56.1,43.4,321,61.4,50.4,373,37,9.9,25,0.66,13.7
Osasuna,3,38.0,54,5,3,5,0,49.5,0.33,-4.5,-0.12,345,934,36.9,899,141,74.1,52.7,304,88.2,62.8,341,28,8.2,29,0.76,14.9
Real Madrid,2,38.0,25,2,0,5,0,27.5,0.25,+2.5,+0.07,106,347,30.5,971,226,25.3,32.5,248,40.7,40.5,324,26,8.0,27,0.71,14.7
Real Sociedad,2,38.0,48,7,2,4,1,41.5,0.25,-5.5,-0.14,271,576,47.0,1125,138,35.9,35.2,243,70.8,51.9,291,24,8.2,34,0.89,16.8
Sevilla,2,38.0,34,3,3,3,1,30.1,0.24,-2.9,-0.08,220,501,43.9,811,179,40.3,37.2,280,62.1,48.6,300,23,7.7,18,0.47,14.2
Valencia,2,38.0,53,7,3,7,1,50.7,0.25,-1.3,-0.03,246,668,36.8,878,194,48.4,39.2,338,71.9,55.4,442,28,6.3,18,0.47,12.8
Valladolid,3,38.0,43,7,2,5,0,49.3,0.32,+6.3,+0.17,266,837,31.8,794,129,67.5,49.0,366,82.2,59.7,395,20,5.1,14,0.37,12.0
Villarreal,2,38.0,49,8,0,10,2,46.4,0.24,-0.6,-0.02,189,506,37.4,867,165,38.3,36.4,324,53.7,44.2,400,22,5.5,19,0.50,13.6
