Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Amiens,1,28.0,50,1,1,13,1,41.0,0.29,-8.0,-0.29,231,521,44.3,567,95,55.7,43.6,254,80.7,55.4,269,15,5.6,11,0.39,13.7
Angers,2,28.0,33,3,1,1,1,25.9,0.27,-6.1,-0.22,162,412,39.3,528,124,47.3,39.8,222,73.0,52.4,215,17,7.9,22,0.79,14.8
Bordeaux,1,28.0,34,2,0,4,1,31.2,0.27,-1.8,-0.07,207,446,46.4,642,96,48.0,38.8,244,56.6,43.7,273,16,5.9,16,0.57,14.5
Brest,2,28.0,37,4,0,5,0,43.4,0.28,+6.4,+0.23,189,469,40.3,828,150,43.5,39.3,241,45.2,39.2,321,28,8.7,19,0.68,14.3
Dijon,2,28.0,37,1,2,5,2,35.4,0.27,+0.4,+0.02,230,522,44.1,809,166,44.5,38.6,249,65.1,48.5,281,35,12.5,10,0.36,13.2
Lille,1,28.0,27,4,1,1,3,24.2,0.26,+0.2,+0.01,158,425,37.2,562,142,49.1,41.7,200,74.5,58.8,200,23,11.5,9,0.32,13.8
Lyon,2,28.0,27,2,1,2,3,25.9,0.25,+1.9,+0.07,142,285,49.8,685,155,29.9,32.0,192,41.7,38.2,227,18,7.9,17,0.61,14.9
Marseille,2,28.0,29,4,0,2,3,29.3,0.27,+3.3,+0.12,141,414,34.1,739,141,43.2,39.5,156,60.9,48.1,206,15,7.3,19,0.68,14.6
Metz,2,28.0,35,4,0,6,0,37.7,0.26,+2.7,+0.10,235,666,35.3,711,117,66.0,49.4,220,89.5,64.6,292,36,12.3,28,1.00,15.7
Monaco,1,28.0,44,6,0,8,1,41.1,0.28,-1.9,-0.07,175,378,46.3,639,136,39.9,36.6,209,58.9,45.1,250,26,10.4,12,0.43,14.3
Montpellier,3,28.0,34,3,1,4,2,30.8,0.21,-1.2,-0.04,238,458,52.0,747,170,42.0,37.3,230,62.6,48.3,244,22,9.0,28,1.00,16.0
Nantes,2,28.0,31,3,0,4,0,28.4,0.26,-2.6,-0.09,168,495,33.9,706,133,48.6,41.0,198,76.8,55.0,231,15,6.5,23,0.82,15.8
Nice,2,28.0,38,5,0,7,2,46.6,0.32,+10.6,+0.38,90,226,39.8,620,148,23.2,28.0,226,36.3,35.0,284,18,6.3,9,0.32,13.6
Nîmes,2,28.0,44,4,1,5,1,39.7,0.32,-3.3,-0.12,161,479,33.6,587,82,52.3,42.7,215,80.0,56.8,203,16,7.9,17,0.61,15.0
Paris S-G,4,27.0,24,0,0,1,1,20.6,0.25,-2.4,-0.09,71,146,48.6,501,94,21.4,29.2,168,23.2,29.2,150,9,6.0,15,0.56,15.7
Reims,2,28.0,21,2,1,3,0,28.9,0.28,+7.9,+0.28,145,399,36.3,815,123,35.2,36.1,210,53.3,44.7,260,26,10.0,16,0.57,13.9
Rennes,2,28.0,24,3,1,4,1,25.4,0.23,+2.4,+0.09,242,472,51.3,723,119,46.5,39.2,199,68.3,48.3,260,25,9.6,18,0.64,14.1
Saint-Étienne,3,28.0,45,5,0,2,0,42.1,0.33,-2.9,-0.10,151,424,35.6,602,105,49.0,40.0,210,61.4,46.2,197,9,4.6,11,0.39,13.4
Strasbourg,1,27.0,32,6,0,3,0,32.5,0.30,+0.5,+0.02,216,484,44.6,646,127,53.9,43.9,203,67.0,53.9,229,21,9.2,10,0.37,12.7
Toulouse,3,28.0,58,3,1,4,1,48.4,0.32,-8.6,-0.31,243,650,37.4,743,97,58.8,44.4,285,74.7,53.4,308,24,7.8,27,0.96,16.3
