Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Atalanta,3,38.0,48,6,2,4,3,40.1,0.27,-4.9,-0.13,200,455,44.0,886,202,34.3,35.6,237,63.7,50.8,238,19,8.0,44,1.16,16.1
Bologna,2,38.0,65,6,2,6,1,58.7,0.30,-5.3,-0.14,199,449,44.3,879,220,37.1,35.1,296,41.6,34.6,323,46,14.2,16,0.42,13.1
Brescia,3,38.0,79,9,1,10,3,76.0,0.30,0.0,0.00,205,520,39.4,721,213,47.2,40.4,366,49.2,41.7,450,30,6.7,16,0.42,13.1
Cagliari,3,38.0,56,7,0,3,3,54.9,0.27,+1.9,+0.05,227,608,37.3,765,145,54.2,42.8,363,53.2,43.9,446,31,7.0,11,0.29,11.4
Fiorentina,3,38.0,48,9,2,6,0,49.3,0.28,+1.3,+0.03,166,472,35.2,835,231,40.7,37.3,282,46.8,40.9,373,25,6.7,19,0.50,12.8
Genoa,2,38.0,73,7,3,8,2,69.1,0.34,-1.9,-0.05,235,614,38.3,1052,178,46.3,39.6,342,37.1,36.8,392,20,5.1,12,0.32,12.0
Hellas Verona,2,38.0,51,9,2,10,1,49.1,0.26,-0.9,-0.02,207,755,27.4,708,88,65.3,47.6,344,85.2,59.4,380,18,4.7,9,0.24,12.1
Inter,2,38.0,36,3,0,6,1,35.7,0.28,+0.7,+0.02,158,308,51.3,917,201,24.4,29.6,288,29.2,30.3,370,22,5.9,12,0.32,11.8
Juventus,3,38.0,43,9,1,6,0,42.3,0.22,-0.7,-0.02,131,239,54.8,723,196,26.1,31.4,253,19.8,26.0,295,12,4.1,29,0.76,15.3
Lazio,1,38.0,42,7,1,8,1,45.6,0.27,+4.6,+0.12,202,453,44.6,931,149,40.7,34.5,292,25.3,27.2,282,15,5.3,17,0.45,13.9
Lecce,2,38.0,85,11,1,13,3,90.2,0.34,+8.2,+0.22,171,418,40.9,757,221,37.1,35.1,375,36.5,31.9,443,25,5.6,13,0.34,13.3
Milan,3,38.0,46,5,1,7,1,50.3,0.29,+5.3,+0.14,237,501,47.3,936,183,38.8,34.6,279,49.5,39.0,323,31,9.6,22,0.58,14.8
Napoli,2,38.0,50,7,1,5,1,45.7,0.30,-3.3,-0.09,103,242,42.6,847,143,23.6,28.2,221,19.0,24.2,280,19,6.8,15,0.39,12.9
Parma,2,38.0,57,7,1,10,0,57.9,0.25,+0.9,+0.02,287,586,49.0,868,130,49.5,40.9,368,42.4,34.1,424,14,3.3,8,0.21,12.8
Roma,3,38.0,51,9,1,5,0,49.0,0.28,-2.0,-0.05,205,445,46.1,1025,214,34.8,33.5,247,35.6,34.8,296,20,6.8,28,0.74,14.5
Sampdoria,2,38.0,65,8,0,11,4,58.3,0.30,-2.7,-0.07,211,587,35.9,791,141,49.6,41.0,307,63.5,46.9,414,32,7.7,20,0.53,14.2
Sassuolo,3,38.0,63,8,1,9,4,59.1,0.30,+0.1,0.00,160,390,41.0,948,169,32.6,31.7,256,31.6,28.7,348,28,8.0,23,0.61,14.6
SPAL,3,38.0,74,7,3,5,3,70.0,0.29,-4.0,-0.10,270,639,42.3,920,202,46.5,38.1,354,59.6,45.4,397,29,7.3,16,0.42,13.3
Torino,3,38.0,68,10,3,10,3,68.3,0.30,+3.3,+0.09,312,645,48.4,893,121,47.3,39.5,358,62.3,44.5,394,25,6.3,15,0.39,13.3
Udinese,1,38.0,51,8,2,6,0,53.9,0.25,+2.9,+0.08,218,491,44.4,819,171,40.9,36.3,359,43.5,36.6,363,38,10.5,15,0.39,12.2
