Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
Augsburg,30,34.0,582,372,284,232,66,178,539,33.0,361,5481,1372,25.0,1739,2535,1207,558,140,5,418,293,875,796,5
Bayern Munich,24,34.0,474,320,184,210,80,140,445,31.5,305,4461,1420,31.8,1043,2036,1382,426,75,3,351,215,689,418,6
Dortmund,23,34.0,519,346,245,210,64,167,458,36.5,291,5051,1452,28.7,1517,2269,1265,467,77,1,390,291,810,675,11
Düsseldorf,24,34.0,619,391,348,218,53,190,593,32.0,403,5911,1511,25.6,2199,2822,890,498,109,4,389,320,939,784,11
Eint Frankfurt,30,34.0,589,386,287,236,66,179,516,34.7,337,5874,1786,30.4,1893,2721,1260,583,100,9,483,314,903,702,5
Freiburg,28,34.0,527,319,302,172,53,173,547,31.6,374,5225,1209,23.1,1791,2323,1111,482,125,2,357,281,808,816,8
Hannover 96,32,34.0,578,368,333,196,49,200,657,30.4,457,5355,1415,26.4,2081,2334,940,589,132,2,457,297,875,888,10
Hertha BSC,26,34.0,551,345,279,224,48,155,496,31.3,341,5488,1406,25.6,1797,2556,1135,580,121,4,459,295,846,787,5
Hoffenheim,29,34.0,567,348,255,238,74,190,539,35.3,349,4971,1406,28.3,1580,2323,1068,530,120,2,410,306,873,694,6
Leverkusen,21,34.0,564,371,305,202,57,181,546,33.2,365,5021,1580,31.5,1579,2327,1115,548,98,2,450,293,857,705,4
M'Gladbach,22,34.0,512,322,252,209,51,158,479,33.0,321,5171,1268,24.5,1628,2515,1028,509,98,1,411,261,773,620,10
Mainz 05,28,34.0,519,300,247,211,61,157,512,30.7,355,5544,1377,24.8,1666,2543,1335,539,122,3,417,286,805,756,10
Nürnberg,27,34.0,564,363,342,179,43,212,564,37.6,352,5417,1257,23.2,2204,2328,885,511,122,2,389,290,854,877,5
RB Leipzig,23,34.0,649,394,304,270,75,224,613,36.5,389,5668,1830,32.3,1548,2747,1373,563,78,6,485,321,970,832,7
Schalke 04,32,34.0,628,385,284,270,74,208,635,32.8,427,5725,1530,26.7,1736,2728,1261,578,119,0,459,285,913,749,4
Stuttgart,26,34.0,605,382,343,201,61,161,503,32.0,342,5351,1439,26.9,1930,2387,1034,551,122,2,429,288,893,892,7
Werder Bremen,24,34.0,540,337,260,212,68,173,558,31.0,385,5510,1470,26.7,1730,2677,1103,534,112,1,422,305,845,855,7
Wolfsburg,25,34.0,589,397,303,217,69,209,572,36.5,363,5501,1519,27.6,1778,2415,1308,542,95,1,447,291,880,815,5
