Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
Alavés,30,38.0,576,359,296,217,63,185,551,33.6,366,5451,1510,27.7,1750,2544,1157,570,105,4,465,430,1006,1064,9
Athletic Club,27,38.0,523,343,235,227,61,158,551,28.7,393,5247,1450,27.6,1494,2377,1376,553,86,2,467,348,871,897,4
Atlético Madrid,25,38.0,704,449,346,267,91,288,671,42.9,383,5124,1540,30.1,1665,2328,1131,579,93,0,486,395,1099,797,3
Barcelona,25,38.0,548,351,240,226,82,206,513,40.2,307,5074,1547,30.5,1402,2331,1341,519,82,0,437,354,902,474,11
Betis,25,38.0,605,378,289,240,76,196,557,35.2,361,5263,1514,28.8,1619,2495,1149,531,84,2,447,432,1037,855,10
Cádiz,34,38.0,611,385,337,218,56,222,623,35.6,401,5266,1434,27.2,2097,2303,866,612,118,4,494,411,1022,950,10
Celta Vigo,30,38.0,703,420,353,280,70,221,688,32.1,467,5997,1701,28.4,2063,2850,1084,610,97,1,513,375,1078,966,9
Eibar,30,38.0,573,363,249,236,88,189,564,33.5,375,5005,1599,31.9,1274,2244,1487,552,75,2,477,385,958,963,8
Elche,30,38.0,598,394,346,213,39,193,608,31.7,415,5165,1455,28.2,2067,2226,872,553,111,2,442,388,986,866,8
Getafe,31,38.0,617,384,260,277,80,198,561,35.3,363,6119,1688,27.6,1616,3071,1432,553,68,4,485,424,1041,1142,7
Granada,34,38.0,569,375,278,226,65,190,513,37.0,323,5032,1359,27.0,1618,2347,1067,610,142,5,468,408,977,954,9
Huesca,27,38.0,634,402,339,233,62,219,607,36.1,388,5451,1577,28.9,1951,2461,1039,550,103,1,447,349,983,775,6
Levante,29,38.0,573,368,289,216,68,200,603,33.2,403,5391,1500,27.8,1694,2365,1332,539,108,3,431,446,1019,993,13
Osasuna,28,38.0,569,354,255,236,78,204,536,38.1,332,5329,1549,29.1,1558,2487,1284,557,109,2,448,384,953,1027,3
Real Madrid,30,38.0,572,353,285,211,76,184,552,33.3,368,4875,1425,29.2,1560,2172,1143,535,100,4,435,406,978,667,9
Real Sociedad,30,38.0,560,342,251,235,74,172,529,32.5,357,5070,1487,29.3,1423,2340,1307,497,104,2,393,337,897,859,5
Sevilla,26,38.0,571,389,253,242,76,200,546,36.6,346,4716,1477,31.3,1392,2199,1125,503,95,3,408,334,905,767,8
Valencia,30,38.0,507,312,259,183,65,186,572,32.5,386,4857,1305,26.9,1794,2068,995,567,137,2,430,321,828,951,14
Valladolid,32,38.0,619,376,341,208,70,224,676,33.1,452,5923,1644,27.8,2062,2650,1211,609,117,2,492,390,1009,991,9
Villarreal,29,38.0,566,340,253,242,71,177,580,30.5,403,4994,1425,28.5,1587,2226,1181,578,117,3,461,354,920,777,8
