Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
Amiens,27,28.0,482,318,227,211,44,183,554,33.0,371,4988,1362,27.3,1550,2448,990,467,112,3,355,273,755,861,9
Angers,26,28.0,502,320,230,209,63,172,557,30.9,385,5169,1427,27.6,1640,2532,997,421,59,1,362,236,738,690,8
Bordeaux,26,28.0,539,347,265,219,55,196,574,34.1,378,4720,1387,29.4,1379,2361,980,418,101,0,317,227,766,705,5
Brest,24,28.0,554,356,268,222,64,165,506,32.6,341,4469,1284,28.7,1527,2015,927,452,97,2,355,246,800,759,10
Dijon,28,28.0,583,360,293,222,68,198,551,35.9,353,4757,1351,28.4,1634,2257,866,431,110,1,321,255,838,756,7
Lille,25,28.0,497,324,203,235,59,209,569,36.7,360,4780,1432,30.0,1246,2292,1242,388,71,2,317,196,693,661,4
Lyon,27,28.0,521,330,277,183,61,165,445,37.1,280,4267,1253,29.4,1434,1858,975,393,107,0,286,215,736,654,6
Marseille,23,28.0,604,372,280,254,70,222,607,36.6,385,4467,1277,28.6,1207,2154,1106,413,71,0,342,192,796,701,6
Metz,24,28.0,608,385,351,210,47,200,520,38.5,320,5067,1352,26.7,1828,2378,861,470,107,0,363,252,860,802,5
Monaco,28,28.0,566,356,256,252,58,191,567,33.7,376,4704,1404,29.8,1437,2178,1089,401,82,1,319,262,828,601,10
Montpellier,27,28.0,473,294,236,187,50,205,589,34.8,384,4425,1247,28.2,1447,2000,978,383,93,2,290,216,689,722,2
Nantes,29,28.0,605,371,293,257,55,254,611,41.6,357,4814,1343,27.9,1460,2297,1057,364,81,1,283,224,829,784,3
Nice,31,28.0,511,302,282,171,58,197,552,35.7,355,4486,1188,26.5,1495,1933,1058,417,95,0,322,253,764,545,7
Nîmes,28,28.0,562,336,264,230,68,225,662,34.0,437,4386,1319,30.1,1431,2043,912,411,82,1,329,248,810,723,3
Paris S-G,31,27.0,530,316,212,224,94,194,557,34.8,363,4054,1252,30.9,1064,1826,1164,366,74,1,292,185,715,363,9
Reims,26,28.0,551,345,288,205,58,184,481,38.3,297,4141,1231,29.7,1395,1880,866,385,82,0,303,228,779,744,7
Rennes,26,28.0,548,338,267,227,54,180,564,31.9,384,4472,1279,28.6,1420,2145,907,437,115,1,322,188,736,792,10
Saint-Étienne,31,28.0,585,378,251,260,74,198,532,37.2,334,4712,1434,30.4,1276,2401,1035,407,78,4,329,276,861,678,8
Strasbourg,25,27.0,524,337,263,208,53,180,460,39.1,280,4358,1302,29.9,1514,1979,865,348,63,2,285,245,769,633,8
Toulouse,30,28.0,560,393,295,219,46,204,536,38.1,332,4580,1285,28.1,1681,2048,851,448,97,2,351,238,798,717,14
