Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
Atalanta,25,38.0,762,469,354,325,83,217,702,30.9,485,6213,1985,31.9,1864,3021,1328,612,116,0,496,338,1100,883,4
Benevento,41,38.0,634,409,351,217,66,198,645,30.7,447,5613,1574,28.0,2231,2357,1025,568,150,2,418,300,934,751,13
Bologna,30,38.0,706,446,373,260,73,269,687,39.2,418,6239,1749,28.0,2441,2703,1095,660,132,2,528,248,954,933,5
Cagliari,29,38.0,729,442,377,265,87,197,616,32.0,419,5851,1743,29.8,2124,2523,1204,567,127,1,440,273,1002,981,7
Chievo,25,38.0,651,391,325,237,89,219,639,34.3,420,6246,1601,25.6,2281,2672,1293,682,175,2,507,303,954,1054,5
Crotone,29,38.0,691,409,338,269,84,189,683,27.7,494,6270,1613,25.7,2166,2881,1223,666,137,3,529,362,1053,1079,12
Fiorentina,27,38.0,782,496,365,299,118,234,697,33.6,463,6122,1846,30.2,1833,2801,1488,641,88,2,553,334,1116,864,8
Genoa,33,38.0,603,407,303,240,60,178,566,31.4,388,6025,1739,28.9,2119,2821,1085,561,126,4,435,306,909,882,12
Hellas Verona,32,38.0,711,446,377,255,79,224,671,33.4,447,5655,1513,26.8,2125,2465,1065,600,164,6,436,340,1051,1014,11
Inter,22,38.0,694,443,350,266,78,243,664,36.6,421,5815,1650,28.4,1775,2562,1478,532,123,1,409,262,956,749,6
Juventus,24,38.0,585,370,261,225,99,164,508,32.3,344,5155,1446,28.1,1631,2292,1232,492,84,1,408,283,868,606,7
Lazio,24,38.0,657,437,306,278,73,205,661,31.0,456,5547,1784,32.2,1804,2519,1224,590,114,3,476,316,973,603,7
Milan,23,38.0,530,347,238,208,84,170,535,31.8,365,5483,1482,27.0,1640,2514,1329,584,120,3,464,263,793,637,6
Napoli,23,38.0,656,426,231,323,102,200,646,31.0,446,6059,1820,30.0,1191,2780,2088,497,77,1,420,262,918,471,3
Roma,27,38.0,576,383,254,215,107,176,507,34.7,331,5051,1489,29.5,1389,2180,1482,539,119,4,420,287,863,626,13
Sampdoria,27,38.0,672,415,281,281,110,241,687,35.1,446,5783,1628,28.2,1595,2459,1729,645,126,3,519,264,936,752,10
Sassuolo,28,38.0,608,389,310,212,86,205,648,31.6,443,6254,1722,27.5,2054,2764,1436,620,112,0,508,313,921,921,12
SPAL,29,38.0,675,423,344,262,69,223,649,34.4,426,5340,1463,27.4,2143,2270,927,590,162,1,428,332,1007,903,8
Torino,27,38.0,616,366,304,238,74,173,508,34.1,335,5660,1615,28.5,1854,2525,1281,547,120,2,427,314,930,871,10
Udinese,27,38.0,654,407,348,238,68,209,622,33.6,413,6107,1674,27.4,2218,2746,1143,680,164,7,516,283,937,1001,7
