Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
Augsburg,27,34.0,654,19.24,450,79,31,42,37,15,70,2.06,46,6,1,10,6,1
Bayern Munich,28,34.0,976,28.71,755,78,42,45,48,8,158,4.65,128,7,8,7,7,1
Dortmund,30,34.0,722,21.24,556,46,42,43,24,11,88,2.59,62,1,9,13,2,1
Eint Frankfurt,28,34.0,582,17.12,414,70,24,28,31,15,74,2.18,56,8,1,4,4,1
Freiburg,29,34.0,569,16.74,382,70,27,31,50,9,53,1.56,27,9,6,3,7,1
Hamburger SV,29,34.0,568,16.71,377,69,41,28,41,12,44,1.29,25,3,4,8,3,1
Hannover 96,26,34.0,665,19.56,441,80,35,45,53,11,69,2.03,46,7,2,6,7,1
Hertha BSC,25,34.0,483,14.21,326,60,33,23,35,6,65,1.91,40,8,6,5,6,0
Hoffenheim,26,34.0,746,21.94,554,55,51,38,34,14,100,2.94,70,4,9,8,7,2
Köln,31,34.0,586,17.24,425,51,33,31,33,13,60,1.76,36,8,4,3,7,2
Leverkusen,24,34.0,812,23.88,614,58,55,26,40,19,100,2.94,73,5,12,2,4,4
M'Gladbach,27,34.0,688,20.24,469,74,54,40,36,15,72,2.12,42,6,6,10,7,1
Mainz 05,27,34.0,613,18.03,457,53,29,20,37,17,61,1.79,43,6,4,2,6,0
RB Leipzig,23,34.0,784,23.06,571,62,59,32,47,13,99,2.91,75,4,5,7,6,2
Schalke 04,24,34.0,645,18.97,424,74,51,33,43,20,82,2.41,43,8,9,5,15,2
Stuttgart,26,34.0,521,15.32,347,52,31,38,32,21,53,1.56,24,6,6,10,4,3
Werder Bremen,25,34.0,680,20.00,479,73,38,42,37,11,48,1.41,26,7,3,8,1,3
Wolfsburg,29,34.0,552,16.24,409,42,19,23,47,12,61,1.79,44,5,2,2,6,2
