Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
Alavés,30,38.0,587,15.45,407,53,39,20,55,13,65,1.71,47,3,4,5,6,0
Athletic Club,26,38.0,662,17.42,441,95,27,37,46,16,67,1.76,46,5,1,6,7,2
Atlético Madrid,26,38.0,633,16.66,434,72,41,25,48,13,98,2.58,72,2,9,6,7,2
Barcelona,25,38.0,972,25.58,713,46,68,50,73,22,170,4.47,123,5,13,15,11,3
Betis,29,38.0,667,17.55,503,39,45,22,37,21,95,2.50,70,4,4,8,6,3
Celta Vigo,23,38.0,730,19.21,548,48,27,35,52,20,106,2.79,76,7,5,7,8,3
Eibar,27,38.0,706,18.58,479,90,30,30,56,21,71,1.87,47,8,1,9,4,2
Espanyol,25,38.0,633,16.66,445,58,33,33,40,24,64,1.68,42,3,5,3,7,4
Getafe,32,38.0,554,14.58,343,77,35,25,49,25,64,1.68,34,8,7,5,8,2
Girona,25,38.0,699,18.39,434,98,34,37,77,19,77,2.03,41,9,8,6,11,2
La Coruña,32,38.0,686,18.05,494,71,37,38,31,15,57,1.50,40,6,1,6,4,0
Las Palmas,36,38.0,669,17.61,475,57,36,24,63,14,39,1.03,25,1,4,4,3,2
Leganés,28,38.0,630,16.58,397,78,39,38,56,22,54,1.42,33,5,5,8,3,0
Levante,33,38.0,658,17.32,461,52,55,31,43,16,76,2.00,49,5,8,3,10,1
Málaga,37,38.0,596,15.68,377,80,34,33,51,21,34,0.89,19,4,2,4,4,1
Real Madrid,24,38.0,1181,31.08,930,67,64,48,58,14,158,4.16,117,7,8,14,11,1
Real Sociedad,27,38.0,823,21.66,596,80,42,38,53,14,103,2.71,73,8,7,5,8,2
Sevilla,31,38.0,843,22.18,639,68,44,35,39,18,88,2.32,61,7,6,7,6,1
Valencia,25,38.0,782,20.58,562,68,52,30,58,12,107,2.82,74,8,3,6,12,4
Villarreal,32,38.0,785,20.66,560,67,51,37,43,27,93,2.45,65,3,11,7,6,1
