Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
Amiens,30,38.0,544,14.32,375,62,31,26,40,10,62,1.63,39,3,6,5,6,3
Angers,27,38.0,734,19.32,497,75,52,43,48,19,70,1.84,43,8,3,8,7,1
Bordeaux,31,38.0,784,20.63,583,49,49,38,43,22,87,2.29,63,5,7,5,5,2
Caen,26,38.0,712,18.74,490,96,25,41,44,16,48,1.26,33,4,3,3,4,1
Dijon,26,38.0,721,18.97,507,65,44,33,54,18,86,2.26,54,6,6,9,7,4
Guingamp,23,38.0,704,18.53,496,71,28,38,60,11,77,2.03,46,6,3,10,11,1
Lille,25,38.0,732,19.26,550,55,50,30,43,4,70,1.84,55,2,6,3,3,1
Lyon,26,38.0,980,25.79,654,77,79,61,81,28,143,3.76,96,6,14,12,11,4
Marseille,26,38.0,986,25.95,684,88,62,74,61,17,130,3.42,85,11,10,15,9,0
Metz,36,38.0,703,18.50,500,71,46,32,31,23,60,1.58,45,4,2,4,2,3
Monaco,32,38.0,796,20.95,527,77,56,50,65,21,138,3.63,83,9,12,19,11,4
Montpellier,23,38.0,791,20.82,559,86,40,37,51,18,63,1.66,51,2,3,5,1,1
Nantes,30,38.0,786,20.68,537,80,38,56,55,20,51,1.34,37,2,1,6,5,0
Nice,31,38.0,824,21.69,565,74,67,47,61,10,88,2.32,53,6,11,6,10,2
Paris S-G,28,38.0,1053,27.71,795,50,66,50,60,32,173,4.55,132,4,15,11,10,1
Rennes,28,38.0,716,18.84,472,92,24,41,69,18,75,1.97,53,4,3,5,9,1
Saint-Étienne,30,38.0,713,18.76,496,71,43,47,46,10,74,1.95,46,4,5,9,9,1
Strasbourg,25,38.0,692,18.21,460,89,28,42,57,16,73,1.92,44,5,5,7,11,1
Toulouse,25,38.0,668,17.58,452,71,38,35,59,13,65,1.71,43,4,3,5,8,2
Troyes,25,38.0,577,15.18,431,43,34,29,26,14,51,1.34,35,2,5,5,4,0
