Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
Atalanta,27,38.0,1041,27.39,768,87,80,58,27,21,132,3.47,98,9,11,9,3,2
Bologna,29,38.0,752,19.79,533,77,36,49,44,13,77,2.03,54,10,2,4,5,2
Cagliari,30,38.0,642,16.89,454,80,22,41,30,15,53,1.39,34,7,4,4,4,0
Chievo,36,38.0,597,15.71,439,57,31,31,32,7,36,0.95,24,2,1,5,3,1
Empoli,29,38.0,696,18.32,518,51,45,38,28,16,78,2.05,56,4,7,6,4,1
Fiorentina,27,38.0,887,23.34,651,77,54,45,38,22,66,1.74,38,2,13,4,7,2
Frosinone,33,38.0,662,17.42,472,75,31,30,43,11,46,1.21,29,5,3,5,4,0
Genoa,31,38.0,787,20.71,532,90,44,48,51,22,52,1.37,34,5,3,4,3,3
Inter,23,38.0,978,25.74,768,77,36,48,33,16,91,2.39,65,3,6,8,6,3
Juventus,31,38.0,969,25.50,712,80,46,57,53,21,99,2.61,64,5,1,16,8,5
Lazio,30,38.0,989,26.03,758,74,52,51,35,19,86,2.26,60,4,6,9,4,3
Milan,23,38.0,976,25.68,747,60,70,37,38,24,84,2.21,61,3,6,7,5,2
Napoli,26,38.0,1170,30.79,951,54,58,52,29,26,126,3.32,90,5,10,13,4,4
Parma,31,38.0,521,13.71,329,55,54,32,32,19,57,1.50,26,5,11,7,7,1
Roma,26,38.0,983,25.87,692,103,69,57,43,19,103,2.71,71,5,11,5,10,1
Sampdoria,24,38.0,720,18.95,551,47,32,32,41,17,99,2.61,75,3,7,6,8,0
Sassuolo,29,38.0,779,20.50,590,51,45,39,37,17,82,2.16,52,6,5,11,7,1
SPAL,28,38.0,710,18.68,517,74,31,27,46,15,74,1.95,47,11,2,5,9,0
Torino,25,38.0,807,21.24,562,77,54,46,48,20,70,1.84,43,7,5,5,6,4
Udinese,31,38.0,729,19.18,526,58,58,30,38,19,68,1.79,45,7,3,5,7,1
