Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Augsburg,2,34,34,3060,34.0,63,1.85,157,95,59.9,9,9,16,7,20.6,1,0,1,0,100.0
Bayern Munich,2,34,34,3060,34.0,32,0.94,114,86,74.6,26,4,4,15,44.1,4,3,1,0,25.0
Dortmund,2,34,34,3060,34.0,41,1.21,100,65,62.0,21,6,7,15,44.1,3,3,0,0,0.0
Düsseldorf,2,34,34,3060,34.0,67,1.97,171,111,62.6,6,12,16,4,11.8,5,3,2,0,40.0
Eint Frankfurt,3,34,34,3060,34.0,60,1.76,172,117,66.9,13,6,15,5,14.7,3,3,0,0,0.0
Freiburg,3,34,34,3060,34.0,47,1.38,188,140,76.6,13,9,12,7,20.6,4,3,0,1,0.0
Hertha BSC,3,34,34,3058,34.0,59,1.74,162,112,67.9,11,8,15,9,26.5,7,7,0,0,0.0
Hoffenheim,2,34,34,3060,34.0,53,1.56,163,117,71.2,15,7,12,8,23.5,8,6,2,0,25.0
Köln,1,34,34,3060,34.0,69,2.03,152,87,57.2,10,6,18,6,17.6,6,4,2,0,33.3
Leverkusen,1,34,34,3060,34.0,44,1.29,137,92,69.3,19,6,9,10,29.4,2,2,0,0,0.0
M'Gladbach,1,34,34,3060,34.0,40,1.18,152,110,74.3,20,5,9,7,20.6,2,1,1,0,50.0
Mainz 05,2,34,34,3060,34.0,65,1.91,177,116,65.0,11,4,19,5,14.7,5,3,2,0,40.0
Paderborn 07,2,34,34,3060,34.0,74,2.18,179,111,60.9,4,8,22,5,14.7,5,4,1,0,20.0
RB Leipzig,2,34,34,3060,34.0,37,1.09,122,84,71.3,18,12,4,10,29.4,2,2,0,0,0.0
Schalke 04,2,34,34,3057,34.0,58,1.71,166,114,68.7,9,12,13,7,20.6,6,6,0,0,0.0
Union Berlin,2,34,34,3060,34.0,58,1.71,168,113,67.3,12,5,17,8,23.5,4,3,1,0,25.0
Werder Bremen,2,34,34,3060,34.0,69,2.03,175,109,61.1,8,7,19,4,11.8,1,1,0,0,0.0
Wolfsburg,2,34,34,3060,34.0,46,1.35,140,98,70.7,13,10,11,8,23.5,5,5,0,0,0.0
