Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Amiens,1,28,28,2520,28.0,50,1.79,140,92,65.0,4,11,13,5,17.9,1,1,0,0,0.0
Angers,2,28,28,2520,28.0,33,1.18,85,56,64.7,11,6,11,12,42.9,3,3,0,0,0.0
Bordeaux,1,28,28,2520,28.0,34,1.21,106,75,69.8,9,10,9,6,21.4,3,2,1,0,33.3
Brest,2,28,28,2520,28.0,37,1.32,138,103,76.1,8,10,10,8,28.6,6,4,1,1,20.0
Dijon,2,28,28,2520,28.0,37,1.32,129,94,72.1,7,9,12,6,21.4,1,1,0,0,0.0
Lille,1,28,28,2520,28.0,27,0.96,78,58,70.5,15,4,9,12,42.9,6,4,1,1,20.0
Lyon,2,28,28,2520,28.0,27,0.96,96,73,74.0,11,7,10,9,32.1,3,2,0,1,0.0
Marseille,2,28,28,2520,28.0,29,1.04,97,75,74.2,16,8,4,11,39.3,5,4,1,0,20.0
Metz,2,28,28,2520,28.0,35,1.25,132,101,76.5,8,10,10,8,28.6,4,4,0,0,0.0
Monaco,1,28,28,2520,28.0,44,1.57,132,95,71.2,11,7,10,7,25.0,6,6,0,0,0.0
Montpellier,3,28,28,2517,28.0,34,1.22,126,97,75.4,11,7,10,8,28.6,5,3,1,1,25.0
Nantes,2,28,28,2520,28.0,31,1.11,97,69,71.1,11,4,13,10,35.7,6,3,2,1,40.0
Nice,2,28,28,2520,28.0,38,1.36,135,104,75.6,11,8,9,4,14.3,7,5,1,1,16.7
Nîmes,2,28,28,2520,28.0,44,1.57,120,81,66.7,7,6,15,7,25.0,4,4,0,0,0.0
Paris S-G,4,27,27,2430,27.0,24,0.89,82,57,70.7,22,2,3,14,51.9,0,0,0,0,
Reims,2,28,28,2520,28.0,21,0.75,87,66,78.2,10,11,7,12,42.9,6,2,3,1,60.0
Rennes,2,28,28,2520,28.0,24,0.86,92,72,77.2,15,5,8,10,35.7,5,3,2,0,40.0
Saint-Étienne,3,28,28,2520,28.0,45,1.61,116,75,65.5,8,6,14,5,17.9,6,5,0,1,0.0
Strasbourg,1,27,27,2430,27.0,32,1.19,95,67,72.6,11,5,11,8,29.6,7,6,1,0,14.3
Toulouse,3,28,28,2520,28.0,58,2.07,140,86,60.7,3,4,21,3,10.7,5,3,2,0,40.0
