Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Arsenal,2,38,38,3420,38.0,51,1.34,173,130,74.6,21,7,10,8,21.1,7,7,0,0,0.0
Bournemouth,3,38,38,3420,38.0,70,1.84,169,103,61.5,13,6,19,10,26.3,5,5,0,0,0.0
Brighton,2,38,38,3420,38.0,60,1.58,156,105,67.9,9,9,20,7,18.4,10,10,0,0,0.0
Burnley,2,38,38,3420,38.0,68,1.79,196,130,66.3,11,7,20,8,21.1,3,2,1,0,33.3
Cardiff City,1,38,38,3420,38.0,69,1.82,200,134,67.5,10,4,24,10,26.3,7,4,3,0,42.9
Chelsea,2,38,38,3420,38.0,39,1.03,122,82,68.9,21,9,8,16,42.1,2,1,1,0,50.0
Crystal Palace,3,38,38,3420,38.0,53,1.39,159,108,69.2,14,7,17,12,31.6,5,4,1,0,20.0
Everton,1,38,38,3420,38.0,46,1.21,131,87,66.4,15,9,14,14,36.8,5,2,3,0,60.0
Fulham,3,38,38,3420,38.0,81,2.13,220,143,65.5,7,5,26,5,13.2,7,5,1,1,16.7
Huddersfield,3,38,38,3420,38.0,76,2.00,178,109,61.2,3,7,28,5,13.2,8,7,1,0,12.5
Leicester City,1,38,38,3420,38.0,48,1.26,133,90,67.7,15,7,16,10,26.3,5,5,0,0,0.0
Liverpool,1,38,38,3420,38.0,22,0.58,97,75,77.3,30,7,1,21,55.3,1,0,0,1,
Manchester City,1,38,38,3420,38.0,23,0.61,79,60,75.9,32,2,4,20,52.6,4,4,0,0,0.0
Manchester Utd,1,38,38,3420,38.0,54,1.42,170,125,71.8,19,9,10,7,18.4,6,6,0,0,0.0
Newcastle Utd,1,38,38,3420,38.0,48,1.26,133,92,68.4,12,9,17,11,28.9,6,6,0,0,0.0
Southampton,3,38,38,3420,38.0,65,1.71,172,112,63.4,9,12,17,7,18.4,3,2,1,0,33.3
Tottenham,3,38,38,3420,38.0,39,1.03,147,111,75.5,23,2,13,13,34.2,5,3,2,0,40.0
Watford,1,38,38,3420,38.0,59,1.55,171,115,67.8,14,8,16,7,18.4,5,4,1,0,20.0
West Ham,1,38,38,3420,38.0,55,1.45,192,138,73.4,15,7,16,7,18.4,5,4,1,0,20.0
Wolves,3,38,38,3420,38.0,46,1.21,139,98,69.1,16,9,13,9,23.7,4,3,0,1,0.0
