Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Augsburg,27,34.0,,,1,551,453,69,456,316,392,4,3,0,3550,639,663,49.1
Bayern Munich,28,34.0,,,0,403,472,67,605,272,343,7,4,3,3384,477,400,54.4
Dortmund,30,34.0,,,1,427,462,85,394,274,395,4,1,0,3383,489,431,53.2
Eint Frankfurt,28,34.0,,,0,561,493,85,388,292,414,2,3,2,3698,572,617,48.1
Freiburg,29,34.0,,,3,484,470,40,313,255,334,8,5,4,3272,664,677,49.5
Hamburger SV,29,34.0,,,3,527,497,62,436,247,394,3,4,1,3808,671,730,47.9
Hannover 96,26,34.0,,,0,535,541,57,357,283,365,5,4,0,3580,753,579,56.5
Hertha BSC,25,34.0,,,0,530,514,48,339,301,358,5,7,1,3282,604,615,49.5
Hoffenheim,26,34.0,,,0,557,483,83,390,269,390,5,4,2,3284,378,467,44.7
Köln,31,34.0,,,1,534,510,82,381,278,390,2,9,0,3496,587,628,48.3
Leverkusen,24,34.0,,,1,486,528,61,471,263,371,4,5,0,3554,538,575,48.3
M'Gladbach,27,34.0,,,0,443,454,75,303,250,385,5,4,1,3095,491,455,51.9
Mainz 05,27,34.0,,,2,565,472,68,342,300,413,3,6,1,3470,607,569,51.6
RB Leipzig,23,34.0,,,3,484,530,90,364,279,373,4,5,0,3756,573,530,51.9
Schalke 04,24,34.0,,,1,589,541,84,343,315,434,9,6,1,3202,500,463,51.9
Stuttgart,26,34.0,,,2,491,454,72,402,302,388,2,6,0,3345,538,640,45.7
Werder Bremen,25,34.0,,,0,576,466,74,413,282,353,0,4,2,3412,608,593,50.6
Wolfsburg,29,34.0,,,5,470,532,58,344,258,325,6,9,2,3206,486,543,47.2
