Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Alavés,26,38.0,101,1,0,654,592,58,507,343,365,2,6,2,3512,702,721,49.3
Athletic Club,27,38.0,118,4,2,660,551,74,524,351,423,6,4,0,3537,729,574,55.9
Atlético Madrid,29,38.0,100,5,3,543,525,80,396,361,523,2,4,2,3341,539,451,54.4
Barcelona,30,38.0,76,2,1,467,654,102,380,288,391,8,2,0,3181,327,302,52.0
Betis,25,38.0,89,1,0,506,649,79,452,259,420,5,6,0,3080,329,358,47.9
Celta Vigo,28,38.0,79,6,5,531,564,90,447,272,399,3,7,1,3203,507,469,51.9
Eibar,25,38.0,81,2,1,572,459,92,677,296,447,5,3,0,4499,789,799,49.7
Espanyol,25,38.0,90,2,2,595,594,84,385,337,443,3,7,2,3196,467,457,50.5
Getafe,26,38.0,107,7,4,703,565,102,459,344,418,3,6,3,3927,657,683,49.0
Girona,26,38.0,81,4,2,610,619,60,524,352,369,3,6,1,3289,591,573,50.8
Huesca,30,38.0,113,3,1,676,494,94,541,368,482,4,9,3,3469,571,586,49.4
Leganés,29,38.0,104,4,2,614,457,75,538,326,417,2,4,1,3523,721,592,54.9
Levante,26,38.0,107,7,5,595,575,85,427,302,377,6,9,3,3292,325,427,43.2
Rayo Vallecano,29,38.0,101,8,5,653,545,71,507,326,425,5,11,1,3294,418,433,49.1
Real Madrid,27,38.0,79,6,4,518,645,112,603,322,418,8,6,0,3106,375,326,53.5
Real Sociedad,30,38.0,80,4,2,568,632,92,402,331,399,7,3,2,3360,549,526,51.1
Sevilla,27,38.0,114,6,4,628,538,111,587,296,422,5,6,1,3548,493,570,46.4
Valencia,25,38.0,88,3,2,518,588,75,501,357,381,6,8,2,3285,476,510,48.3
Valladolid,28,38.0,92,0,0,598,577,96,501,317,452,6,8,1,3369,475,658,41.9
Villarreal,26,38.0,115,3,3,609,476,95,433,302,425,3,4,3,3100,475,500,48.7
