Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Angers,31,38.0,65,2,1,495,535,43,401,438,460,6,8,1,3225,490,585,45.6
Bordeaux,28,38.0,78,4,2,495,510,48,373,438,413,3,7,1,2931,588,543,52.0
Brest,26,38.0,62,4,1,526,469,63,488,372,436,4,11,2,3027,725,587,55.3
Dijon,33,38.0,76,5,1,551,447,58,319,509,440,4,10,4,3066,562,625,47.3
Lens,27,38.0,94,7,5,570,506,49,475,460,404,11,10,3,3106,690,658,51.2
Lille,21,38.0,68,2,1,519,499,67,367,411,452,5,2,2,3373,612,572,51.7
Lorient,27,38.0,69,3,1,501,505,50,353,482,482,9,10,1,3078,537,579,48.1
Lyon,29,38.0,66,10,3,522,503,65,515,402,449,11,7,2,3292,565,457,55.3
Marseille,31,38.0,98,9,2,551,523,57,446,427,468,3,3,1,3071,583,559,51.1
Metz,27,38.0,84,4,1,567,496,50,431,450,462,6,12,2,3199,623,604,50.8
Monaco,30,38.0,78,7,2,525,506,73,469,393,551,11,4,1,3473,650,597,52.1
Montpellier,25,38.0,65,7,0,565,486,48,490,396,400,4,10,2,3109,669,698,48.9
Nantes,25,38.0,70,4,2,552,544,55,414,418,454,8,11,1,3418,655,741,46.9
Nice,31,38.0,73,4,2,491,476,41,404,380,425,6,6,0,2915,414,447,48.1
Nîmes,33,38.0,60,5,2,464,558,50,389,475,433,6,9,0,3113,524,717,42.2
Paris S-G,33,38.0,79,7,3,503,505,66,539,364,427,11,1,1,2998,375,336,52.7
Reims,29,38.0,77,8,1,494,443,61,315,438,432,3,6,1,2880,501,590,45.9
Rennes,32,38.0,79,5,0,542,521,35,515,340,455,3,4,0,3236,638,552,53.6
Saint-Étienne,40,38.0,76,2,0,569,521,55,451,447,496,5,8,2,3322,656,646,50.4
Strasbourg,26,38.0,58,3,1,539,444,44,479,512,472,6,8,1,3155,723,687,51.3
