Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Atalanta,25,38.0,,,3,535,512,82,489,338,469,9,2,0,3940,567,547,50.9
Benevento,41,38.0,,,4,528,503,83,422,300,409,2,11,2,3271,364,464,44.0
Bologna,30,38.0,,,4,520,499,65,303,248,446,2,4,3,3466,583,525,52.6
Cagliari,29,38.0,,,4,660,508,90,446,273,442,5,12,1,3696,767,666,53.5
Chievo,25,38.0,,,1,525,496,95,522,303,391,2,7,4,3638,614,641,48.9
Crotone,29,38.0,,,1,560,501,85,391,362,409,2,7,0,3929,622,680,47.8
Fiorentina,27,38.0,,,3,592,480,83,486,334,496,6,3,0,3825,524,625,45.6
Genoa,33,38.0,,,0,621,521,86,464,306,407,5,4,2,3716,572,608,48.5
Hellas Verona,32,38.0,,,4,566,449,84,405,340,446,3,8,2,3422,493,531,48.1
Inter,22,38.0,,,0,489,452,97,691,262,443,6,2,3,3424,489,449,52.1
Juventus,24,38.0,,,1,465,537,82,484,283,370,5,4,2,3316,422,356,54.2
Lazio,24,38.0,,,3,467,394,98,489,316,437,9,10,2,3728,425,385,52.5
Milan,23,38.0,,,4,510,515,90,579,263,347,4,3,1,3470,357,405,46.9
Napoli,23,38.0,,,1,363,425,82,472,262,426,7,1,0,3785,322,394,45.0
Roma,27,38.0,,,1,437,482,73,624,287,383,4,3,0,3855,554,359,60.7
Sampdoria,27,38.0,,,2,465,530,55,464,264,415,6,10,1,3596,447,551,44.8
Sassuolo,28,38.0,,,4,540,587,81,490,313,389,6,3,2,3735,553,493,52.9
SPAL,29,38.0,,,2,511,669,99,413,332,423,5,11,4,3236,512,541,48.6
Torino,27,38.0,,,4,617,552,76,418,314,366,2,7,0,3568,581,502,53.6
Udinese,27,38.0,,,0,579,435,66,459,283,407,5,6,5,3375,513,559,47.9
