Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
Augsburg,30,34.0,11138,15094,73.8,230933,88336,4171,5100,81.8,4838,5888,82.2,2007,3638,55.2,33,28.8,+4.2,311,815,274,90,1140
Bayern Munich,24,34.0,20506,23861,85.9,409832,120093,7562,8384,90.2,9485,10466,90.6,3252,4450,73.1,62,59.9,+2.1,454,1730,474,96,1794
Dortmund,23,34.0,18845,22100,85.3,346448,104095,8226,9193,89.5,7939,8831,89.9,2366,3431,69.0,60,42.3,+17.7,327,1341,314,55,1346
Düsseldorf,24,34.0,11146,14589,76.4,240306,89614,3907,4652,84.0,4863,5827,83.5,2240,3666,61.1,35,34.0,+1.0,309,898,246,79,1137
Eint Frankfurt,30,34.0,10628,14853,71.6,222696,93232,3987,4965,80.3,4562,5855,77.9,1923,3551,54.2,42,38.4,+3.6,287,950,261,82,1187
Freiburg,28,34.0,11490,14967,76.8,247151,85697,3709,4402,84.3,5386,6313,85.3,2207,3757,58.7,25,25.9,-0.9,291,800,218,75,931
Hannover 96,32,34.0,11428,15090,75.7,236845,89112,4148,4935,84.1,5092,6109,83.4,2025,3528,57.4,20,23.6,-3.6,269,826,228,59,1033
Hertha BSC,26,34.0,12472,16161,77.2,255193,96580,4794,5664,84.6,5433,6450,84.2,2084,3603,57.8,32,34.3,-2.3,299,916,235,74,1107
Hoffenheim,29,34.0,14499,17950,80.8,285552,102912,5640,6435,87.6,6442,7457,86.4,2232,3527,63.3,49,49.5,-0.5,450,1200,371,102,1424
Leverkusen,21,34.0,18327,22030,83.2,347484,111744,7623,8639,88.2,7899,8929,88.5,2508,3739,67.1,51,42.6,+8.4,370,1261,367,93,1536
M'Gladbach,22,34.0,15778,19034,82.9,326244,98844,5114,5867,87.2,7986,8897,89.8,2539,3823,66.4,43,34.7,+8.3,329,1144,308,70,1350
Mainz 05,28,34.0,11560,15270,75.7,242035,88515,4318,5126,84.2,4933,5923,83.3,2171,3768,57.6,30,32.8,-2.8,344,981,290,89,1155
Nürnberg,27,34.0,10598,14082,75.3,220798,80833,3813,4564,83.5,4873,5779,84.3,1779,3331,53.4,16,18.7,-2.7,229,763,177,44,912
RB Leipzig,23,34.0,12507,16647,75.1,231627,95135,5747,6882,83.5,4829,6085,79.4,1685,3080,54.7,41,41.6,-0.6,372,1121,365,87,1451
Schalke 04,32,34.0,10901,14433,75.5,229532,82407,3752,4572,82.1,4985,5897,84.5,2018,3532,57.1,23,25.8,-2.8,297,832,240,53,1073
Stuttgart,26,34.0,11309,15160,74.6,230295,83888,4281,5106,83.8,4941,5965,82.8,1942,3612,53.8,26,28.3,-2.3,304,834,251,94,1006
Werder Bremen,24,34.0,14504,18269,79.4,290395,101443,5481,6407,85.5,6548,7659,85.5,2291,3646,62.8,38,33.9,+4.1,332,1194,330,97,1483
Wolfsburg,25,34.0,13200,17041,77.5,300330,97902,3894,4759,81.8,6153,7279,84.5,3025,4512,67.0,38,31.6,+6.4,292,985,298,85,1283
