Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
Alavés,26,38.0,9814,13919,70.5,203510,87703,3918,4754,82.4,3904,4959,78.7,1809,3675,49.2,27,23.9,+3.1,272,831,226,104,961
Athletic Club,27,38.0,13267,17393,76.3,271102,100295,5334,6233,85.6,5559,6686,83.1,2210,3936,56.1,26,25.3,+0.7,273,1100,302,95,1165
Atlético Madrid,29,38.0,15143,19034,79.6,276009,98528,7207,8124,88.7,5778,6870,84.1,1899,3411,55.7,36,31.3,+4.7,339,1245,342,61,1297
Barcelona,30,38.0,23464,26734,87.8,421072,125653,10749,11665,92.1,9736,10752,90.6,2644,3568,74.1,61,53.7,+7.3,410,1779,479,60,1727
Betis,25,38.0,19506,22819,85.5,366265,110101,8079,8864,91.1,8826,9762,90.4,2367,3591,65.9,30,33.3,-3.3,320,1241,346,64,1294
Celta Vigo,28,38.0,15122,18785,80.5,294087,99004,6108,6921,88.3,6636,7609,87.2,2143,3674,58.3,37,29.9,+7.1,328,1016,280,68,1090
Eibar,25,38.0,13129,18279,71.8,283897,103336,4739,5767,82.2,5579,6972,80.0,2657,4937,53.8,26,31.7,-5.7,363,1357,382,149,1374
Espanyol,25,38.0,13998,17703,79.1,280592,99487,5383,6192,86.9,6217,7297,85.2,2212,3658,60.5,26,32.6,-6.6,316,1038,341,73,1279
Getafe,26,38.0,8284,12926,64.1,181896,83087,3210,4158,77.2,3123,4353,71.7,1784,3807,46.9,34,29.0,+5.0,273,813,282,81,1035
Girona,26,38.0,13258,17104,77.5,276484,96684,4660,5377,86.7,6176,7242,85.3,2268,4018,56.4,23,25.1,-2.1,276,917,272,96,1125
Huesca,30,38.0,10778,14817,72.7,218839,88242,4464,5301,84.2,4264,5339,79.9,1871,3660,51.1,28,26.2,+1.8,321,858,269,107,998
Leganés,29,38.0,10787,15033,71.8,224396,88505,4324,5169,83.7,4325,5436,79.6,1958,3899,50.2,25,24.5,+0.5,299,856,244,128,927
Levante,26,38.0,10953,14737,74.3,215012,85727,4683,5481,85.4,4355,5301,82.2,1746,3427,50.9,39,35.1,+3.9,293,895,280,72,1122
Rayo Vallecano,29,38.0,12606,16257,77.5,251724,92793,5144,5907,87.1,5291,6279,84.3,1990,3529,56.4,24,26.2,-2.2,323,925,237,85,1016
Real Madrid,27,38.0,20684,24065,86.0,386680,117086,9457,10282,92.0,7949,8848,89.8,2972,4176,71.2,39,42.9,-3.9,447,1559,431,97,1508
Real Sociedad,30,38.0,14700,18446,79.7,292992,96357,5605,6416,87.4,6682,7697,86.8,2244,3762,59.6,27,29.2,-2.2,302,991,280,95,1135
Sevilla,27,38.0,14612,18654,78.3,285396,100487,6128,7007,87.5,6063,7134,85.0,2207,3858,57.2,47,43.7,+3.3,371,1124,413,123,1415
Valencia,25,38.0,13821,17600,78.5,276786,100037,5395,6227,86.6,6144,7199,85.3,2141,3647,58.7,38,42.9,-4.9,358,1148,353,97,1382
Valladolid,28,38.0,12161,16196,75.1,246519,87905,4712,5466,86.2,5288,6268,84.4,1980,3907,50.7,19,26.0,-7.0,290,939,221,72,1050
Villarreal,26,38.0,13853,17509,79.1,280991,99711,5315,6112,87.0,6130,7155,85.7,2260,3754,60.2,34,35.8,-1.8,356,1194,312,74,1338
