Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
Amiens,27,28.0,9777,12663,77.2,187897,71050,4251,4881,87.1,3893,4682,83.1,1420,2577,55.1,20,16.7,+3.3,159,734,138,41,940
Angers,26,28.0,10616,13346,79.5,203866,74741,4631,5230,88.5,4285,4962,86.4,1535,2663,57.6,21,20.2,+0.8,261,749,207,63,909
Bordeaux,26,28.0,12356,14986,82.5,242370,77409,4711,5269,89.4,5852,6609,88.5,1663,2708,61.4,29,21.4,+7.6,210,711,122,33,824
Brest,24,28.0,11090,13961,79.4,226492,74524,4196,4783,87.7,4815,5547,86.8,1920,3145,61.0,27,21.0,+6.0,243,736,214,71,904
Dijon,28,28.0,10186,12909,78.9,210762,76477,3844,4390,87.6,4335,5062,85.6,1841,2998,61.4,17,21.3,-4.3,238,651,179,43,822
Lille,25,28.0,11307,14068,80.4,221646,71634,4514,5135,87.9,4931,5637,87.5,1651,2762,59.8,25,24.9,+0.1,255,903,200,53,942
Lyon,27,28.0,13379,15881,84.2,265520,80754,5117,5699,89.8,5997,6691,89.6,2063,2989,69.0,29,26.1,+2.9,265,895,210,56,1065
Marseille,23,28.0,12013,14652,82.0,230093,73344,5031,5623,89.5,5028,5745,87.5,1709,2732,62.6,28,22.4,+5.6,270,862,201,61,937
Metz,24,28.0,9635,12397,77.7,191985,65392,3842,4398,87.4,4120,4829,85.3,1499,2730,54.9,20,18.0,+2.0,219,670,137,46,642
Monaco,28,28.0,11748,14370,81.8,227143,76739,4853,5479,88.6,4996,5694,87.7,1706,2700,63.2,29,32.3,-3.3,264,856,245,54,1085
Montpellier,27,28.0,9682,12594,76.9,207967,79315,3491,4137,84.4,4123,4858,84.9,1918,3125,61.4,19,20.2,-1.2,239,821,178,63,987
Nantes,29,28.0,10599,13416,79.0,200552,69345,4554,5181,87.9,4492,5266,85.3,1381,2497,55.3,16,21.5,-5.5,252,755,155,48,840
Nice,31,28.0,13378,15539,86.1,255288,77767,5253,5774,91.0,6358,6902,92.1,1583,2426,65.3,30,21.2,+8.8,227,868,171,42,986
Nîmes,28,28.0,8170,11140,73.3,167696,63245,3210,3845,83.5,3406,4172,81.6,1408,2643,53.3,20,21.2,-1.2,230,661,166,55,785
Paris S-G,31,27.0,16845,18987,88.7,301712,91325,7718,8326,92.7,6911,7500,92.1,1916,2560,74.8,51,50.8,+0.2,320,1267,395,65,1398
Reims,26,28.0,10361,13063,79.3,212720,67063,3799,4347,87.4,4595,5310,86.5,1801,2927,61.5,16,18.4,-2.4,236,652,202,55,874
Rennes,26,28.0,10454,13053,80.1,218215,73441,3702,4237,87.4,4804,5507,87.2,1804,2862,63.0,26,23.6,+2.4,238,685,178,61,845
Saint-Étienne,31,28.0,10086,13003,77.6,203122,67413,3820,4443,86.0,4477,5261,85.1,1594,2798,57.0,20,18.2,+1.8,213,684,139,46,832
Strasbourg,25,27.0,10203,12757,80.0,221232,74489,3548,4081,86.9,4445,5081,87.5,2069,3187,64.9,21,23.6,-2.6,241,759,209,82,892
Toulouse,30,28.0,9433,12237,77.1,178637,66760,4130,4725,87.4,3765,4476,84.1,1316,2527,52.1,14,18.2,-4.2,223,619,163,56,756
