Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
Arsenal,28,38.0,18328,22182,82.6,353847,110478,7274,8154,89.2,8122,9200,88.3,2600,4001,65.0,52,45.9,+6.1,363,1252,432,79,1559
Bournemouth,28,38.0,13503,17508,77.1,263967,97086,5370,6334,84.8,5954,7067,84.3,1943,3390,57.3,43,38.5,+4.5,317,947,331,78,1264
Brighton,21,38.0,11619,15804,73.5,249384,91543,4325,5169,83.7,4768,5876,81.1,2272,4090,55.6,24,23.4,+0.6,281,900,216,85,906
Burnley,23,38.0,10129,14590,69.4,216174,88871,4081,4926,82.8,3822,4917,77.7,2009,4144,48.5,32,25.5,+6.5,247,905,255,85,926
Cardiff City,25,38.0,7250,11663,62.2,155111,72290,2990,3848,77.7,2685,3768,71.3,1444,3517,41.1,20,23.0,-3.0,272,744,190,60,799
Chelsea,24,38.0,22873,26529,86.2,413911,125415,10541,11567,91.1,9180,10267,89.4,2750,3866,71.1,52,45.2,+6.8,469,1764,454,75,1794
Crystal Palace,26,38.0,12767,16702,76.4,238993,93394,5764,6649,86.7,4998,5981,83.6,1730,3349,51.7,33,30.7,+2.3,349,958,293,70,1199
Everton,23,38.0,13856,18119,76.5,276915,100436,5593,6541,85.5,5791,6947,83.4,2228,3924,56.8,34,31.2,+2.8,337,1181,299,92,1331
Fulham,28,38.0,15178,19215,79.0,289727,104564,6542,7407,88.3,6343,7416,85.5,2017,3724,54.2,24,28.3,-4.3,338,1049,243,59,1180
Huddersfield,31,38.0,13055,17539,74.4,263818,99025,5305,6277,84.5,5328,6529,81.6,2206,4022,54.8,13,20.4,-7.4,279,1018,241,92,1090
Leicester City,25,38.0,14799,19024,77.8,293395,100131,6056,7008,86.4,6159,7394,83.3,2332,3913,59.6,34,35.4,-1.4,365,1156,280,71,1269
Liverpool,23,38.0,21154,25299,83.6,418665,129386,8121,9086,89.4,9562,10756,88.9,3186,4729,67.4,55,49.7,+5.3,423,1686,521,89,1869
Manchester City,21,38.0,24660,28159,87.6,462080,126166,10258,11138,92.1,11106,12136,91.5,2987,4161,71.8,71,64.0,+7.0,507,1986,599,65,2022
Manchester Utd,28,38.0,16840,20713,81.3,318988,111562,7510,8403,89.4,6643,7713,86.1,2352,3827,61.5,40,37.6,+2.4,379,1266,352,70,1469
Newcastle Utd,24,38.0,10827,15073,71.8,225073,87293,4272,5065,84.3,4372,5470,79.9,1958,3882,50.4,33,26.7,+6.3,299,877,256,94,929
Southampton,30,38.0,11609,15938,72.8,225594,82953,5012,5911,84.8,4630,5771,80.2,1716,3573,48.0,27,28.4,-1.4,327,1054,265,88,1101
Tottenham,28,38.0,18757,22736,82.5,370042,115345,7330,8246,88.9,8346,9416,88.6,2797,4333,64.6,47,38.1,+8.9,387,1386,386,100,1485
Watford,25,38.0,12723,16917,75.2,248585,96147,5620,6520,86.2,4828,5909,81.7,1986,3789,52.4,39,33.9,+5.1,300,958,313,67,1163
West Ham,26,38.0,13960,17950,77.8,267204,95588,6188,7110,87.0,5292,6313,83.8,2096,3682,56.9,33,31.2,+1.8,316,996,276,59,1142
Wolves,21,38.0,14105,18117,77.9,291062,97230,5480,6325,86.6,5815,6890,84.4,2590,4261,60.8,35,34.2,+0.8,337,1107,259,80,1180
