Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
Atalanta,27,38.0,18178,22052,82.4,345298,110648,7446,8452,88.1,8140,9284,87.7,2343,3658,64.1,60,50.2,+9.8,493,1326,474,100,1690
Bologna,29,38.0,12116,16034,75.6,244448,93105,4699,5479,85.8,5218,6375,81.9,2021,3599,56.2,35,30.8,+4.2,344,970,265,90,1179
Cagliari,30,38.0,14565,18873,77.2,286422,107492,6080,6993,86.9,5912,7115,83.1,2332,4103,56.8,27,27.5,-0.5,305,1006,310,87,1238
Chievo,36,38.0,12555,16534,75.9,256489,95611,4731,5522,85.7,5503,6641,82.9,2158,3831,56.3,17,22.8,-5.8,284,908,253,101,1082
Empoli,29,38.0,14685,18406,79.8,291865,99453,5623,6392,88.0,6660,7731,86.1,2234,3739,59.7,36,34.0,+2.0,323,1207,340,63,1389
Fiorentina,27,38.0,13356,17251,77.4,273975,93697,4655,5517,84.4,6388,7498,85.2,2159,3752,57.5,24,33.8,-9.8,425,1092,312,89,1374
Frosinone,33,38.0,11524,15516,74.3,231244,86911,4456,5238,85.1,5035,6053,83.2,1856,3665,50.6,21,24.7,-3.7,310,788,249,124,991
Genoa,31,38.0,11178,15296,73.1,228852,87714,4358,5182,84.1,4764,5839,81.6,1905,3784,50.3,26,27.1,-1.1,365,986,330,96,1163
Inter,23,38.0,19563,23416,83.5,377107,119430,7869,8736,90.1,8683,9880,87.9,2777,4171,66.6,36,44.1,-8.1,471,1487,451,160,1596
Juventus,31,38.0,18393,21842,84.2,371028,109670,7003,7778,90.0,8243,9197,89.6,2976,4328,68.8,44,37.0,+7.0,453,1427,397,125,1431
Lazio,30,38.0,15879,19761,80.4,301275,105137,6814,7747,88.0,6546,7692,85.1,2250,3655,61.6,35,38.9,-3.9,465,1305,415,90,1596
Milan,23,38.0,17532,20973,83.6,341010,110685,6891,7627,90.4,8042,9020,89.2,2414,3785,63.8,35,34.3,+0.7,445,1318,383,103,1477
Napoli,26,38.0,21121,24768,85.3,395686,119057,9236,10175,90.8,8828,9808,90.0,2802,4160,67.4,54,53.8,+0.2,554,1773,442,91,1834
Parma,31,38.0,9996,13626,73.4,211889,84907,3681,4382,84.0,4286,5259,81.5,1892,3491,54.2,22,22.6,-0.6,235,775,178,44,935
Roma,26,38.0,15367,19067,80.6,304684,112087,6080,6880,88.4,6711,7821,85.8,2403,3826,62.8,41,43.5,-2.5,467,1251,384,119,1544
Sampdoria,24,38.0,17188,21150,81.3,311279,105050,7657,8618,88.8,7207,8351,86.3,2046,3460,59.1,41,31.9,+9.1,329,1266,359,91,1523
Sassuolo,29,38.0,16500,20036,82.4,311173,101495,6879,7682,89.5,7250,8228,88.1,2143,3510,61.1,33,31.0,+2.0,357,1171,278,67,1249
SPAL,28,38.0,14319,17861,80.2,268760,96183,6299,7065,89.2,5935,6889,86.2,1914,3359,57.0,30,23.5,+6.5,334,926,255,119,1040
Torino,25,38.0,12929,17023,76.0,264002,94180,4905,5758,85.2,5502,6711,82.0,2254,3889,58.0,31,33.6,-2.6,374,942,328,123,1164
Udinese,31,38.0,11534,15160,76.1,234533,85843,4480,5236,85.6,4926,5940,82.9,1955,3462,56.5,30,27.2,+2.8,338,788,238,76,1018
