Squad,# Pl,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks
Augsburg,28,34.0,12212,10465,1747,443,36,2242,420,285,133,39,55,24,6265,2321,3626,2948,7139,710,772,226,8618,71,325,213,437
Bayern Munich,29,34.0,24240,22533,1707,444,67,3599,703,648,239,72,84,35,17276,3477,3487,6844,15299,707,769,323,20739,68,316,352,488
Dortmund,27,34.0,24010,22415,1595,410,51,3544,632,366,188,48,77,18,17836,3349,2825,6454,15710,625,693,291,20781,44,292,363,469
Düsseldorf,28,34.0,15049,13318,1731,496,23,2672,651,441,149,29,79,18,8553,2649,3847,4089,8777,770,731,262,11476,52,348,220,419
Eint Frankfurt,27,34.0,16463,14655,1808,458,25,3002,484,561,214,56,112,18,9227,3028,4208,4907,9105,863,811,244,12408,47,332,255,532
Freiburg,26,34.0,15509,13684,1825,461,25,2825,483,387,151,87,32,13,9266,2630,3613,4574,8789,688,765,281,12120,50,292,220,448
Hertha BSC,32,34.0,14845,13188,1657,428,23,2503,560,382,125,31,73,9,8715,2520,3610,4366,8365,650,741,258,11480,49,283,200,426
Hoffenheim,31,34.0,17961,16235,1726,473,39,3394,413,362,174,43,97,20,11735,2799,3427,4186,11702,678,698,318,14589,51,299,215,432
Köln,29,34.0,14923,13131,1792,479,26,2897,456,429,175,74,67,18,8449,2464,4010,5176,7611,742,737,183,11292,65,321,237,412
Leverkusen,24,34.0,22816,21030,1786,476,55,3927,549,426,215,100,66,31,16081,3373,3362,7615,13160,610,784,312,19160,79,291,344,519
M'Gladbach,25,34.0,17921,16164,1757,489,56,2907,444,387,171,50,55,36,11629,2975,3317,4216,11725,605,740,249,14479,79,231,314,445
Mainz 05,25,34.0,13844,12065,1779,440,32,2466,447,383,174,57,92,16,8041,2365,3438,3717,8113,556,752,330,10302,57,268,222,403
Paderborn 07,27,34.0,15062,13187,1875,422,19,2758,557,313,176,60,76,16,9166,2523,3373,3752,9169,618,885,325,11645,47,317,269,500
RB Leipzig,29,34.0,19986,18285,1701,467,54,3171,456,405,188,80,65,16,13338,3279,3369,4466,13372,730,739,325,16395,69,285,321,506
Schalke 04,29,34.0,15680,13921,1759,447,35,2776,404,303,152,12,101,16,9390,2531,3759,4187,9435,631,802,208,12189,77,314,242,454
Union Berlin,26,34.0,13395,11649,1746,446,16,2662,292,388,137,67,55,8,6384,2834,4177,3291,7426,943,796,264,9503,59,386,215,464
Werder Bremen,30,34.0,16581,14729,1852,535,19,2975,469,386,159,70,63,15,10034,2793,3754,4628,9879,686,747,261,12979,50,288,229,495
Wolfsburg,26,34.0,15547,13734,1813,450,32,2670,513,417,166,35,80,15,8733,2915,3899,5568,7511,834,878,265,11716,65,312,272,499
