Squad,# Pl,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks
Alavés,30,38.0,14169,12225,1944,600,25,2353,554,409,142,37,63,15,7717,2198,4254,4882,6622,930,801,186,10284,65,342,320,393
Athletic Club,27,38.0,17675,15643,2032,560,36,2368,663,543,198,66,65,12,10873,2885,3917,4787,10368,803,923,300,13694,63,389,429,522
Atlético Madrid,25,38.0,20602,18827,1775,491,45,2690,586,437,196,56,95,1,14468,2504,3630,5302,13187,718,734,236,16924,84,293,418,448
Barcelona,25,38.0,28517,26827,1690,545,91,3282,439,411,217,65,30,10,23440,2573,2504,10882,15913,516,641,294,25414,82,237,510,498
Betis,25,38.0,19523,17631,1892,599,29,2563,588,425,184,44,79,9,13600,2349,3574,7425,10043,647,770,231,15938,57,324,365,427
Cádiz,34,38.0,11925,10005,1920,589,18,1989,490,432,149,51,73,11,5799,2035,4091,2480,7137,717,734,175,8053,51,337,274,397
Celta Vigo,30,38.0,19156,17301,1855,554,43,2425,483,361,125,37,64,7,13090,2545,3521,5783,11235,692,767,269,15277,65,367,392,453
Eibar,30,38.0,16701,14658,2043,517,13,2764,777,614,197,92,91,9,8692,2738,5271,4812,8700,1190,989,252,11903,62,536,343,464
Elche,30,38.0,16952,15113,1839,537,9,2625,523,415,137,59,51,2,11209,2102,3641,4870,10203,530,720,247,13601,48,296,347,396
Getafe,31,38.0,13413,11352,2061,604,7,2117,559,537,143,57,38,13,6276,2378,4759,3721,6716,1037,971,136,9017,64,374,320,449
Granada,34,38.0,13165,11237,1928,514,20,2238,415,381,127,52,39,7,7041,2055,4069,3285,7497,741,868,162,9247,67,390,309,454
Huesca,27,38.0,17400,15464,1936,606,12,2671,616,502,156,53,61,4,11191,2330,3879,5652,9505,763,783,261,13636,96,384,313,453
Levante,29,38.0,17838,16015,1823,509,30,2718,612,489,173,54,38,12,11836,2554,3448,4326,11549,608,765,293,14234,63,364,413,492
Osasuna,28,38.0,14861,13014,1847,518,15,2508,596,510,117,42,48,8,7513,2460,4888,4197,7578,1118,826,193,10415,63,421,340,456
Real Madrid,30,38.0,24055,22267,1788,507,47,2760,915,577,225,65,66,18,17814,2903,3338,6319,15856,498,756,371,20825,74,321,360,537
Real Sociedad,30,38.0,18740,16885,1855,548,42,2699,451,467,196,78,76,17,12681,2469,3590,6730,9662,831,819,209,14976,79,342,360,498
Sevilla,26,38.0,22824,21045,1779,517,30,2832,943,555,167,33,59,8,16144,2712,3968,6083,14491,713,795,264,19429,60,370,363,415
Valencia,30,38.0,16456,14608,1848,589,21,2390,623,395,163,54,53,8,10480,2404,3572,3726,10656,673,667,251,12953,79,334,330,427
Valladolid,32,38.0,15333,13389,1944,581,19,2388,556,480,145,46,41,7,8885,2256,4192,4068,8946,781,794,235,11338,63,373,343,471
Villarreal,29,38.0,20981,19182,1799,540,51,2929,604,466,160,56,34,2,15265,2545,3171,7186,11794,642,712,295,17601,80,309,376,476
