Squad,# Pl,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks
Amiens,26,38.0,16181,14162,2019,565,20,2690,439,387,138,7,15,4,9815,2235,4131,4139,9528,922,908,175,12031,54,401,268,442
Angers,24,38.0,16742,14910,1832,494,43,2910,396,367,165,18,29,4,11036,2035,3671,4874,9642,813,795,245,13020,44,300,259,408
Bordeaux,33,38.0,18550,16628,1922,533,29,3187,533,407,171,39,12,0,12412,2507,3631,4502,11793,850,821,224,14650,46,315,345,462
Caen,26,38.0,15495,13539,1956,539,17,2688,639,368,125,8,15,3,8975,2159,4361,4171,8884,859,885,261,11523,39,408,255,382
Dijon,26,38.0,16945,15080,1865,474,30,2806,537,375,165,16,21,14,10749,2157,4039,4680,9984,777,803,255,13058,51,389,225,433
Guingamp,30,38.0,15709,13738,1971,485,13,2677,480,502,191,27,16,4,9039,2283,4387,3998,9043,1045,893,195,11408,51,438,301,478
Lille,25,38.0,18207,16299,1908,557,40,2845,449,370,163,17,30,2,12895,2022,3290,5697,10423,678,846,272,14573,35,350,268,435
Lyon,25,38.0,22496,20720,1776,460,90,3182,609,495,226,30,17,9,17034,2526,2936,6599,13912,690,746,257,19060,86,313,422,450
Marseille,24,38.0,19932,17989,1943,504,36,3249,496,539,224,18,32,8,13587,2532,3813,5554,12012,847,886,250,16031,35,379,275,492
Monaco,42,38.0,17930,15936,1994,562,30,3060,537,497,189,36,29,11,11964,2618,3348,5146,10558,750,894,253,14093,51,371,299,494
Montpellier,25,38.0,17663,15734,1929,511,21,3082,661,505,169,25,25,4,10707,2466,4490,4739,10290,931,891,335,13580,50,365,258,485
Nantes,33,38.0,17605,15626,1979,506,37,3204,518,502,182,20,11,4,10887,2688,4030,5223,9809,1024,899,251,13301,68,393,337,473
Nice,30,38.0,21069,19286,1783,560,31,3262,576,367,170,17,18,9,16187,2030,2852,7215,12183,532,669,258,17888,37,341,313,405
Nîmes,23,38.0,15518,13416,2102,535,30,2692,514,419,202,17,29,16,9073,2451,3994,3968,9061,878,981,220,11435,38,414,262,440
Paris S-G,30,38.0,25097,23483,1614,451,180,4053,460,477,234,34,14,3,20258,2525,2314,7889,15621,541,621,241,21972,86,300,367,430
Reims,27,38.0,15559,13697,1862,487,30,2470,501,394,164,17,18,11,9576,2402,3581,5766,7556,801,844,190,11618,73,383,269,445
Rennes,28,38.0,17791,15901,1890,481,37,3052,595,454,190,32,10,6,12177,2255,3359,4093,11571,706,855,225,14207,59,392,286,464
Saint-Étienne,29,38.0,19136,17171,1965,504,40,3147,560,485,218,26,32,10,12980,2623,3533,4901,12064,751,850,230,15174,61,368,274,485
Strasbourg,26,38.0,18663,16763,1900,441,26,3306,845,440,156,15,15,8,12246,2588,3829,5541,10818,718,883,310,14802,41,396,249,509
Toulouse,29,38.0,16950,15026,1924,510,23,2938,432,428,158,24,23,5,10668,2420,3862,4863,9765,819,804,257,12939,63,392,327,408
