Squad,# Pl,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks
Arsenal,29,38.0,19802,17930,1872,490,36,3510,528,478,231,66,75,36,13732,2777,3293,6362,11512,608,753,286,16349,63,321,258,512
Aston Villa,28,38.0,15353,13360,1993,558,20,2717,590,492,200,106,37,13,8757,2527,4069,5444,7695,697,788,253,11530,60,379,218,402
Bournemouth,27,38.0,15973,14132,1841,456,47,3017,355,398,194,92,55,16,9058,2918,3997,4711,8799,888,791,253,11943,54,363,241,496
Brighton,25,38.0,19549,17758,1791,397,29,3508,644,492,178,65,66,31,12239,3308,4002,3985,13135,792,849,339,15696,66,372,308,507
Burnley,22,38.0,14227,12383,1844,421,28,2763,476,410,170,151,5,4,6869,2503,4855,4411,7168,847,861,255,9925,79,394,179,412
Chelsea,27,38.0,24532,22698,1834,399,41,4316,740,567,248,85,87,22,17110,3396,4026,4351,17936,723,868,255,20665,61,321,262,517
Crystal Palace,25,38.0,15940,13980,1960,509,16,3107,435,364,177,105,46,11,9554,2586,3800,3945,9628,678,873,278,12142,49,337,279,463
Everton,24,38.0,17176,15298,1878,463,42,2854,608,501,203,92,79,18,10253,2893,4030,4826,9869,775,842,266,13239,48,377,260,540
Leicester City,24,38.0,21149,19239,1910,490,63,3443,566,475,221,55,106,21,14241,3153,3755,4775,14115,721,878,254,17329,55,361,291,518
Liverpool,24,38.0,25110,23231,1879,437,92,3723,882,569,256,60,122,13,16785,3604,4721,5544,17096,885,877,270,20887,48,390,303,541
Manchester City,24,38.0,27673,26098,1575,353,106,4129,807,617,297,101,63,26,21037,3349,3287,10236,15451,682,686,289,24266,63,274,347,535
Manchester Utd,29,38.0,21170,19343,1827,470,43,3648,614,392,202,72,70,20,15138,2857,3175,5731,13433,596,817,249,17542,52,308,337,564
Newcastle Utd,28,38.0,14206,12436,1770,476,24,2793,563,383,151,61,58,12,8013,2145,4048,4099,7994,687,709,199,10500,70,309,228,382
Norwich City,30,38.0,18286,16433,1853,462,38,3625,466,259,162,66,78,10,12107,2918,3261,5432,10795,649,767,285,14610,44,348,275,448
Sheffield Utd,26,38.0,16407,14595,1812,374,22,3094,626,528,212,142,29,15,8796,2923,4688,5108,8606,953,880,185,12052,72,448,204,498
Southampton,25,38.0,16900,14943,1957,448,40,3214,479,427,209,89,84,26,9389,2865,4646,3119,10989,1043,947,213,12482,51,404,247,441
Tottenham,29,38.0,19704,17883,1821,464,48,3313,496,387,199,92,52,24,13099,2949,3656,5408,12079,739,784,225,15794,62,266,314,488
Watford,26,38.0,15407,13605,1802,405,30,2720,493,488,167,68,50,25,8171,2848,4388,3828,9042,861,835,208,11208,62,299,247,428
West Ham,29,38.0,16488,14651,1837,439,35,3153,501,470,190,94,53,25,9317,2744,4427,4629,9427,769,816,223,12388,56,308,250,533
Wolves,21,38.0,17895,16118,1777,403,34,3044,705,476,193,41,83,12,10117,3312,4466,3843,11601,863,821,237,14072,45,328,255,470
