Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
Augsburg,30,26.5,34,3060,90,100,34.0,374,85,,94,22,144,0.94,51,71,-20,-0.59,43.3,57.5,-14.1,-0.42
Bayern Munich,24,27.4,34,3060,90,100,34.0,374,85,,102,20,133,2.29,88,32,+56,+1.65,80.8,25.9,+55.0,+1.62
Dortmund,23,24.8,34,3060,90,100,34.0,374,85,,100,17,137,2.24,81,44,+37,+1.09,58.4,39.5,+18.9,+0.56
Düsseldorf,24,26.9,34,3060,90,100,34.0,374,85,,97,19,140,1.29,49,65,-16,-0.47,46.7,60.2,-13.5,-0.40
Eint Frankfurt,30,26.4,34,3060,90,100,34.0,374,84,,93,21,145,1.59,60,48,+12,+0.35,55.4,50.5,+4.9,+0.14
Freiburg,28,25.8,34,3060,90,100,34.0,374,85,,101,20,137,1.06,46,61,-15,-0.44,42.2,55.4,-13.3,-0.39
Hannover 96,32,26.3,34,3060,90,100,34.0,374,84,,97,22,141,0.62,31,71,-40,-1.18,33.7,66.1,-32.4,-0.95
Hertha BSC,26,25.9,34,3060,90,100,34.0,374,85,,92,20,145,1.26,49,57,-8,-0.24,47.9,59.4,-11.5,-0.34
Hoffenheim,29,25.5,34,3060,90,100,34.0,374,84,,100,23,138,1.50,70,52,+18,+0.53,73.1,51.9,+21.2,+0.62
Leverkusen,21,25.3,34,3060,90,100,34.0,374,85,,93,22,144,1.71,69,52,+17,+0.50,62.1,43.6,+18.5,+0.54
M'Gladbach,22,26.5,34,3060,90,100,34.0,374,84,,102,20,136,1.62,55,42,+13,+0.38,51.1,49.6,+1.5,+0.04
Mainz 05,28,24.2,34,3060,90,100,34.0,374,85,,102,20,136,1.26,46,57,-11,-0.32,48.5,57.2,-8.6,-0.25
Nürnberg,27,24.9,34,3060,90,100,34.0,374,84,,96,20,141,0.56,26,68,-42,-1.24,33.0,55.7,-22.6,-0.67
RB Leipzig,23,24.0,34,3060,90,100,34.0,374,86,,100,15,138,1.94,63,29,+34,+1.00,60.8,35.1,+25.7,+0.76
Schalke 04,32,25.8,34,3060,90,100,34.0,374,84,,97,21,141,0.97,37,55,-18,-0.53,43.1,49.8,-6.7,-0.20
Stuttgart,26,26.3,34,3060,90,100,34.0,374,84,,101,23,137,0.82,32,70,-38,-1.12,39.0,57.4,-18.3,-0.54
Werder Bremen,24,27.1,34,3060,90,100,34.0,374,84,,101,22,137,1.56,58,49,+9,+0.26,49.5,53.9,-4.4,-0.13
Wolfsburg,25,25.4,34,3060,90,100,34.0,374,86,,97,16,140,1.62,62,50,+12,+0.35,46.2,46.4,-0.2,0.00
