Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
Alavés,30,28.7,38,3420,90,100,38.0,418,82,248,163,20,254,1.00,36,57,-21,-0.55,42.4,50.8,-8.3,-0.22
Athletic Club,27,26.6,38,3420,90,100,38.0,418,81,240,177,22,242,1.21,46,42,+4,+0.11,44.4,36.3,+8.1,+0.21
Atlético Madrid,25,27.3,38,3420,90,100,38.0,418,82,272,148,23,231,2.26,67,25,+42,+1.11,52.4,32.7,+19.6,+0.52
Barcelona,25,26.4,38,3420,90,100,38.0,418,82,260,158,22,260,2.08,85,38,+47,+1.24,78.9,39.6,+39.3,+1.03
Betis,25,27.9,38,3420,90,100,38.0,418,82,258,155,21,276,1.61,50,50,0,0.00,46.0,45.5,+0.5,+0.01
Cádiz,34,28.8,38,3420,90,100,38.0,418,80,236,180,23,262,1.16,36,58,-22,-0.58,34.0,55.0,-21.0,-0.55
Celta Vigo,30,26.6,38,3420,90,100,38.0,418,83,280,137,20,238,1.39,55,57,-2,-0.05,47.7,49.5,-1.8,-0.05
Eibar,30,28.2,38,3420,90,100,38.0,418,82,266,149,21,266,0.79,29,52,-23,-0.61,41.5,47.0,-5.6,-0.15
Elche,30,28.1,38,3420,90,100,38.0,418,82,267,152,21,298,0.95,34,55,-21,-0.55,30.5,58.4,-27.9,-0.73
Getafe,31,26.7,38,3420,90,100,38.0,418,83,270,141,19,228,1.00,28,43,-15,-0.39,32.7,40.3,-7.7,-0.20
Granada,34,27.4,38,3420,90,100,38.0,418,80,243,176,24,222,1.21,47,65,-18,-0.47,39.5,53.7,-14.2,-0.37
Huesca,27,28.0,38,3420,90,100,38.0,418,82,246,171,21,215,0.89,34,53,-19,-0.50,35.3,44.3,-9.0,-0.24
Levante,29,28.0,38,3420,90,100,38.0,418,81,233,184,20,219,1.08,46,57,-11,-0.29,41.0,53.9,-13.0,-0.34
Osasuna,28,27.9,38,3420,90,100,38.0,418,81,240,173,20,247,1.16,37,48,-11,-0.29,37.6,51.3,-13.7,-0.36
Real Madrid,30,27.9,38,3420,90,100,38.0,418,82,279,137,23,217,2.21,67,28,+39,+1.03,61.5,36.5,+25.1,+0.66
Real Sociedad,30,25.0,38,3420,90,100,38.0,418,81,240,177,21,235,1.63,59,38,+21,+0.55,60.4,36.6,+23.8,+0.63
Sevilla,26,28.1,38,3420,90,100,38.0,418,81,233,184,20,266,2.03,53,33,+20,+0.53,50.9,35.0,+15.9,+0.42
Valencia,30,25.2,38,3420,90,100,38.0,418,83,263,150,19,283,1.13,50,53,-3,-0.08,43.9,53.9,-10.0,-0.26
Valladolid,32,28.1,38,3420,90,100,38.0,418,81,246,170,21,246,0.82,34,57,-23,-0.61,37.1,51.8,-14.7,-0.39
Villarreal,29,28.0,38,3420,90,100,38.0,418,82,253,165,20,238,1.53,60,44,+16,+0.42,58.0,43.5,+14.5,+0.38
