Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
Amiens,30,27.5,38,3420,90,100,38.0,418,85,303,111,20,155,1.18,37,42,-5,-0.13,35.3,55.4,-20.2,-0.53
Angers,27,27.1,38,3420,90,100,38.0,418,84,303,112,22,153,1.08,42,52,-10,-0.26,45.6,44.0,+1.6,+0.04
Bordeaux,31,25.1,38,3420,90,100,38.0,418,84,303,112,21,153,1.45,53,48,+5,+0.13,52.6,40.8,+11.8,+0.31
Caen,26,27.3,38,3420,90,100,38.0,418,84,320,95,25,170,1.00,27,52,-25,-0.66,42.2,48.7,-6.6,-0.17
Dijon,26,26.6,38,3420,90,100,38.0,418,84,302,111,20,154,1.26,55,73,-18,-0.47,42.9,69.2,-26.3,-0.69
Guingamp,23,27.2,38,3420,90,100,38.0,418,84,304,113,20,153,1.24,48,59,-11,-0.29,45.6,53.6,-8.0,-0.21
Lille,25,22.6,38,3420,90,100,38.0,418,83,303,109,25,157,1.00,41,67,-26,-0.68,37.7,56.7,-19.0,-0.50
Lyon,26,24.4,38,3420,90,100,38.0,418,85,308,108,18,158,2.05,87,43,+44,+1.16,67.0,39.7,+27.3,+0.72
Marseille,26,27.2,38,3420,90,100,38.0,418,84,303,113,21,153,2.03,80,47,+33,+0.87,72.1,42.8,+29.3,+0.77
Metz,36,27.4,38,3420,90,100,38.0,418,84,308,102,22,157,0.68,34,76,-42,-1.11,37.9,67.1,-29.1,-0.77
Monaco,32,25.8,38,3420,90,100,38.0,418,84,305,111,20,155,2.11,85,45,+40,+1.05,61.5,47.0,+14.5,+0.38
Montpellier,23,26.4,38,3420,90,100,38.0,418,84,306,110,21,155,1.34,36,33,+3,+0.08,42.4,41.7,+0.7,+0.02
Nantes,30,25.6,38,3420,90,100,38.0,418,83,301,111,24,155,1.37,36,41,-5,-0.13,43.3,41.3,+2.0,+0.05
Nice,31,25.0,38,3420,90,100,38.0,418,86,319,95,15,171,1.42,53,52,+1,+0.03,51.7,48.2,+3.5,+0.09
Paris S-G,28,26.1,38,3420,90,100,38.0,418,85,306,105,19,161,2.45,108,29,+79,+2.08,89.2,32.1,+57.1,+1.50
Rennes,28,24.2,38,3420,90,100,38.0,418,85,314,101,21,164,1.53,50,44,+6,+0.16,49.4,53.5,-4.1,-0.11
Saint-Étienne,30,26.6,38,3420,90,100,38.0,418,83,304,107,24,158,1.45,47,50,-3,-0.08,52.0,51.7,+0.4,+0.01
Strasbourg,25,27.2,38,3420,90,100,38.0,418,85,304,110,18,156,1.00,44,67,-23,-0.61,45.4,55.8,-10.4,-0.27
Toulouse,25,23.9,38,3420,90,100,38.0,418,84,305,110,22,156,0.97,38,54,-16,-0.42,46.0,53.3,-7.3,-0.19
Troyes,25,26.7,38,3420,90,100,38.0,418,83,298,114,23,152,0.87,32,59,-27,-0.71,36.9,54.2,-17.3,-0.45
