Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
Arsenal,29,25.8,38,3420,90,100,38.0,418,83,,123,21,163,1.47,56,48,+8,+0.21,49.2,56.6,-7.3,-0.19
Aston Villa,28,25.7,38,3420,90,100,38.0,418,84,,113,22,173,0.92,41,67,-26,-0.68,40.1,65.9,-25.8,-0.68
Bournemouth,27,25.2,38,3420,90,100,38.0,418,84,,108,23,176,0.89,40,65,-25,-0.66,42.7,57.5,-14.8,-0.39
Brighton,25,26.4,38,3420,90,100,38.0,418,84,,128,20,155,1.08,39,54,-15,-0.39,41.2,54.5,-13.3,-0.35
Burnley,22,28.0,38,3420,90,100,38.0,418,86,,74,20,206,1.42,43,50,-7,-0.18,43.9,48.3,-4.4,-0.12
Chelsea,27,25.5,38,3420,90,100,38.0,418,84,,117,20,166,1.74,69,54,+15,+0.39,66.6,37.9,+28.6,+0.75
Crystal Palace,25,29.4,38,3420,90,100,38.0,418,85,,98,20,185,1.13,31,50,-19,-0.50,34.0,51.3,-17.3,-0.46
Everton,24,25.5,38,3420,90,100,38.0,418,83,,120,24,164,1.29,44,56,-12,-0.32,49.3,48.4,+0.9,+0.02
Leicester City,24,26.1,38,3420,90,100,38.0,418,84,,112,21,172,1.63,67,41,+26,+0.68,61.6,44.5,+17.1,+0.45
Liverpool,24,26.6,38,3420,90,100,38.0,418,85,,127,17,157,2.61,85,33,+52,+1.37,71.5,40.0,+31.5,+0.83
Manchester City,24,26.9,38,3420,90,100,38.0,418,83,,120,22,166,2.13,102,35,+67,+1.76,93.0,34.7,+58.3,+1.53
Manchester Utd,29,24.8,38,3420,90,100,38.0,418,85,,119,16,165,1.74,66,36,+30,+0.79,59.4,37.4,+22.0,+0.58
Newcastle Utd,28,26.5,38,3420,90,100,38.0,418,84,,118,20,166,1.16,38,58,-20,-0.53,33.1,58.3,-25.2,-0.66
Norwich City,30,26.0,38,3420,90,100,38.0,418,85,,126,17,157,0.55,26,75,-49,-1.29,38.0,61.9,-23.9,-0.63
Sheffield Utd,26,26.9,38,3420,90,100,38.0,418,84,,110,22,171,1.42,39,39,0,0.00,41.5,47.9,-6.4,-0.17
Southampton,25,25.9,38,3420,90,100,38.0,418,85,,111,18,171,1.37,51,60,-9,-0.24,54.0,53.1,+0.9,+0.02
Tottenham,29,26.7,38,3420,90,100,38.0,418,85,,113,18,171,1.55,61,47,+14,+0.37,46.1,52.0,-6.0,-0.16
Watford,26,28.9,38,3420,90,100,38.0,418,84,,113,20,171,0.89,36,64,-28,-0.74,45.1,57.3,-12.2,-0.32
West Ham,29,27.4,38,3420,90,100,38.0,418,85,,107,21,177,1.03,49,62,-13,-0.34,46.2,61.1,-14.8,-0.39
Wolves,21,26.6,38,3420,90,100,38.0,418,86,,97,19,187,1.55,51,40,+11,+0.29,47.1,34.8,+12.3,+0.32
