Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
Atalanta,27,26.5,38,3420,90,100,38.0,418,84,308,109,22,311,1.82,77,46,+31,+0.82,66.9,41.2,+25.7,+0.68
Bologna,29,27.0,38,3420,90,100,38.0,418,85,301,112,19,339,1.16,48,56,-8,-0.21,47.4,46.7,+0.7,+0.02
Cagliari,30,27.9,38,3420,90,100,38.0,418,84,296,113,21,310,1.08,36,54,-18,-0.47,39.1,58.5,-19.4,-0.51
Chievo,36,28.3,38,3420,90,100,38.0,418,83,300,113,23,327,0.45,25,75,-50,-1.32,35.6,59.6,-23.9,-0.63
Empoli,29,26.4,38,3420,90,100,38.0,418,85,311,106,21,319,1.00,51,70,-19,-0.50,52.0,61.0,-8.9,-0.24
Fiorentina,27,24.1,38,3420,90,100,38.0,418,84,306,109,23,316,1.08,47,45,+2,+0.05,52.4,42.3,+10.2,+0.27
Frosinone,33,26.4,38,3420,90,100,38.0,418,85,306,110,20,339,0.66,29,69,-40,-1.05,35.5,60.8,-25.3,-0.67
Genoa,31,26.0,38,3420,90,100,38.0,418,83,300,112,23,327,1.00,39,57,-18,-0.47,43.6,53.8,-10.2,-0.27
Inter,23,27.7,38,3420,90,100,38.0,418,85,303,114,20,251,1.82,57,33,+24,+0.63,64.1,38.2,+25.9,+0.68
Juventus,31,28.0,38,3420,90,100,38.0,418,85,315,102,20,251,2.37,70,30,+40,+1.05,58.2,36.1,+22.1,+0.58
Lazio,30,27.9,38,3420,90,100,38.0,418,83,301,113,24,328,1.55,56,46,+10,+0.26,56.4,42.7,+13.7,+0.36
Milan,23,24.8,38,3420,90,100,38.0,418,85,309,104,20,334,1.79,55,36,+19,+0.50,48.1,40.0,+8.1,+0.21
Napoli,26,27.0,38,3420,90,100,38.0,418,84,300,113,23,261,2.08,74,36,+38,+1.00,68.1,34.5,+33.7,+0.89
Parma,31,29.4,38,3420,90,100,38.0,418,85,302,113,19,306,1.08,41,61,-20,-0.53,38.6,65.2,-26.6,-0.70
Roma,26,27.5,38,3420,90,100,38.0,418,84,305,111,23,287,1.74,66,48,+18,+0.47,64.3,54.4,+9.9,+0.26
Sampdoria,24,26.1,38,3420,90,100,38.0,418,84,303,112,22,314,1.39,60,51,+9,+0.24,49.8,52.7,-2.9,-0.08
Sassuolo,29,25.4,38,3420,90,100,38.0,418,84,299,113,21,333,1.13,53,60,-7,-0.18,46.4,57.2,-10.8,-0.28
SPAL,28,27.8,38,3420,90,100,38.0,418,85,302,113,19,332,1.11,44,56,-12,-0.32,41.5,48.6,-7.0,-0.19
Torino,25,27.6,38,3420,90,100,38.0,418,85,304,112,20,273,1.66,52,37,+15,+0.39,49.3,48.0,+1.3,+0.04
Udinese,31,25.3,38,3420,90,100,38.0,418,85,311,104,19,297,1.13,39,53,-14,-0.37,41.5,57.7,-16.2,-0.43
