Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
Augsburg,28,38.1,34.0,16354,2512,6702,7045,3534,568,14630,251,488,51.4,284,19,9156,48259,24857,821,272,89,424,390,11083,8618,77.8,1078
Bayern Munich,29,65.6,34.0,28044,2149,7737,14375,7803,1317,26379,522,835,62.5,566,28,20156,102447,54630,2277,605,235,444,377,23353,20739,88.8,2285
Dortmund,27,61.0,34.0,27902,2183,8548,14302,6858,980,26351,503,828,60.7,545,40,20139,99016,51936,2119,595,189,437,419,23240,20781,89.4,1668
Düsseldorf,28,45.4,34.0,18883,2196,6989,8308,4639,627,17184,294,490,60.0,315,10,11508,55487,30639,1069,352,94,411,362,13976,11476,82.1,1344
Eint Frankfurt,27,51.0,34.0,20519,2148,6655,10030,5131,844,18764,346,569,60.8,367,19,12398,67627,37610,1447,429,146,411,361,15261,12408,81.3,1630
Freiburg,26,47.9,34.0,19701,2789,7783,8685,4537,731,17914,277,484,57.2,295,16,12251,68146,36756,1221,396,118,410,387,14313,12120,84.7,1305
Hertha BSC,32,44.7,34.0,19063,2390,7281,8959,4052,568,17473,391,596,65.6,414,18,11846,63789,34220,1171,340,104,444,400,13820,11480,83.1,1172
Hoffenheim,31,51.9,34.0,22069,2697,8705,10201,4512,780,20392,312,539,57.9,333,15,13904,69066,37449,1292,399,135,417,410,16823,14589,86.7,1430
Köln,29,46.7,34.0,19173,2370,7267,8595,4453,682,17442,290,494,58.7,314,12,11330,60209,30839,1117,343,80,489,350,13813,11292,81.7,1342
Leverkusen,24,63.8,34.0,26975,2466,8622,14296,5839,922,25265,472,758,62.3,505,34,18799,92899,46756,1778,524,180,460,450,21880,19160,87.6,1699
M'Gladbach,25,52.4,34.0,21964,2523,8191,10420,4816,855,20255,427,686,62.2,455,29,14431,73044,40827,1402,411,155,403,405,17068,14479,84.8,1552
Mainz 05,25,43.2,34.0,18333,2381,6633,8412,4477,705,16601,413,662,62.4,448,21,11106,59405,32778,1154,353,105,511,405,12656,10302,81.4,1288
Paderborn 07,27,45.7,34.0,19619,2681,8423,8326,4231,622,17768,421,756,55.7,473,42,12149,68649,38502,1195,354,151,511,472,13923,11645,83.6,1258
RB Leipzig,29,55.5,34.0,24211,2246,7393,12119,6186,1030,22547,424,680,62.4,462,17,16110,82042,45463,1845,513,187,501,388,18952,16395,86.5,1830
Schalke 04,29,49.0,34.0,20016,2408,7302,9239,4860,695,18339,436,737,59.2,462,26,12669,68613,36358,1263,381,120,510,474,14904,12189,81.8,1419
Union Berlin,26,41.8,34.0,17733,2286,6746,7802,4154,614,16020,284,444,64.0,304,16,9295,48616,24683,846,292,81,458,353,12114,9503,78.4,1213
Werder Bremen,30,48.8,34.0,20864,2519,7265,10088,4783,704,19079,278,487,57.1,296,17,12939,65281,34516,1247,392,98,453,403,15465,12979,83.9,1472
Wolfsburg,26,48.3,34.0,19911,2102,6576,9616,4946,787,18132,388,617,62.9,414,30,11921,62106,34411,1300,363,141,469,469,14309,11716,81.9,1601
