Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
Alavés,30,42.7,38.0,18391,2289,6566,8801,3937,640,16491,274,477,57.4,302,16,9826,49063,25072,953,280,105,428,351,12990,10284,79.2,914
Athletic Club,27,49.8,38.0,21646,2111,6458,10859,5688,766,19688,315,529,59.5,335,26,12942,73017,40524,1568,484,145,398,383,16714,13694,81.9,1349
Atlético Madrid,25,52.4,38.0,24797,2122,7261,12558,6275,992,23085,366,603,60.7,395,38,16070,74449,39926,1683,435,152,402,406,19677,16924,86.0,1509
Barcelona,25,65.8,38.0,32311,2524,7938,15985,10509,1378,30715,505,786,64.2,538,33,23667,113680,63392,2831,850,263,366,389,27982,25414,90.8,1808
Betis,25,53.9,38.0,23809,2272,7125,11884,6099,879,21983,359,584,61.5,384,25,15482,75009,39380,1673,513,157,467,467,18509,15938,86.1,1155
Cádiz,34,34.3,38.0,16108,2247,5912,7405,3627,490,14221,325,513,63.4,354,30,8147,43974,23896,888,282,72,443,352,10838,8053,74.3,688
Celta Vigo,30,53.7,38.0,23389,2659,8346,11512,4873,656,21615,285,491,58.0,311,17,14615,70937,37596,1396,449,101,396,340,18118,15277,84.3,1158
Eibar,30,49.6,38.0,20968,1910,5646,10272,6105,769,18966,349,566,61.7,379,24,11782,60643,29506,1246,385,101,518,398,15288,11903,77.9,1122
Elche,30,47.6,38.0,21030,2763,8370,10166,3731,448,19255,379,656,57.8,407,37,13221,65650,34067,1190,339,73,506,413,16090,13601,84.5,809
Getafe,31,42.8,38.0,17830,1729,4863,8188,5645,718,15819,250,459,54.5,272,24,9315,48818,25688,1102,362,102,478,422,11886,9017,75.9,1045
Granada,34,41.0,38.0,17330,2281,6088,8030,4101,610,15429,309,528,58.5,328,32,9203,47361,24959,947,269,94,385,388,12191,9247,75.9,918
Huesca,27,48.3,38.0,21468,2676,8287,10018,4683,659,19618,444,692,64.2,481,27,13535,75972,41321,1512,452,107,456,390,16319,13636,83.6,993
Levante,29,52.4,38.0,22070,2610,7921,10275,5224,769,20311,391,653,59.9,434,30,13970,70670,38570,1456,466,113,433,433,16970,14234,83.9,1347
Osasuna,28,43.1,38.0,19063,2254,6103,9171,4694,684,17260,247,458,53.9,278,26,9946,48053,24365,923,289,71,469,362,13638,10415,76.4,1053
Real Madrid,30,59.7,38.0,28066,2554,8336,13444,8171,1140,26345,459,718,63.9,483,29,19619,104251,56158,2331,712,231,429,346,23362,20825,89.1,1541
Real Sociedad,30,55.1,38.0,22728,2327,6904,11503,5747,929,20932,323,538,60.0,348,14,14687,77725,42399,1632,458,123,429,394,17775,14976,84.3,1344
Sevilla,26,61.2,38.0,26770,2724,8625,13051,6490,863,25065,402,599,67.1,424,22,18073,82776,43783,1781,478,139,448,411,21992,19429,88.3,1323
Valencia,30,46.9,38.0,20585,2781,7585,9551,4775,624,18781,302,525,57.5,338,15,12310,67993,37595,1428,441,95,416,368,15623,12953,82.9,1092
Valladolid,32,45.1,38.0,19624,2339,6684,9267,4809,607,17726,285,522,54.6,310,20,11189,59320,30553,1214,403,104,399,372,14226,11338,79.7,937
Villarreal,29,55.6,38.0,25048,2729,8270,12600,5884,907,23309,456,717,63.6,488,36,16883,88034,49668,1869,541,168,447,407,20182,17601,87.2,1412
