Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
Arsenal,29,54.0,38.0,24196,2929,8623,11508,5691,931,22390,428,711,60.2,455,34,16309,86892,48706,1918,501,171,448,451,18851,16349,86.7,1484
Aston Villa,28,43.9,38.0,19827,2772,7317,8474,5328,781,17902,368,584,63.0,404,25,11554,66138,34580,1417,466,128,409,428,14087,11530,81.8,1345
Bournemouth,27,43.8,38.0,20686,2739,7781,8690,5386,832,18878,360,646,55.7,395,28,12186,64010,33067,1220,369,124,521,439,14685,11943,81.3,1364
Brighton,25,52.2,38.0,24066,2881,8807,10577,6186,879,22325,361,599,60.3,380,21,15610,82502,42607,1619,507,141,474,512,18478,15696,84.9,1570
Burnley,22,41.4,38.0,18703,2366,6006,8777,4828,655,16885,271,473,57.3,293,18,9851,48492,23294,907,316,61,406,355,12820,9925,77.4,1165
Chelsea,27,60.7,38.0,29171,2489,8842,14256,7901,1197,27383,466,718,64.9,498,15,20509,103002,55571,2364,623,244,475,479,23597,20665,87.6,1849
Crystal Palace,25,44.5,38.0,20796,2496,7340,9542,5126,903,18860,448,715,62.7,474,24,12388,61778,32085,1275,387,167,509,556,14799,12142,82.0,1351
Everton,24,49.2,38.0,21845,2703,7601,9939,5579,889,20006,392,635,61.7,429,31,13246,69374,36267,1420,435,134,491,470,16042,13239,82.5,1611
Leicester City,24,57.6,38.0,25867,2350,8090,12502,6789,998,24031,411,678,60.6,444,22,16888,84083,44863,1800,544,203,468,477,20014,17329,86.6,1622
Liverpool,24,63.4,38.0,29379,2183,7595,15110,8457,1318,27525,439,718,61.1,482,27,20118,95488,51317,2238,679,208,477,427,24019,20887,87.0,2109
Manchester City,24,66.9,38.0,31554,2222,7301,16365,10037,1626,30005,539,813,66.3,565,23,22892,117460,68628,3191,828,300,332,397,26741,24266,90.7,2255
Manchester Utd,29,56.2,38.0,25675,2324,7503,12600,7324,985,23880,475,780,60.9,506,39,17480,94581,54035,2260,665,213,451,478,20059,17542,87.5,1743
Newcastle Utd,28,38.6,38.0,18718,2508,7645,7774,4326,593,16998,427,656,65.1,457,18,10760,54145,28128,1012,324,115,453,407,12986,10500,80.9,1087
Norwich City,30,49.3,38.0,23022,3280,9340,9988,5141,731,21235,451,732,61.6,483,34,14491,75948,40234,1526,443,171,479,466,17229,14610,84.8,1168
Sheffield Utd,26,43.1,38.0,20790,2314,6373,8949,6476,819,19016,364,540,67.4,387,22,11990,57523,28679,1208,374,115,418,372,15038,12052,80.1,1399
Southampton,25,49.3,38.0,22030,2221,6615,10574,6045,894,20098,457,742,61.6,492,23,12534,62471,32381,1361,427,159,515,431,15420,12482,80.9,1464
Tottenham,29,52.2,38.0,24348,2661,7941,11816,6076,811,22572,467,804,58.1,510,33,15693,79682,42432,1810,536,160,410,470,18554,15794,85.1,1468
Watford,26,42.5,38.0,19952,2259,6459,9064,5455,877,18176,360,618,58.3,382,15,11603,54910,29135,1198,361,145,448,411,14093,11208,79.5,1305
West Ham,29,44.0,38.0,20825,2288,6477,9965,5580,823,19019,406,645,62.9,429,23,12519,66314,33396,1350,437,155,399,408,15315,12388,80.9,1377
Wolves,21,48.3,38.0,22382,2106,7297,10931,5458,840,20636,519,820,63.3,562,32,14114,70477,40243,1645,450,212,445,454,16703,14072,84.2,1361
