Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Augsburg,27,34.0,41,432,141,32.6,12.71,4.15,0.09,0.26,17.5,20,4,4,44.8,41.8,0.10,-3.8,-4.8
Bayern Munich,28,34.0,90,599,222,37.1,17.62,6.53,0.14,0.38,15.8,22,6,8,77.7,71.8,0.12,+12.3,+12.2
Dortmund,30,34.0,62,472,166,35.2,13.88,4.88,0.13,0.36,15.7,4,3,6,63.7,59.2,0.13,-1.7,-0.2
Eint Frankfurt,28,34.0,44,387,140,36.2,11.38,4.12,0.11,0.30,16.5,9,2,2,43.5,41.9,0.11,+0.5,+0.1
Freiburg,29,34.0,32,369,109,29.5,10.85,3.21,0.07,0.24,18.5,16,6,10,41.3,33.7,0.09,-9.3,-7.7
Hamburger SV,29,34.0,28,390,125,32.1,11.47,3.68,0.06,0.20,17.7,17,3,5,37.0,33.3,0.09,-9.0,-8.3
Hannover 96,26,34.0,44,435,140,32.2,12.79,4.12,0.09,0.29,17.5,17,4,5,46.0,42.1,0.10,-2.0,-2.1
Hertha BSC,25,34.0,43,317,129,40.7,9.32,3.79,0.12,0.30,16.9,13,4,5,39.9,36.1,0.12,+3.1,+2.9
Hoffenheim,26,34.0,64,470,169,36.0,13.82,4.97,0.13,0.36,17.3,13,4,5,51.7,47.9,0.10,+12.3,+12.1
Köln,31,34.0,33,395,118,29.9,11.62,3.47,0.08,0.25,17.7,13,3,3,42.2,40.0,0.10,-9.2,-10.0
Leverkusen,24,34.0,58,507,166,32.7,14.91,4.88,0.11,0.33,16.9,22,3,5,59.2,55.4,0.11,-1.2,-0.4
M'Gladbach,27,34.0,46,447,150,33.6,13.15,4.41,0.09,0.27,16.9,15,6,7,51.4,46.6,0.11,-5.4,-6.6
Mainz 05,27,34.0,38,418,140,33.5,12.29,4.12,0.08,0.24,20.1,17,4,4,35.3,32.3,0.08,+2.7,+1.7
RB Leipzig,23,34.0,57,489,173,35.4,14.38,5.09,0.11,0.31,17.2,22,4,5,54.2,50.5,0.10,+2.8,+3.5
Schalke 04,24,34.0,50,397,155,39.0,11.68,4.56,0.10,0.26,17.4,7,10,10,47.8,40.2,0.10,+2.2,-0.2
Stuttgart,26,34.0,35,364,117,32.1,10.71,3.44,0.09,0.29,17.2,17,1,3,39.6,37.4,0.11,-4.6,-3.4
Werder Bremen,25,34.0,34,437,143,32.7,12.85,4.21,0.08,0.24,17.1,20,0,0,39.9,39.9,0.09,-5.9,-5.9
Wolfsburg,29,34.0,36,349,114,32.7,10.26,3.35,0.10,0.31,18.3,23,1,6,39.2,34.4,0.10,-3.2,+0.6
