Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Alavés,30,38.0,40,396,136,34.3,10.42,3.58,0.10,0.29,18.4,22,1,3,39.0,36.7,0.09,+1.0,+2.3
Athletic Club,26,38.0,39,429,147,34.3,11.29,3.87,0.08,0.22,15.5,10,6,8,44.3,38.5,0.09,-5.3,-5.5
Atlético Madrid,26,38.0,57,414,152,36.7,10.89,4.00,0.13,0.35,17.4,12,4,5,48.0,44.3,0.11,+9.0,+8.7
Barcelona,25,38.0,96,580,265,45.7,15.26,6.97,0.16,0.35,15.9,59,3,5,80.4,77.2,0.14,+15.6,+15.8
Betis,29,38.0,56,413,159,38.5,10.87,4.18,0.13,0.34,18.4,21,2,3,42.6,40.5,0.10,+13.4,+13.5
Celta Vigo,23,38.0,57,442,158,35.7,11.63,4.16,0.12,0.35,16.7,30,2,3,53.2,50.9,0.12,+3.8,+4.1
Eibar,27,38.0,43,477,138,28.9,12.55,3.63,0.09,0.30,17.7,21,2,3,38.8,36.5,0.08,+4.2,+4.5
Espanyol,25,38.0,34,420,130,31.0,11.05,3.42,0.08,0.25,17.5,16,2,3,43.1,40.7,0.10,-9.1,-8.7
Getafe,32,38.0,41,368,123,33.4,9.68,3.24,0.10,0.29,18.0,15,5,12,45.6,36.4,0.10,-4.6,-0.4
Girona,25,38.0,50,460,152,33.0,12.11,4.00,0.10,0.29,17.8,24,6,8,48.2,42.1,0.09,+1.8,+1.9
La Coruña,32,38.0,38,463,135,29.2,12.18,3.55,0.08,0.26,17.3,12,3,5,49.1,45.3,0.10,-11.1,-10.3
Las Palmas,36,38.0,24,417,121,29.0,10.97,3.18,0.04,0.15,19.4,39,6,8,37.6,31.5,0.08,-13.6,-13.5
Leganés,28,38.0,32,410,131,32.0,10.79,3.45,0.07,0.23,18.4,15,2,3,40.6,38.3,0.10,-8.6,-8.3
Levante,33,38.0,43,414,120,29.0,10.89,3.16,0.09,0.32,18.2,26,5,5,41.3,37.5,0.09,+1.7,+0.5
Málaga,37,38.0,24,397,118,29.7,10.45,3.11,0.05,0.17,17.6,15,4,6,32.7,28.2,0.07,-8.7,-8.2
Real Madrid,24,38.0,91,691,266,38.5,18.18,7.00,0.12,0.31,16.4,28,8,10,82.4,74.7,0.11,+8.6,+8.3
Real Sociedad,27,38.0,64,521,169,32.4,13.71,4.45,0.12,0.36,17.5,21,4,5,54.0,50.2,0.10,+10.0,+9.8
Sevilla,31,38.0,48,518,179,34.6,13.63,4.71,0.08,0.25,17.0,16,4,5,56.4,52.6,0.10,-8.4,-8.6
Valencia,25,38.0,63,484,180,37.2,12.74,4.74,0.11,0.31,17.6,26,8,8,56.3,50.4,0.11,+6.7,+4.6
Villarreal,32,38.0,56,488,167,34.2,12.84,4.39,0.11,0.31,18.1,16,4,5,50.7,46.9,0.10,+5.3,+5.1
