Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Amiens,27,28.0,31,229,77,33.6,8.18,2.75,0.12,0.36,19.1,13,3,5,26.7,22.8,0.10,+4.3,+5.2
Angers,26,28.0,27,367,112,30.5,13.11,4.00,0.07,0.23,18.8,16,1,1,27.0,26.3,0.07,0.0,-0.3
Bordeaux,26,28.0,40,309,109,35.3,11.04,3.89,0.12,0.35,19.1,20,2,2,29.7,28.3,0.09,+10.3,+9.7
Brest,24,28.0,32,321,96,29.9,11.46,3.43,0.10,0.32,19.3,6,1,5,30.2,26.4,0.08,+1.8,+4.6
Dijon,28,28.0,26,337,99,29.4,12.04,3.54,0.07,0.25,18.0,11,1,1,28.9,28.2,0.08,-2.9,-3.2
Lille,25,28.0,35,346,123,35.5,12.36,4.39,0.09,0.24,17.9,10,5,8,39.7,33.6,0.10,-4.7,-3.6
Lyon,27,28.0,42,351,124,35.3,12.54,4.43,0.11,0.30,18.7,15,5,6,37.2,32.8,0.09,+4.8,+4.2
Marseille,23,28.0,38,371,113,30.5,13.25,4.04,0.09,0.30,19.1,19,4,6,34.7,30.2,0.08,+3.3,+3.8
Metz,24,28.0,27,305,93,30.5,10.89,3.32,0.08,0.27,20.5,19,2,4,27.3,24.3,0.08,-0.3,+0.7
Monaco,28,28.0,44,371,140,37.7,13.25,5.00,0.11,0.29,16.4,16,4,4,48.0,44.9,0.12,-4.0,-4.9
Montpellier,27,28.0,33,350,113,32.3,12.50,4.04,0.09,0.27,18.7,21,2,5,32.0,28.2,0.08,+1.0,+2.8
Nantes,29,28.0,23,335,114,34.0,11.96,4.07,0.06,0.18,19.9,9,2,2,27.8,26.4,0.08,-4.8,-5.4
Nice,31,28.0,41,331,128,38.7,11.82,4.57,0.11,0.28,18.5,25,5,5,35.2,31.6,0.10,+5.8,+4.4
Nîmes,28,28.0,29,350,110,31.4,12.50,3.93,0.08,0.25,19.0,12,2,2,29.6,28.1,0.08,-0.6,-1.1
Paris S-G,31,27.0,71,440,185,42.0,16.30,6.85,0.15,0.35,15.3,21,6,8,70.9,64.8,0.15,+0.1,+0.2
Reims,26,28.0,25,322,88,27.3,11.50,3.14,0.06,0.23,18.8,11,5,5,28.4,24.7,0.08,-3.4,-4.7
Rennes,26,28.0,37,337,110,32.6,12.04,3.93,0.10,0.31,18.4,25,3,5,36.3,32.5,0.10,+0.7,+1.5
Saint-Étienne,31,28.0,28,303,97,32.0,10.82,3.46,0.08,0.24,18.7,15,5,5,28.8,25.1,0.08,-0.8,-2.1
Strasbourg,25,27.0,32,319,103,32.3,11.81,3.81,0.09,0.28,17.6,12,3,4,34.9,31.9,0.10,-2.9,-2.9
Toulouse,30,28.0,21,310,89,28.7,11.07,3.18,0.05,0.19,17.7,12,4,6,30.1,25.5,0.08,-9.1,-8.5
