Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Arsenal,28,38.0,69,467,159,34.0,12.29,4.18,0.14,0.41,16.3,11,4,5,59.1,55.1,0.12,+9.9,+9.9
Bournemouth,28,38.0,55,439,155,35.3,11.55,4.08,0.11,0.31,16.5,15,7,9,54.4,47.6,0.11,+0.6,+0.4
Brighton,21,38.0,35,364,100,27.5,9.58,2.63,0.08,0.30,17.0,12,5,6,34.5,29.9,0.08,+0.5,+0.1
Burnley,23,38.0,43,358,114,31.8,9.42,3.00,0.11,0.36,15.1,14,2,2,41.1,39.6,0.11,+1.9,+1.4
Cardiff City,25,38.0,33,416,112,26.9,10.95,2.95,0.07,0.27,16.9,13,3,4,39.5,36.5,0.09,-6.5,-6.5
Chelsea,24,38.0,61,600,191,31.8,15.79,5.03,0.09,0.29,17.3,30,5,5,59.3,55.5,0.09,+1.7,+0.5
Crystal Palace,26,38.0,48,487,134,27.5,12.82,3.53,0.08,0.28,17.2,16,10,11,50.7,42.6,0.09,-2.7,-4.6
Everton,23,38.0,53,491,159,32.4,12.92,4.18,0.10,0.32,16.1,20,2,5,48.2,44.2,0.09,+4.8,+6.8
Fulham,28,38.0,33,444,134,30.2,11.68,3.53,0.07,0.23,18.3,10,2,3,38.8,36.5,0.08,-5.8,-5.5
Huddersfield,31,38.0,20,395,114,28.9,10.39,3.00,0.05,0.17,18.2,15,1,1,28.9,28.1,0.07,-8.9,-9.1
Leicester City,25,38.0,48,506,172,34.0,13.32,4.53,0.08,0.25,17.8,18,5,7,49.6,44.4,0.09,-1.6,-1.4
Liverpool,23,38.0,86,574,217,37.8,15.11,5.71,0.14,0.36,16.3,20,7,7,75.3,70.0,0.12,+10.7,+9.0
Manchester City,21,38.0,91,678,253,37.3,17.84,6.66,0.13,0.35,16.3,21,3,4,84.5,81.4,0.12,+6.5,+6.6
Manchester Utd,28,38.0,65,514,208,40.5,13.53,5.47,0.11,0.27,18.1,27,9,12,58.4,49.2,0.10,+6.6,+6.8
Newcastle Utd,24,38.0,41,438,136,31.1,11.53,3.58,0.09,0.29,18.1,16,1,3,39.1,36.8,0.09,+1.9,+3.2
Southampton,30,38.0,44,486,156,32.1,12.79,4.11,0.08,0.26,18.1,20,4,5,47.2,43.7,0.09,-3.2,-3.7
Tottenham,28,38.0,66,536,187,34.9,14.11,4.92,0.12,0.33,17.2,23,4,4,58.3,55.3,0.10,+7.7,+6.7
Watford,25,38.0,51,434,149,34.3,11.42,3.92,0.12,0.34,16.6,22,1,1,47.6,46.8,0.11,+3.4,+3.2
West Ham,26,38.0,51,439,148,33.7,11.55,3.89,0.10,0.31,16.6,17,5,5,46.9,43.2,0.10,+4.1,+2.8
Wolves,21,38.0,46,471,139,29.5,12.39,3.66,0.09,0.30,17.2,12,4,4,48.7,45.7,0.10,-2.7,-3.7
