Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
Arminia,26,26.0,42.2,34,374,3060,34.0,23,16,22,1,2,52,1,0.68,0.47,1.15,0.65,1.12,30.7,29.2,22.1,51.3,0.90,0.65,1.55,0.86,1.51
Augsburg,25,27.0,41.3,34,374,3060,34.0,35,23,33,2,5,70,4,1.03,0.68,1.71,0.97,1.65,36.1,32.3,24.5,56.9,1.06,0.72,1.78,0.95,1.67
Bayern Munich,29,27.3,61.1,34,374,3060,34.0,98,75,89,9,10,44,3,2.88,2.21,5.09,2.62,4.82,75.8,68.2,53.3,121.5,2.23,1.57,3.80,2.01,3.57
Dortmund,26,25.6,59.8,34,374,3060,34.0,74,57,71,3,7,44,1,2.18,1.68,3.85,2.09,3.76,68.6,62.9,51.0,113.9,2.02,1.50,3.52,1.85,3.35
Eint Frankfurt,25,27.2,54.0,34,374,3060,34.0,63,52,55,8,8,82,1,1.85,1.53,3.38,1.62,3.15,56.1,50.0,43.1,93.1,1.65,1.27,2.92,1.47,2.74
Freiburg,24,26.2,47.0,34,374,3060,34.0,51,34,45,6,6,62,0,1.50,1.00,2.50,1.32,2.32,46.2,41.7,29.2,70.9,1.36,0.86,2.22,1.23,2.09
Hertha BSC,32,25.4,49.4,34,374,3060,34.0,40,29,36,4,6,67,3,1.18,0.85,2.03,1.06,1.91,42.4,37.9,29.8,67.7,1.25,0.88,2.13,1.11,1.99
Hoffenheim,30,25.7,51.1,34,374,3060,34.0,51,38,46,5,6,68,4,1.50,1.12,2.62,1.35,2.47,51.8,47.3,35.9,83.2,1.52,1.06,2.58,1.39,2.45
Köln,28,24.9,46.3,36,374,3060,34.0,33,23,29,4,6,63,1,0.97,0.68,1.65,0.85,1.53,39.1,34.7,24.6,59.3,1.15,0.72,1.88,1.02,1.74
Leverkusen,30,25.4,59.9,34,374,3060,34.0,52,41,49,3,3,58,0,1.53,1.21,2.74,1.44,2.65,47.2,45.0,33.8,78.8,1.39,0.99,2.38,1.32,2.32
M'Gladbach,23,26.9,51.9,34,374,3060,34.0,63,44,53,10,11,61,2,1.85,1.29,3.15,1.56,2.85,55.2,47.0,34.6,81.7,1.62,1.02,2.64,1.38,2.40
Mainz 05,31,25.8,40.5,34,374,3060,34.0,39,23,34,5,5,63,1,1.15,0.68,1.82,1.00,1.68,47.1,43.4,34.7,78.1,1.39,1.02,2.41,1.28,2.30
RB Leipzig,25,25.0,60.0,34,374,3060,34.0,59,44,51,8,10,57,0,1.74,1.29,3.03,1.50,2.79,65.3,58.0,44.7,102.7,1.92,1.32,3.24,1.70,3.02
Schalke 04,42,25.9,44.6,34,374,3060,34.0,24,20,24,0,3,74,2,0.71,0.59,1.29,0.71,1.29,27.0,24.5,18.3,42.9,0.79,0.54,1.33,0.72,1.26
Stuttgart,29,24.1,51.5,34,374,3060,34.0,54,42,48,6,8,65,2,1.59,1.24,2.82,1.41,2.65,53.2,47.1,38.1,85.1,1.56,1.12,2.68,1.38,2.50
Union Berlin,27,27.3,44.9,34,374,3060,34.0,50,39,45,5,7,57,2,1.47,1.15,2.62,1.32,2.47,45.8,40.4,31.1,71.5,1.35,0.91,2.26,1.19,2.10
Werder Bremen,27,26.3,43.8,34,374,3060,34.0,35,25,30,5,5,67,3,1.03,0.74,1.76,0.88,1.62,33.8,30.0,21.5,51.5,0.99,0.63,1.63,0.88,1.52
Wolfsburg,26,25.6,51.4,34,374,3060,34.0,57,48,55,2,3,58,3,1.68,1.41,3.09,1.62,3.03,49.5,47.4,37.6,85.0,1.45,1.11,2.56,1.39,2.50
