Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
Amiens,26,26.5,46.3,38,418,3420,38.0,30,22,28,2,3,59,6,0.79,0.58,1.37,0.74,1.32,34.6,32.3,23.1,55.5,0.91,0.61,1.52,0.85,1.46
Angers,24,28.0,43.0,38,418,3420,38.0,42,27,37,5,10,49,4,1.11,0.71,1.82,0.97,1.68,47.7,39.8,29.6,69.4,1.25,0.78,2.03,1.05,1.83
Bordeaux,33,25.3,50.1,38,418,3420,38.0,34,26,29,5,6,74,5,0.89,0.68,1.58,0.76,1.45,40.3,35.8,27.9,63.7,1.06,0.74,1.80,0.94,1.68
Caen,26,25.8,43.9,38,418,3420,38.0,29,17,25,4,4,79,6,0.76,0.45,1.21,0.66,1.11,31.1,28.1,18.8,46.9,0.82,0.50,1.31,0.74,1.23
Dijon,26,27.1,47.9,38,418,3420,38.0,29,21,26,3,4,75,7,0.76,0.55,1.32,0.68,1.24,39.5,36.4,25.7,62.1,1.04,0.68,1.72,0.96,1.63
Guingamp,30,26.0,43.9,38,418,3420,38.0,28,21,23,5,6,58,5,0.74,0.55,1.29,0.61,1.16,39.9,35.3,27.0,62.2,1.05,0.71,1.76,0.93,1.64
Lille,25,24.1,51.5,38,418,3420,38.0,66,49,55,11,13,70,4,1.74,1.29,3.03,1.45,2.74,58.4,48.5,38.3,86.8,1.54,1.01,2.55,1.28,2.28
Lyon,25,24.4,60.8,38,418,3420,38.0,70,54,65,5,10,55,3,1.84,1.42,3.26,1.71,3.13,73.8,66.5,51.6,118.0,1.94,1.36,3.30,1.75,3.11
Marseille,24,26.9,55.5,38,418,3420,38.0,59,45,55,4,5,82,8,1.55,1.18,2.74,1.45,2.63,52.6,48.8,33.5,82.4,1.38,0.88,2.27,1.29,2.17
Monaco,42,25.6,49.8,38,418,3420,38.0,38,25,34,4,5,91,6,1.00,0.66,1.66,0.89,1.55,48.7,45.0,30.9,75.9,1.28,0.81,2.10,1.18,2.00
Montpellier,25,28.0,47.8,38,418,3420,38.0,50,28,47,3,3,60,4,1.32,0.74,2.05,1.24,1.97,45.2,43.0,31.8,74.8,1.19,0.84,2.03,1.13,1.97
Nantes,33,25.9,50.1,38,418,3420,38.0,47,28,41,6,8,72,6,1.24,0.74,1.97,1.08,1.82,47.7,41.6,27.3,68.9,1.25,0.72,1.97,1.09,1.81
Nice,30,24.2,55.6,38,418,3420,38.0,27,18,22,5,9,72,5,0.71,0.47,1.18,0.58,1.05,44.2,37.4,28.9,66.3,1.16,0.76,1.92,0.99,1.75
Nîmes,23,24.1,45.4,38,418,3420,38.0,55,37,51,4,6,69,5,1.45,0.97,2.42,1.34,2.32,47.9,43.3,32.5,75.8,1.26,0.86,2.12,1.14,2.00
Paris S-G,30,26.2,64.1,38,418,3420,38.0,103,72,93,10,12,64,4,2.71,1.89,4.61,2.45,4.34,91.0,82.0,63.9,145.9,2.40,1.68,4.08,2.16,3.84
Reims,27,26.2,43.3,38,418,3420,38.0,39,27,37,2,2,67,2,1.03,0.71,1.74,0.97,1.68,40.6,39.1,28.4,67.5,1.07,0.75,1.82,1.03,1.78
Rennes,28,25.7,50.7,38,418,3420,38.0,53,34,46,7,10,68,3,1.39,0.89,2.29,1.21,2.11,52.2,44.7,31.5,76.2,1.37,0.83,2.20,1.18,2.00
Saint-Étienne,29,27.8,52.7,38,418,3420,38.0,56,40,51,5,5,63,7,1.47,1.05,2.53,1.34,2.39,55.8,52.0,35.5,87.5,1.47,0.93,2.40,1.37,2.30
Strasbourg,26,26.2,50.2,38,418,3420,38.0,57,43,52,5,7,70,4,1.50,1.13,2.63,1.37,2.50,42.2,36.8,27.7,64.5,1.11,0.73,1.84,0.97,1.70
Toulouse,29,25.5,48.3,38,418,3420,38.0,35,16,28,7,11,75,5,0.92,0.42,1.34,0.74,1.16,44.0,35.7,25.8,61.5,1.16,0.68,1.83,0.94,1.62
