Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
Atalanta,30,27.3,54.9,38,418,3420,38.0,89,65,83,6,7,67,3,2.34,1.71,4.05,2.18,3.89,77.2,72.0,55.9,128.0,2.03,1.47,3.50,1.90,3.37
Benevento,29,28.7,42.3,38,418,3420,38.0,40,26,35,5,7,95,5,1.05,0.68,1.74,0.92,1.61,41.6,36.2,27.3,63.5,1.10,0.72,1.81,0.95,1.67
Bologna,37,27.2,50.9,38,418,3420,38.0,49,38,46,3,4,82,4,1.29,1.00,2.29,1.21,2.21,53.4,50.5,37.4,87.9,1.41,0.98,2.39,1.33,2.31
Cagliari,32,26.5,44.6,38,418,3420,38.0,43,30,39,4,5,77,3,1.13,0.79,1.92,1.03,1.82,45.5,41.8,30.6,72.4,1.20,0.81,2.00,1.10,1.91
Crotone,31,27.8,46.4,38,418,3420,38.0,44,27,35,9,9,89,4,1.16,0.71,1.87,0.92,1.63,38.5,31.8,24.5,56.3,1.01,0.64,1.66,0.84,1.48
Fiorentina,30,26.6,46.2,38,418,3420,38.0,44,31,38,6,6,86,5,1.16,0.82,1.97,1.00,1.82,45.2,40.7,30.5,71.2,1.19,0.80,1.99,1.07,1.87
Genoa,34,28.3,44.7,38,418,3420,38.0,46,32,42,4,4,87,2,1.21,0.84,2.05,1.11,1.95,37.8,34.8,25.1,59.9,0.99,0.66,1.66,0.92,1.58
Hellas Verona,32,26.2,49.8,38,418,3420,38.0,38,30,35,3,3,91,1,1.00,0.79,1.79,0.92,1.71,43.5,41.3,31.1,72.4,1.15,0.82,1.97,1.09,1.91
Inter,25,27.7,52.4,38,418,3420,38.0,84,62,76,8,9,61,2,2.21,1.63,3.84,2.00,3.63,74.8,68.0,53.4,121.4,1.97,1.40,3.37,1.79,3.19
Juventus,30,27.7,57.1,38,418,3420,38.0,76,59,68,8,10,80,6,2.00,1.55,3.55,1.79,3.34,74.2,66.7,51.4,118.1,1.95,1.35,3.30,1.76,3.11
Lazio,30,29.4,53.1,38,418,3420,38.0,59,40,53,6,10,107,5,1.55,1.05,2.61,1.39,2.45,59.8,52.4,40.2,92.7,1.57,1.06,2.63,1.38,2.44
Milan,29,24.4,51.9,38,418,3420,38.0,72,47,57,15,20,83,4,1.89,1.24,3.13,1.50,2.74,71.2,56.6,43.4,100.0,1.87,1.14,3.02,1.49,2.63
Napoli,25,27.1,55.2,38,418,3420,38.0,83,56,76,7,8,76,3,2.18,1.47,3.66,2.00,3.47,67.7,61.5,45.5,107.0,1.78,1.20,2.98,1.62,2.82
Parma,42,28.0,47.7,38,418,3420,38.0,39,26,34,5,5,91,1,1.03,0.68,1.71,0.89,1.58,40.0,36.2,28.6,64.9,1.05,0.75,1.81,0.95,1.71
Roma,31,26.7,52.5,38,418,3420,38.0,67,51,60,7,8,91,3,1.76,1.34,3.11,1.58,2.92,68.9,62.9,49.2,112.2,1.81,1.30,3.11,1.66,2.95
Sampdoria,27,27.9,45.1,38,418,3420,38.0,52,37,47,5,6,83,3,1.37,0.97,2.34,1.24,2.21,46.2,41.7,30.0,71.7,1.21,0.79,2.00,1.10,1.89
Sassuolo,28,26.5,60.8,38,418,3420,38.0,61,36,48,13,14,79,4,1.61,0.95,2.55,1.26,2.21,59.2,48.8,35.5,84.4,1.56,0.94,2.49,1.29,2.22
Spezia,35,25.2,52.2,38,418,3420,38.0,52,37,48,4,5,100,5,1.37,0.97,2.34,1.26,2.24,46.7,42.9,28.9,71.8,1.23,0.76,1.99,1.13,1.89
Torino,29,26.9,47.2,38,418,3420,38.0,49,28,44,5,6,78,4,1.29,0.74,2.03,1.16,1.89,50.2,45.5,32.5,78.1,1.32,0.86,2.18,1.20,2.05
Udinese,33,27.2,46.1,38,418,3420,38.0,40,30,36,4,4,65,2,1.05,0.79,1.84,0.95,1.74,42.9,40.1,27.4,67.4,1.13,0.72,1.85,1.05,1.77
