Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Augsburg,2,34.0,63,0,0,4,3,59.0,0.38,-1.0,-0.03,233,684,34.1,956,153,50.5,43.2,303,66.3,53.0,343,27,7.9,27,0.79,14.8
Bayern Munich,2,34.0,32,3,0,6,1,34.0,0.28,+3.0,+0.09,225,383,58.7,1309,207,26.1,30.0,189,22.2,28.8,205,14,6.8,55,1.62,19.0
Dortmund,2,34.0,41,3,0,8,3,37.4,0.36,-0.6,-0.02,125,344,36.3,918,195,29.0,32.7,229,34.1,34.9,242,17,7.0,31,0.91,15.0
Düsseldorf,2,34.0,67,3,1,9,4,56.3,0.31,-6.7,-0.20,296,657,45.1,996,157,49.9,42.2,254,63.0,52.2,250,13,5.2,25,0.74,14.6
Eint Frankfurt,3,34.0,60,3,1,5,2,54.4,0.30,-3.6,-0.11,296,642,46.1,1155,142,45.5,38.0,231,50.6,42.6,268,24,9.0,28,0.82,14.9
Freiburg,3,34.0,47,3,0,6,0,48.6,0.25,+1.6,+0.05,262,692,37.9,1088,167,41.1,38.4,367,66.8,55.5,315,18,5.7,13,0.38,13.0
Hertha BSC,3,34.0,59,7,3,9,2,49.6,0.27,-7.4,-0.22,341,739,46.1,936,146,57.2,42.9,270,75.6,53.5,338,31,9.2,22,0.65,13.5
Hoffenheim,2,34.0,53,6,0,4,2,48.4,0.26,-2.6,-0.08,183,490,37.3,1171,204,32.1,32.8,294,38.8,36.7,355,19,5.4,41,1.21,15.4
Köln,1,34.0,69,4,1,11,2,53.1,0.32,-13.9,-0.41,311,630,49.4,892,99,53.9,42.2,298,50.0,40.7,270,18,6.7,14,0.41,14.1
Leverkusen,1,34.0,44,2,1,6,0,48.7,0.35,+4.7,+0.14,261,604,43.2,1362,205,37.0,35.7,234,42.7,38.9,218,21,9.6,29,0.85,15.8
M'Gladbach,1,34.0,40,1,1,3,0,44.3,0.28,+4.3,+0.13,230,486,47.3,1260,167,30.2,33.1,285,37.2,36.4,286,14,4.9,31,0.91,14.3
Mainz 05,2,34.0,65,3,2,8,1,60.1,0.33,-3.9,-0.12,223,624,35.7,967,221,44.0,39.2,315,63.2,51.1,342,31,9.1,34,1.00,16.2
Paderborn 07,2,34.0,74,4,3,8,2,68.4,0.37,-3.6,-0.10,226,463,48.8,1187,224,31.5,32.6,284,31.3,32.6,302,14,4.6,21,0.62,14.3
RB Leipzig,2,34.0,37,2,0,8,0,39.4,0.32,+2.4,+0.07,172,416,41.3,1111,192,30.0,32.9,236,35.2,35.0,256,20,7.8,50,1.47,17.2
Schalke 04,2,34.0,58,6,2,10,2,54.9,0.31,-1.1,-0.03,224,620,36.1,1059,140,42.9,38.9,267,62.2,47.9,303,16,5.3,21,0.62,14.1
Union Berlin,2,34.0,58,3,0,10,1,53.8,0.30,-3.2,-0.09,420,910,46.2,1116,124,61.4,47.3,276,81.5,60.4,299,28,9.4,24,0.71,15.3
Werder Bremen,2,34.0,69,1,1,13,3,50.4,0.28,-15.6,-0.46,254,598,42.5,929,170,45.9,39.3,305,56.4,44.8,375,14,3.7,24,0.71,14.3
Wolfsburg,2,34.0,46,5,1,5,0,46.0,0.31,0.0,0.00,281,619,45.4,1012,161,47.4,40.0,240,57.9,48.1,290,21,7.2,30,0.88,15.4
