Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Alavés,2,38.0,50,6,3,2,2,47.2,0.27,-0.8,-0.02,349,847,41.2,823,98,68.7,48.1,320,88.1,59.3,407,31,7.6,31,0.82,14.8
Athletic Club,2,38.0,45,5,0,6,0,39.5,0.31,-5.5,-0.15,394,875,45.0,909,116,69.3,50.7,264,92.8,68.5,359,29,8.1,28,0.74,15.6
Atlético Madrid,2,38.0,29,5,0,3,2,38.2,0.26,+11.2,+0.29,233,613,38.0,582,103,61.2,46.4,292,88.0,62.1,365,36,9.9,12,0.32,14.1
Barcelona,2,38.0,36,2,0,3,1,38.5,0.29,+3.5,+0.09,156,300,52.0,953,206,21.5,28.9,222,42.8,39.4,319,36,11.3,33,0.87,16.6
Betis,2,38.0,52,4,2,10,0,49.8,0.29,-2.2,-0.06,174,413,42.1,1134,193,26.2,29.6,273,42.5,39.5,295,26,8.8,42,1.11,16.5
Celta Vigo,2,38.0,62,6,3,5,1,54.9,0.31,-6.1,-0.16,272,698,39.0,913,156,48.2,41.4,344,75.0,58.2,393,19,4.8,29,0.76,15.7
Eibar,2,38.0,50,3,2,3,1,45.6,0.35,-3.4,-0.09,338,870,38.9,898,109,72.5,53.7,234,93.6,71.4,285,25,8.8,59,1.55,16.8
Espanyol,1,38.0,50,6,5,8,2,50.0,0.28,+2.0,+0.05,255,602,42.4,874,129,43.2,38.4,329,68.1,50.3,452,30,6.6,6,0.16,12.5
Getafe,2,38.0,35,4,1,2,3,38.5,0.27,+6.5,+0.17,365,979,37.3,818,56,87.3,57.6,279,95.0,64.3,326,32,9.8,27,0.71,15.2
Girona,2,38.0,53,8,2,7,2,60.5,0.28,+9.5,+0.25,241,622,38.7,872,187,47.2,41.0,320,65.6,51.5,395,30,7.6,15,0.39,13.0
Huesca,3,38.0,65,9,2,2,3,58.3,0.31,-3.7,-0.10,335,862,38.9,774,76,74.8,53.3,306,92.5,65.9,348,19,5.5,13,0.34,13.3
Leganés,2,38.0,43,3,2,3,1,43.3,0.32,+1.3,+0.03,356,849,41.9,870,110,66.9,50.7,303,88.1,65.5,393,28,7.1,22,0.58,14.4
Levante,3,38.0,66,8,1,9,3,67.4,0.28,+4.4,+0.12,249,637,39.1,652,173,56.3,44.5,390,69.2,51.7,393,30,7.6,19,0.50,13.1
Rayo Vallecano,2,38.0,70,7,0,11,2,62.2,0.31,-5.8,-0.15,309,649,47.6,887,194,51.2,41.8,293,66.6,51.2,418,29,6.9,16,0.42,13.6
Real Madrid,3,38.0,46,6,0,6,0,43.0,0.30,-3.0,-0.08,146,389,37.5,912,230,30.3,34.2,244,46.3,45.0,275,26,9.5,19,0.50,14.6
Real Sociedad,2,38.0,46,2,1,11,2,41.6,0.28,-2.4,-0.06,272,593,45.9,1133,143,35.2,34.9,285,68.1,50.5,430,41,9.5,37,0.97,16.4
Sevilla,3,38.0,47,6,2,4,1,49.4,0.30,+3.4,+0.09,220,669,32.9,869,210,50.1,41.2,296,79.1,59.9,331,28,8.5,21,0.55,14.6
Valencia,2,38.0,35,7,2,7,2,39.7,0.24,+6.7,+0.18,219,589,37.2,634,175,52.8,43.3,302,84.1,60.6,431,30,7.0,12,0.32,13.1
Valladolid,2,38.0,51,6,1,8,2,51.9,0.30,+2.9,+0.08,288,876,32.9,894,170,63.2,46.8,347,89.6,65.5,421,23,5.5,13,0.34,12.5
Villarreal,2,38.0,52,3,2,5,3,54.8,0.28,+5.8,+0.15,239,565,42.3,692,146,51.0,42.6,300,70.7,54.6,458,44,9.6,27,0.71,14.8
