Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Amiens,1,38.0,52,6,3,8,2,49.1,0.28,-0.9,-0.02,303,813,37.3,827,85,63.2,48.1,322,90.1,62.1,362,24,6.6,21,0.55,14.6
Angers,2,38.0,49,3,0,4,1,48.2,0.28,+0.2,+0.01,268,631,42.5,731,179,53.8,43.3,294,81.0,56.1,400,34,8.5,35,0.92,14.9
Bordeaux,2,38.0,42,6,1,11,0,45.2,0.27,+3.2,+0.08,283,634,44.6,866,125,47.0,40.9,319,71.2,53.5,372,17,4.6,25,0.66,14.0
Caen,1,38.0,54,6,4,5,2,59.2,0.30,+7.2,+0.19,369,825,44.7,907,167,63.1,46.2,315,80.3,58.5,346,36,10.4,21,0.55,14.0
Dijon,2,38.0,60,3,2,7,1,54.0,0.31,-5.0,-0.13,325,717,45.3,968,175,47.5,40.3,329,78.1,56.9,344,41,11.9,30,0.79,15.6
Guingamp,2,38.0,68,3,2,4,0,51.3,0.30,-16.7,-0.44,291,740,39.3,727,123,64.8,48.7,301,89.4,64.3,299,24,8.0,18,0.47,13.9
Lille,1,38.0,33,6,1,4,0,35.3,0.25,+2.3,+0.06,199,593,33.6,825,199,46.3,40.3,270,78.1,59.4,319,37,11.6,24,0.63,14.8
Lyon,2,38.0,47,5,2,3,3,39.3,0.25,-4.7,-0.12,172,383,44.9,903,184,30.9,32.7,262,39.7,40.4,282,17,6.0,19,0.50,15.0
Marseille,2,38.0,52,10,1,2,0,45.7,0.28,-6.3,-0.16,207,535,38.7,967,167,42.1,38.1,241,53.1,45.9,253,19,7.5,27,0.71,14.2
Monaco,3,38.0,57,5,0,7,2,48.4,0.30,-6.6,-0.17,168,430,39.1,741,166,37.4,36.2,255,60.0,47.9,327,24,7.3,11,0.29,13.5
Montpellier,2,38.0,42,3,1,7,3,41.2,0.28,+2.2,+0.06,344,769,44.7,1020,170,56.6,44.3,278,69.1,52.4,312,22,7.1,26,0.68,15.4
Nantes,3,38.0,48,4,2,10,1,44.0,0.30,-3.0,-0.08,253,614,41.2,845,159,45.2,39.5,307,75.6,56.3,302,20,6.6,30,0.79,16.7
Nice,2,38.0,35,3,0,5,1,43.6,0.26,+9.6,+0.25,171,403,42.4,893,216,25.6,30.4,313,55.6,45.1,395,20,5.1,16,0.42,13.2
Nîmes,1,38.0,58,4,0,4,0,60.5,0.32,+2.5,+0.07,248,716,34.6,823,162,57.2,44.9,290,84.5,60.5,289,21,7.3,20,0.53,14.7
Paris S-G,2,38.0,35,5,1,3,4,36.9,0.25,+5.9,+0.16,113,201,56.2,673,170,18.4,26.3,237,32.5,35.2,275,10,3.6,26,0.68,14.2
Reims,1,38.0,42,7,1,3,2,44.3,0.27,+4.3,+0.11,300,714,42.0,843,123,57.2,46.1,287,80.8,58.5,420,33,7.9,15,0.39,13.3
Rennes,2,38.0,52,4,0,10,1,43.8,0.27,-7.2,-0.19,238,547,43.5,750,152,46.3,40.2,277,72.2,54.8,365,16,4.4,30,0.79,16.1
Saint-Étienne,2,38.0,41,7,0,7,1,46.9,0.27,+6.9,+0.18,202,635,31.8,895,161,48.7,39.9,314,63.4,48.1,304,21,6.9,15,0.39,13.5
Strasbourg,2,38.0,48,7,3,4,1,44.0,0.25,-3.0,-0.08,276,705,39.1,820,186,52.0,43.7,339,82.3,61.7,356,28,7.9,21,0.55,14.1
Toulouse,2,38.0,57,5,3,6,0,50.8,0.27,-6.2,-0.16,285,721,39.5,952,171,49.9,41.8,363,67.8,53.0,405,31,7.7,27,0.71,14.1
