Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Atalanta,2,38.0,47,5,0,5,1,40.9,0.31,-5.1,-0.14,166,379,43.8,869,151,30.6,33.4,174,64.9,50.8,223,14,6.3,38,1.00,16.5
Benevento,2,38.0,75,4,0,12,6,66.1,0.36,-2.9,-0.08,250,673,37.1,988,182,50.8,40.4,279,61.3,45.9,388,39,10.1,22,0.58,14.7
Bologna,3,38.0,65,7,2,9,2,62.0,0.31,-1.0,-0.03,165,414,39.9,1098,204,30.5,32.0,293,27.0,25.4,312,26,8.3,25,0.66,13.7
Cagliari,2,38.0,59,5,1,9,0,60.2,0.28,+1.2,+0.03,233,546,42.7,765,144,46.7,37.5,304,62.2,44.6,360,33,9.2,15,0.39,12.6
Crotone,3,38.0,92,5,2,10,2,78.4,0.35,-11.6,-0.30,265,634,41.8,1195,173,41.7,35.1,331,41.1,34.1,338,19,5.6,31,0.82,14.8
Fiorentina,2,38.0,59,8,1,11,2,56.6,0.34,-0.4,-0.01,256,632,40.5,858,176,52.9,42.4,292,61.0,47.0,372,24,6.5,17,0.45,14.2
Genoa,3,38.0,58,7,0,7,2,59.1,0.30,+3.1,+0.08,255,694,36.7,1051,167,50.8,39.8,329,48.6,39.1,393,17,4.3,12,0.32,12.3
Hellas Verona,3,38.0,48,6,1,8,2,42.8,0.28,-3.2,-0.08,228,816,27.9,813,87,66.8,46.1,301,90.7,59.4,319,12,3.8,15,0.39,13.3
Inter,3,38.0,35,5,1,3,1,32.0,0.24,-2.0,-0.05,130,267,48.7,967,161,22.2,28.7,191,27.2,30.3,303,16,5.3,16,0.42,12.0
Juventus,3,38.0,38,6,1,4,2,34.2,0.24,-1.8,-0.05,152,279,54.5,1086,174,21.7,29.2,244,17.6,24.8,323,19,5.9,30,0.79,14.6
Lazio,2,38.0,55,10,0,8,2,49.5,0.29,-3.5,-0.09,251,490,51.2,1265,171,34.6,33.7,199,26.1,28.1,295,18,6.1,13,0.34,14.2
Milan,2,38.0,41,3,2,9,1,42.6,0.30,+2.6,+0.07,185,436,42.4,1049,147,32.8,32.1,223,41.3,35.8,338,30,8.9,22,0.58,14.5
Napoli,2,38.0,41,5,1,3,1,36.0,0.28,-4.0,-0.10,136,272,50.0,994,146,23.6,29.0,152,24.3,27.2,266,26,9.8,18,0.47,14.2
Parma,2,38.0,83,3,0,12,3,65.6,0.35,-14.4,-0.38,367,667,55.0,1214,186,44.6,38.2,281,44.8,39.0,429,26,6.1,12,0.32,12.8
Roma,3,38.0,55,5,2,5,3,49.5,0.28,-2.5,-0.07,172,406,42.4,1030,203,31.7,32.7,222,35.6,34.0,255,11,4.3,32,0.84,15.8
Sampdoria,2,38.0,54,7,1,6,1,52.2,0.27,-0.8,-0.02,256,617,41.5,1024,182,43.8,38.2,266,63.5,47.0,393,30,7.6,15,0.39,12.7
Sassuolo,2,38.0,56,4,0,4,1,57.6,0.30,+2.6,+0.07,185,410,45.1,1136,163,30.6,30.8,243,25.5,25.5,331,29,8.8,26,0.68,15.9
Spezia,3,38.0,72,9,1,7,0,64.6,0.34,-7.4,-0.19,353,787,44.9,1622,190,42.6,38.1,201,47.8,42.6,290,26,9.0,37,0.97,15.7
Torino,3,38.0,69,9,1,7,0,52.4,0.30,-16.6,-0.44,224,562,39.9,912,130,44.2,37.6,307,51.8,40.4,351,21,6.0,21,0.55,13.2
Udinese,4,38.0,58,14,2,2,0,59.3,0.32,+1.3,+0.03,204,454,44.9,823,180,40.5,35.8,271,44.6,37.2,318,28,8.8,15,0.39,12.9
