Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
Augsburg,28,34.0,549,331,276,212,61,190,632,30.1,442,5650,1440,25.5,1794,2622,1234,574,137,7,437,283,832,971,7
Bayern Munich,29,34.0,552,368,193,256,103,186,555,33.5,369,4904,1702,34.7,1119,2168,1617,462,89,1,373,220,772,565,3
Dortmund,27,34.0,596,401,276,250,70,221,551,40.1,330,5195,1676,32.3,1475,2388,1332,519,106,4,413,286,882,604,11
Düsseldorf,28,34.0,555,347,283,211,61,203,591,34.3,388,5503,1614,29.3,1787,2600,1116,558,118,4,440,302,857,759,10
Eint Frankfurt,27,34.0,679,444,311,289,79,207,630,32.9,423,5909,1837,31.1,1890,2636,1383,584,110,6,474,251,930,761,5
Freiburg,26,34.0,514,309,264,190,60,141,507,27.8,366,4807,1268,26.4,1675,2068,1064,564,170,3,394,255,769,1027,12
Hertha BSC,32,34.0,613,356,313,230,70,190,580,32.8,390,5758,1570,27.3,2030,2530,1198,651,142,4,509,304,917,986,17
Hoffenheim,31,34.0,590,353,335,200,55,225,585,38.5,360,4665,1377,29.5,1663,1976,1026,595,141,5,454,263,853,860,4
Köln,29,34.0,670,421,348,254,68,213,586,36.3,373,6341,1829,28.8,2141,2855,1345,593,113,2,480,272,942,947,4
Leverkusen,24,34.0,614,382,274,263,77,219,605,36.2,386,5211,1775,34.1,1533,2440,1238,553,93,2,460,246,860,750,9
M'Gladbach,25,34.0,630,400,290,260,80,216,626,34.5,410,5702,1687,29.6,1688,2620,1394,604,120,2,484,269,899,712,11
Mainz 05,25,34.0,630,386,304,263,63,201,572,35.1,371,6081,1663,27.3,1935,2851,1295,625,131,4,494,296,926,959,13
Paderborn 07,27,34.0,690,409,386,242,62,297,796,37.3,499,6339,1805,28.5,2114,2783,1442,676,134,4,542,262,952,888,9
RB Leipzig,29,34.0,659,420,290,278,91,242,661,36.6,419,5924,1939,32.7,1690,2876,1358,577,98,2,479,262,921,746,13
Schalke 04,29,34.0,691,430,312,284,95,248,693,35.8,445,6110,1887,30.9,1886,2771,1453,611,132,2,479,306,997,841,10
Union Berlin,26,34.0,629,369,325,239,65,214,638,33.5,424,5859,1672,28.5,1882,2780,1197,638,145,1,493,287,916,1093,3
Werder Bremen,30,34.0,636,397,315,238,83,227,633,35.9,406,5846,1675,28.7,2091,2543,1212,580,131,1,449,279,915,969,10
Wolfsburg,26,34.0,653,401,316,259,78,242,693,34.9,451,6106,1946,31.9,1715,2861,1530,590,96,2,494,281,934,896,12
