Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
Alavés,26,38.0,636,365,329,234,73,226,659,34.3,433,5867,1386,23.6,1963,2755,1149,606,116,2,490,343,979,1148,8
Athletic Club,27,38.0,644,423,314,239,91,213,730,29.2,517,5861,1531,26.1,1720,2781,1360,576,96,1,480,351,995,986,8
Atlético Madrid,29,38.0,784,523,416,297,71,258,743,34.7,485,6995,1814,25.9,2216,3295,1484,582,104,1,478,361,1145,830,10
Barcelona,30,38.0,572,391,239,248,85,211,563,37.5,352,6225,1796,28.9,1647,2961,1617,586,110,2,476,288,860,584,7
Betis,25,38.0,622,420,311,240,71,191,601,31.8,410,5208,1385,26.6,1751,2310,1147,512,87,2,425,259,881,653,13
Celta Vigo,28,38.0,620,399,335,222,63,239,674,35.5,435,6596,1717,26.0,2289,3010,1297,563,101,2,462,272,892,933,10
Eibar,25,38.0,644,447,249,287,108,225,646,34.8,421,6080,1906,31.3,1423,2762,1895,547,65,1,482,296,940,908,10
Espanyol,25,38.0,674,443,345,248,81,248,785,31.6,537,6186,1433,23.2,2102,2845,1239,552,133,5,419,337,1011,1031,12
Getafe,26,38.0,643,418,275,282,86,232,673,34.5,441,7141,1861,26.1,2011,3599,1531,608,91,1,517,344,987,940,7
Girona,26,38.0,593,369,297,239,57,247,687,36.0,440,6240,1516,24.3,2063,2961,1216,614,126,1,488,352,945,1031,9
Huesca,30,38.0,721,482,384,276,61,273,762,35.8,489,6264,1617,25.8,2076,3023,1165,553,120,3,433,368,1089,1066,11
Leganés,29,38.0,636,417,334,238,64,240,711,33.8,471,6369,1508,23.7,2196,2848,1325,515,84,2,431,326,962,1081,9
Levante,26,38.0,590,377,322,210,58,219,747,29.3,528,5943,1404,23.6,2007,2712,1224,622,142,3,480,302,892,883,9
Rayo Vallecano,29,38.0,646,425,360,224,62,223,655,34.0,432,5742,1520,26.5,2144,2605,993,551,79,2,472,326,972,1031,8
Real Madrid,27,38.0,634,418,285,252,97,196,658,29.8,462,5700,1505,26.4,1538,2732,1430,529,86,4,443,322,956,605,6
Real Sociedad,30,38.0,606,399,311,230,65,241,663,36.3,422,6432,1631,25.4,1987,3054,1391,611,113,4,498,331,937,907,12
Sevilla,27,38.0,621,422,323,220,78,200,590,33.9,390,5782,1501,26.0,1859,2623,1300,529,119,1,410,296,917,908,6
Valencia,25,38.0,579,381,299,212,68,204,626,32.6,422,6489,1598,24.6,2042,3074,1373,600,131,1,469,357,936,933,12
Valladolid,28,38.0,695,452,379,242,74,256,793,32.3,537,6282,1576,25.1,2337,2951,994,597,118,2,479,317,1012,941,14
Villarreal,26,38.0,670,425,351,255,64,266,755,35.2,489,6524,1515,23.2,2117,3152,1255,566,154,4,412,302,972,957,10
