Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
Angers,31,38.0,718,460,337,303,78,238,728,32.7,490,6168,1795,29.1,2101,2848,1219,532,101,0,431,438,1156,855,8
Bordeaux,28,38.0,615,413,328,224,63,223,624,35.7,401,5254,1546,29.4,1797,2417,1040,544,134,1,410,438,1053,830,9
Brest,26,38.0,697,436,386,258,53,216,580,37.2,364,5858,1659,28.3,2160,2500,1198,539,126,1,413,372,1069,931,8
Dijon,33,38.0,691,440,380,253,58,250,686,36.4,436,5386,1561,29.0,1889,2517,980,543,125,4,418,509,1200,843,13
Lens,27,38.0,703,404,312,304,87,225,568,39.6,343,4981,1558,31.3,1631,2269,1081,580,106,2,474,460,1163,907,8
Lille,21,38.0,702,452,304,294,104,247,680,36.3,433,5401,1629,30.2,1489,2518,1394,537,109,1,428,411,1113,798,5
Lorient,27,38.0,803,482,389,342,72,287,828,34.7,541,5679,1641,28.9,1997,2713,969,571,135,2,436,482,1285,929,5
Lyon,29,38.0,695,449,297,287,111,229,641,35.7,412,5012,1543,30.8,1465,2237,1310,547,135,4,412,402,1097,758,16
Marseille,31,38.0,778,468,357,315,106,301,744,40.5,443,5256,1609,30.6,1721,2411,1124,547,118,0,429,427,1205,880,7
Metz,27,38.0,770,462,428,275,67,273,724,37.7,451,5416,1658,30.6,1987,2444,985,597,128,5,469,450,1220,1037,13
Monaco,30,38.0,844,551,358,368,118,272,704,38.6,432,5552,1822,32.8,1526,2717,1309,508,80,0,428,393,1237,730,7
Montpellier,25,38.0,646,400,375,209,62,269,740,36.4,471,4838,1420,29.4,1812,2069,957,556,160,3,396,396,1042,849,10
Nantes,25,38.0,790,454,399,304,87,297,752,39.5,455,5726,1774,31.0,1928,2653,1145,595,130,5,465,418,1208,957,10
Nice,31,38.0,677,425,328,265,84,268,667,40.2,399,5055,1470,29.1,1679,2165,1211,528,132,0,396,380,1057,792,13
Nîmes,33,38.0,712,433,354,260,98,279,765,36.5,486,6109,1756,28.7,2127,2742,1240,649,141,0,508,475,1187,896,13
Paris S-G,33,38.0,664,427,255,294,115,249,692,36.0,443,4912,1551,31.6,1265,2138,1509,491,91,1,400,364,1028,567,15
Reims,29,38.0,723,432,371,262,90,168,570,29.5,402,5369,1493,27.8,1999,2247,1123,530,134,6,396,438,1161,873,11
Rennes,32,38.0,685,455,290,294,101,198,572,34.6,374,5237,1622,31.0,1450,2376,1411,497,94,2,403,340,1025,741,8
Saint-Étienne,40,38.0,803,496,446,268,89,258,713,36.2,455,5927,1827,30.8,1917,2633,1377,557,105,2,452,447,1250,891,16
Strasbourg,26,38.0,719,472,370,259,90,214,585,36.6,371,5307,1665,31.4,1850,2374,1083,516,95,5,421,512,1231,821,11
