Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
Atalanta,30,38.0,672,425,273,293,106,182,549,33.2,367,5673,1828,32.2,1497,2650,1526,539,93,3,446,501,1173,758,8
Benevento,29,38.0,595,363,344,186,65,218,613,35.6,395,5031,1446,28.7,1971,2122,938,551,137,1,414,414,1009,846,13
Bologna,37,38.0,572,328,305,195,72,171,519,32.9,348,5463,1549,28.4,1946,2243,1274,653,153,2,500,446,1018,862,16
Cagliari,32,38.0,629,370,322,239,68,200,571,35.0,371,5752,1552,27.0,2095,2516,1141,574,148,1,426,379,1008,918,9
Crotone,31,38.0,603,374,335,194,74,198,535,37.0,337,5250,1477,28.1,2035,2191,1024,580,145,1,435,357,960,866,16
Fiorentina,30,38.0,578,362,297,208,73,218,556,39.2,338,5179,1473,28.4,1814,2248,1117,510,139,1,371,368,946,773,6
Genoa,34,38.0,641,394,338,224,79,214,587,36.5,373,5893,1550,26.3,2162,2537,1194,592,137,1,455,476,1117,980,12
Hellas Verona,32,38.0,542,338,262,222,58,165,451,36.6,286,4976,1503,30.2,1580,2251,1145,594,169,1,425,463,1005,1015,16
Inter,25,38.0,541,326,249,205,87,178,492,36.2,314,5079,1434,28.2,1648,2069,1362,529,122,1,407,365,906,632,8
Juventus,30,38.0,626,395,285,251,90,193,557,34.6,364,5048,1517,30.1,1648,2183,1217,543,129,1,414,370,996,657,7
Lazio,30,38.0,656,395,318,257,81,231,696,33.2,465,5644,1750,31.0,1872,2501,1271,563,102,1,461,424,1080,755,7
Milan,29,38.0,679,406,345,258,76,257,614,41.9,357,5848,1718,29.4,1928,2655,1265,645,153,4,492,383,1062,816,11
Napoli,25,38.0,620,391,299,243,78,218,625,34.9,407,5074,1496,29.5,1608,2109,1357,527,115,1,412,407,1027,633,9
Parma,42,38.0,636,369,359,221,56,232,648,35.8,416,5566,1486,26.7,2162,2369,1035,596,127,1,469,430,1066,863,10
Roma,31,38.0,558,390,225,257,76,163,568,28.7,405,5570,1599,28.7,1614,2644,1312,499,98,3,401,457,1015,647,12
Sampdoria,27,38.0,637,398,306,262,69,186,597,31.2,411,6173,1763,28.6,1989,2707,1477,661,170,5,491,410,1047,859,10
Sassuolo,28,38.0,594,369,301,188,105,197,515,38.3,318,4943,1515,30.6,1571,2027,1345,575,158,2,417,372,966,762,8
Spezia,35,38.0,630,386,289,258,83,215,564,38.1,349,5325,1607,30.2,1594,2456,1275,530,106,2,424,436,1066,744,16
Torino,29,38.0,595,377,284,224,87,215,577,37.3,362,5179,1494,28.8,1789,2256,1134,554,134,5,420,493,1088,882,11
Udinese,33,38.0,593,384,325,214,54,208,583,35.7,375,5068,1447,28.6,2032,1989,1047,620,155,1,465,399,992,782,15
