Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
Arminia,26,34.0,481,14.15,334,47,34,21,30,15,43,1.26,32,1,3,2,2,3
Augsburg,25,34.0,493,14.50,328,55,38,19,37,16,52,1.53,34,4,3,4,5,2
Bayern Munich,29,34.0,940,27.65,739,64,60,40,26,11,167,4.91,129,8,14,8,8,0
Dortmund,26,34.0,812,23.88,597,53,56,40,45,21,125,3.68,93,7,10,7,6,2
Eint Frankfurt,25,34.0,728,21.41,523,80,31,37,40,17,117,3.44,72,12,7,11,12,3
Freiburg,24,34.0,606,17.82,421,72,22,34,43,14,78,2.29,51,6,2,9,6,4
Hertha BSC,32,34.0,597,17.56,412,59,43,29,38,16,66,1.94,47,3,2,6,7,1
Hoffenheim,30,34.0,687,20.21,515,54,36,31,40,11,90,2.65,61,5,8,7,8,1
Köln,28,34.0,533,15.68,369,59,31,29,36,9,53,1.56,33,4,2,8,5,1
Leverkusen,30,34.0,739,21.74,541,61,62,40,25,10,89,2.62,60,7,10,9,2,1
M'Gladbach,23,34.0,688,20.24,485,72,34,40,39,18,100,2.94,63,9,2,12,12,2
Mainz 05,31,34.0,560,16.47,392,59,37,23,35,14,59,1.74,34,7,3,8,6,1
RB Leipzig,25,34.0,890,26.18,672,64,37,53,46,18,100,2.94,67,4,8,9,8,4
Schalke 04,42,34.0,467,13.74,307,62,24,29,34,11,42,1.24,30,4,2,2,2,2
Stuttgart,29,34.0,752,22.12,531,71,44,44,42,20,98,2.88,64,7,7,7,9,4
Union Berlin,27,34.0,594,17.47,421,64,26,29,37,17,85,2.50,58,8,3,4,8,4
Werder Bremen,27,34.0,537,15.79,379,53,29,29,37,10,58,1.71,39,7,0,4,5,3
Wolfsburg,26,34.0,702,20.65,517,59,30,43,35,18,94,2.76,70,4,4,9,5,2
