Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
Alavés,30,38.0,511,13.45,326,79,24,27,38,17,54,1.42,26,8,4,4,8,4
Athletic Club,27,38.0,658,17.32,493,59,33,20,40,13,77,2.03,56,5,3,5,6,2
Atlético Madrid,25,38.0,723,19.03,522,72,48,33,37,11,117,3.08,83,7,9,4,11,3
Barcelona,25,38.0,1011,26.61,786,45,71,32,64,13,125,3.29,96,1,11,9,6,2
Betis,25,38.0,725,19.08,526,61,53,32,40,13,81,2.13,53,9,6,5,8,0
Cádiz,34,38.0,428,11.26,276,51,32,25,31,13,55,1.45,38,1,5,6,4,1
Celta Vigo,30,38.0,574,15.11,424,44,28,31,34,13,99,2.61,71,5,5,6,10,2
Eibar,30,38.0,638,16.79,401,78,54,43,40,22,44,1.16,26,3,6,5,2,2
Elche,30,38.0,399,10.50,265,52,23,20,32,7,51,1.34,32,5,4,4,5,1
Getafe,31,38.0,569,14.97,396,59,26,28,47,13,43,1.13,27,0,5,6,3,2
Granada,34,38.0,499,13.13,325,48,35,33,42,16,68,1.79,43,3,7,6,4,5
Huesca,27,38.0,621,16.34,437,65,40,26,39,14,56,1.47,41,6,2,4,1,2
Levante,29,38.0,601,15.82,456,47,31,19,31,17,78,2.05,58,4,5,3,4,4
Osasuna,28,38.0,535,14.08,381,55,27,29,27,16,56,1.47,39,4,1,6,3,3
Real Madrid,30,38.0,924,24.32,694,77,56,44,35,18,112,2.95,85,6,8,7,4,2
Real Sociedad,30,38.0,685,18.03,481,68,33,47,44,12,100,2.63,69,7,4,11,7,2
Sevilla,26,38.0,791,20.82,604,57,53,29,32,16,85,2.24,63,4,7,5,4,2
Valencia,30,38.0,608,16.00,433,49,43,24,48,11,83,2.18,55,8,6,5,8,1
Valladolid,32,38.0,581,15.29,420,45,29,23,50,14,54,1.42,35,2,4,3,8,2
Villarreal,29,38.0,682,17.95,530,38,48,23,34,9,96,2.53,67,3,11,7,7,1
