Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
Amiens,27,28.0,364,13.00,256,27,28,11,29,13,53,1.89,34,0,6,4,6,3
Angers,26,28.0,552,19.71,399,57,35,23,28,10,46,1.64,35,2,3,3,3,0
Bordeaux,26,28.0,453,16.18,305,46,26,22,37,17,60,2.14,33,7,6,7,5,2
Brest,24,28.0,504,18.00,382,45,18,18,21,20,56,2.00,40,5,1,5,1,4
Dijon,28,28.0,509,18.18,339,68,39,26,26,11,40,1.43,29,3,2,6,0,0
Lille,25,28.0,563,20.11,374,59,56,31,31,12,59,2.11,37,5,4,4,5,4
Lyon,27,28.0,568,20.29,414,48,44,27,28,7,67,2.39,47,2,9,4,4,1
Marseille,23,28.0,589,21.04,402,69,32,30,43,13,58,2.07,40,4,4,4,5,1
Metz,24,28.0,497,17.75,336,42,58,16,30,15,43,1.54,27,5,6,3,0,2
Monaco,28,28.0,588,21.00,403,48,58,34,34,11,73,2.61,47,5,8,7,6,0
Montpellier,27,28.0,518,18.50,351,60,25,29,43,10,51,1.82,36,3,2,4,5,1
Nantes,29,28.0,516,18.43,357,53,41,20,31,14,32,1.14,22,2,4,2,2,0
Nice,31,28.0,531,18.96,359,46,46,30,39,11,63,2.25,43,5,2,6,6,1
Nîmes,28,28.0,503,17.96,342,55,37,25,29,15,44,1.57,29,4,3,4,3,1
Paris S-G,31,27.0,729,27.00,554,41,61,29,32,12,120,4.44,89,6,11,8,6,0
Reims,26,28.0,502,17.93,365,51,29,15,29,13,41,1.46,24,6,3,1,6,1
Rennes,26,28.0,536,19.14,374,37,50,21,41,13,59,2.11,43,3,5,4,4,0
Saint-Étienne,31,28.0,469,16.75,311,52,41,18,31,16,50,1.79,29,8,2,5,5,1
Strasbourg,25,27.0,505,18.70,378,44,30,17,26,10,52,1.93,38,4,3,1,5,1
Toulouse,30,28.0,481,17.18,342,47,31,18,27,16,36,1.29,27,2,1,1,4,1
