Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
Atalanta,25,38.0,929,24.45,663,82,67,65,37,15,95,2.50,64,5,10,8,7,1
Benevento,41,38.0,713,18.76,506,65,53,37,37,15,54,1.42,34,6,2,7,4,1
Bologna,30,38.0,549,14.45,393,34,35,27,50,10,54,1.42,30,4,4,9,7,0
Cagliari,29,38.0,562,14.79,399,68,22,33,30,10,49,1.29,32,5,2,5,3,2
Chievo,25,38.0,596,15.68,454,51,34,18,29,10,60,1.58,42,7,2,4,3,2
Crotone,29,38.0,554,14.58,384,63,22,30,40,15,64,1.68,46,3,0,9,5,1
Fiorentina,27,38.0,965,25.39,725,77,52,47,37,27,92,2.42,65,4,7,6,8,2
Genoa,33,38.0,671,17.66,513,51,36,38,24,9,47,1.24,35,3,1,3,4,1
Hellas Verona,32,38.0,528,13.89,357,51,42,28,35,15,42,1.11,26,2,2,7,4,1
Inter,22,38.0,929,24.45,711,86,45,39,36,12,101,2.66,64,11,4,10,11,1
Juventus,24,38.0,919,24.18,677,71,52,42,65,12,143,3.76,108,5,12,6,11,1
Lazio,24,38.0,916,24.11,702,75,54,44,33,8,148,3.89,103,10,14,10,10,1
Milan,23,38.0,999,26.29,785,59,45,53,47,10,85,2.24,62,5,1,10,7,0
Napoli,23,38.0,1114,29.32,912,49,59,44,33,17,121,3.18,88,8,5,9,8,3
Roma,27,38.0,1056,27.79,772,94,60,52,55,23,99,2.61,70,4,7,4,6,8
Sampdoria,27,38.0,721,18.97,509,67,49,34,45,17,83,2.18,54,4,7,6,9,3
Sassuolo,28,38.0,766,20.16,550,71,43,43,44,15,44,1.16,29,2,4,4,5,0
SPAL,29,38.0,548,14.42,361,61,39,24,48,15,55,1.45,30,5,2,9,8,1
Torino,27,38.0,730,19.21,519,75,45,35,40,16,89,2.34,63,7,5,9,3,2
Udinese,27,38.0,688,18.11,509,58,41,34,34,12,75,1.97,50,6,5,6,7,1
