Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Alavés,2,38,38,3420,38.0,50,1.32,173,132,75.1,15,2,21,12,31.6,11,7,3,1,30.0
Athletic Club,2,38,38,3420,38.0,49,1.29,161,117,71.4,10,13,15,11,28.9,6,3,3,0,50.0
Atlético Madrid,2,38,38,3420,38.0,22,0.58,127,107,83.5,23,10,5,23,60.5,4,1,3,0,75.0
Barcelona,2,38,38,3420,38.0,29,0.76,135,108,80.0,28,9,1,19,50.0,2,2,0,0,0.0
Betis,3,38,38,3420,38.0,61,1.61,151,96,61.6,18,6,14,13,34.2,4,3,1,0,25.0
Celta Vigo,3,38,38,3416,38.0,60,1.58,162,106,65.4,13,10,15,7,18.4,5,4,0,1,0.0
Eibar,3,38,38,3420,38.0,50,1.32,131,88,64.9,14,9,15,11,28.9,4,4,0,0,0.0
Espanyol,2,38,38,3420,38.0,42,1.11,163,127,76.7,12,13,13,12,31.6,7,4,2,1,33.3
Getafe,2,38,38,3420,38.0,33,0.87,128,96,75.8,15,10,13,14,36.8,4,2,1,1,33.3
Girona,2,38,38,3420,38.0,59,1.55,172,120,68.0,14,9,15,11,28.9,5,4,0,1,0.0
La Coruña,5,38,38,3415,38.0,76,2.00,177,108,59.3,6,11,21,6,15.8,5,4,1,0,20.0
Las Palmas,2,38,38,3420,38.0,74,1.95,212,144,67.5,5,7,26,5,13.2,5,5,0,0,0.0
Leganés,3,38,38,3420,38.0,51,1.34,161,115,72.0,12,7,19,14,36.8,7,6,1,0,14.3
Levante,3,38,38,3420,38.0,58,1.53,177,126,70.1,11,13,14,10,26.3,6,5,0,1,0.0
Málaga,2,38,38,3420,38.0,61,1.61,161,104,65.8,5,5,28,6,15.8,7,6,1,0,14.3
Real Madrid,3,38,38,3420,38.0,44,1.16,142,102,70.4,22,10,6,10,26.3,4,2,2,0,50.0
Real Sociedad,3,38,38,3420,38.0,59,1.55,142,90,62.7,14,7,17,10,26.3,8,6,2,0,25.0
Sevilla,2,38,38,3420,38.0,58,1.53,144,92,63.2,17,7,14,14,36.8,8,5,1,2,16.7
Valencia,2,38,38,3420,38.0,38,1.00,172,135,79.7,22,7,9,12,31.6,5,3,2,0,40.0
Villarreal,3,38,38,3420,38.0,50,1.32,155,108,71.0,18,7,13,11,28.9,7,5,2,0,28.6
