Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Amiens,2,38,38,3420,38.0,42,1.11,184,146,79.3,12,9,17,11,28.9,4,4,0,0,0.0
Angers,3,38,38,3420,38.0,52,1.37,143,101,68.5,9,14,15,6,15.8,7,7,0,0,0.0
Bordeaux,2,38,38,3420,38.0,48,1.26,127,84,65.4,16,7,15,10,26.3,9,4,4,1,50.0
Caen,2,38,38,3418,38.0,52,1.37,151,108,68.9,10,8,20,13,34.2,5,5,0,0,0.0
Dijon,1,38,38,3420,38.0,73,1.92,198,139,68.7,13,9,16,5,13.2,15,11,3,1,21.4
Guingamp,1,38,38,3420,38.0,59,1.55,169,116,68.0,12,11,15,11,28.9,7,5,2,0,28.6
Lille,4,38,38,3420,38.0,67,1.76,183,124,66.1,10,8,20,5,13.2,8,5,2,1,28.6
Lyon,2,38,38,3420,38.0,43,1.13,147,112,74.1,23,9,6,15,39.5,8,5,2,1,28.6
Marseille,2,38,38,3420,38.0,47,1.24,144,103,70.1,22,11,5,14,36.8,6,4,1,1,20.0
Metz,3,38,38,3417,38.0,76,2.00,213,142,65.7,6,8,24,4,10.5,5,3,2,0,40.0
Monaco,3,38,38,3420,38.0,45,1.18,152,113,73.7,24,8,6,14,36.8,5,5,0,0,0.0
Montpellier,1,38,38,3420,38.0,33,0.87,121,93,76.9,11,18,9,14,36.8,6,5,0,1,0.0
Nantes,2,38,38,3420,38.0,41,1.08,137,99,72.3,14,10,14,12,31.6,4,3,0,1,0.0
Nice,2,38,38,3420,38.0,52,1.37,157,111,68.8,15,9,14,10,26.3,5,3,2,0,40.0
Paris S-G,2,38,38,3420,38.0,29,0.76,122,96,78.7,29,6,3,18,47.4,4,3,1,0,25.0
Rennes,3,38,38,3420,38.0,44,1.16,151,114,74.2,16,10,12,10,26.3,6,5,1,0,16.7
Saint-Étienne,2,38,38,3416,38.0,50,1.32,177,134,75.1,15,10,13,13,34.2,7,6,1,0,14.3
Strasbourg,3,38,38,3420,38.0,67,1.76,177,116,65.5,9,11,18,4,10.5,7,6,1,0,14.3
Toulouse,1,38,38,3420,38.0,54,1.42,161,113,70.2,9,10,19,12,31.6,6,6,0,0,0.0
Troyes,2,38,38,3420,38.0,59,1.55,203,149,72.9,9,6,23,8,21.1,5,4,1,0,20.0
