Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Augsburg,30,34.0,55,1,0,499,383,92,396,293,372,2,2,2,3460,444,476,48.3
Bayern Munich,24,34.0,42,2,2,344,403,92,594,215,320,4,5,1,3349,347,291,54.4
Dortmund,23,34.0,40,3,0,328,447,67,332,291,346,3,5,0,3126,304,288,51.4
Düsseldorf,24,34.0,67,1,0,479,433,52,374,320,391,3,7,0,2812,385,383,50.1
Eint Frankfurt,30,34.0,58,3,2,456,372,82,501,314,386,2,1,1,3706,516,488,51.4
Freiburg,28,34.0,54,3,3,457,443,52,334,281,319,4,7,0,3062,395,470,45.7
Hannover 96,32,34.0,61,4,3,463,447,61,305,297,368,2,5,1,3292,449,480,48.3
Hertha BSC,26,34.0,64,5,3,494,406,80,426,295,345,3,5,2,3202,497,452,52.4
Hoffenheim,29,34.0,67,2,2,522,409,69,480,306,348,5,7,1,3320,342,367,48.2
Leverkusen,21,34.0,50,1,0,400,425,69,452,293,371,3,6,3,3494,404,375,51.9
M'Gladbach,22,34.0,43,0,0,368,384,71,384,261,322,4,2,0,2869,294,392,42.9
Mainz 05,28,34.0,56,0,0,476,386,83,432,286,300,3,4,0,3467,427,416,50.7
Nürnberg,27,34.0,58,4,1,438,415,56,271,290,363,5,2,2,2967,409,468,46.6
RB Leipzig,23,34.0,61,1,0,493,440,89,439,321,394,3,6,1,3778,515,417,55.3
Schalke 04,32,34.0,72,5,1,479,446,86,304,285,385,7,6,1,3203,407,395,50.7
Stuttgart,26,34.0,64,5,2,407,425,69,444,288,382,0,3,4,3366,503,455,52.5
Werder Bremen,24,34.0,61,3,3,479,396,42,458,305,337,4,5,0,3298,421,459,47.8
Wolfsburg,25,34.0,62,0,0,389,482,69,461,291,397,3,6,0,3304,429,418,50.6
