Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Alavés,32,38.0,111,7,3,677,479,61,373,214,370,5,14,0,3348,823,617,57.2
Athletic Club,26,38.0,90,2,0,596,491,84,474,238,353,6,7,2,3458,836,686,54.9
Atlético Madrid,30,38.0,93,3,2,585,559,116,420,221,431,6,4,3,3493,785,695,53.0
Barcelona,28,38.0,92,6,3,467,635,82,362,239,368,3,7,1,3094,431,321,57.3
Betis,27,38.0,108,9,3,537,680,84,454,208,331,6,11,1,2946,559,529,51.4
Celta Vigo,30,38.0,104,6,3,538,609,70,414,263,371,6,5,0,3231,637,653,49.4
Eibar,26,38.0,92,3,2,585,453,73,556,264,370,6,6,1,3933,909,1047,46.5
Espanyol,31,38.0,107,9,6,657,519,64,441,251,402,1,5,2,3591,705,747,48.6
Getafe,30,38.0,135,5,2,762,556,106,558,269,391,4,6,1,4044,896,1021,46.7
Granada,27,38.0,109,1,1,668,536,70,405,214,351,3,5,0,3285,686,798,46.2
Leganés,29,38.0,127,4,2,660,556,75,521,249,389,4,7,1,3523,736,812,47.5
Levante,29,38.0,79,5,4,532,514,81,444,264,319,5,7,2,3117,472,538,46.7
Mallorca,32,38.0,93,5,4,570,607,58,454,242,389,8,16,2,3305,593,674,46.8
Osasuna,31,38.0,110,6,3,615,452,80,533,255,389,2,5,0,3942,841,855,49.6
Real Madrid,26,38.0,82,4,3,545,571,84,608,284,415,11,2,0,3291,489,393,55.4
Real Sociedad,27,38.0,79,2,2,549,570,77,488,226,362,2,9,1,3422,798,647,55.2
Sevilla,26,38.0,97,1,1,585,542,92,634,208,398,4,4,1,3442,733,638,53.5
Valencia,28,38.0,80,8,3,475,607,100,485,221,339,5,8,1,2913,530,529,50.0
Valladolid,30,38.0,84,0,0,556,602,81,450,268,400,6,8,0,3342,565,727,43.7
Villarreal,25,38.0,78,1,0,546,493,71,467,213,358,10,9,2,3171,499,596,45.6
