Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Amiens,26,38.0,59,6,3,552,545,67,387,263,454,1,7,2,3577,553,566,49.4
Angers,24,38.0,49,4,0,470,488,54,367,365,452,10,4,2,3323,453,408,52.6
Bordeaux,33,38.0,74,5,0,580,520,60,407,306,435,3,7,0,3537,495,519,48.8
Caen,26,38.0,79,6,4,588,526,52,368,317,412,3,7,2,3402,547,586,48.3
Dijon,26,38.0,75,7,4,608,469,63,375,307,439,1,2,1,3402,540,572,48.6
Guingamp,30,38.0,58,5,0,509,485,57,502,302,498,4,6,0,3742,612,629,49.3
Lille,25,38.0,70,4,1,512,550,41,370,267,434,10,10,0,3387,425,443,49.0
Lyon,25,38.0,55,3,2,469,508,95,495,315,389,9,4,4,3372,468,391,54.5
Marseille,24,38.0,82,8,1,519,491,55,539,271,444,2,11,0,3582,525,498,51.3
Monaco,42,38.0,91,6,1,558,536,56,497,295,453,5,8,2,3346,470,456,50.8
Montpellier,25,38.0,60,4,1,562,499,59,505,320,424,2,4,2,3588,559,562,49.9
Nantes,33,38.0,72,6,3,510,516,76,502,345,481,7,7,0,3772,497,478,51.0
Nice,30,38.0,72,5,1,443,551,41,367,325,385,7,5,1,3115,354,347,50.5
Nîmes,23,38.0,69,5,2,509,509,47,419,277,462,3,4,0,3606,511,613,45.5
Paris S-G,30,38.0,64,4,0,504,479,97,477,249,421,10,5,3,3170,317,257,55.2
Reims,27,38.0,67,2,0,574,492,83,394,344,453,2,7,2,3430,472,538,46.7
Rennes,28,38.0,68,3,2,516,503,60,454,285,378,9,4,1,3340,467,429,52.1
Saint-Étienne,29,38.0,63,7,4,472,484,63,485,304,427,4,9,1,3471,458,466,49.6
Strasbourg,26,38.0,70,4,1,537,434,44,440,347,384,5,7,1,3329,470,469,50.1
Toulouse,29,38.0,75,5,2,576,494,69,428,300,459,8,5,1,3603,507,473,51.7
