Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Arsenal,29,38.0,49,5,1,412,484,65,519,337,315,5,2,4,3054,515,606,45.9
Aston Villa,24,38.0,71,4,4,516,655,71,529,377,358,6,6,1,3233,781,735,51.5
Brighton,27,38.0,49,6,2,501,424,53,474,395,415,7,7,2,3403,553,605,47.8
Burnley,25,38.0,48,0,0,477,459,83,441,399,320,3,3,1,3592,951,898,51.4
Chelsea,27,38.0,51,3,1,517,464,80,512,444,413,10,4,1,3216,614,550,52.7
Crystal Palace,24,38.0,56,2,1,489,509,68,345,460,386,2,4,0,3130,734,724,50.3
Everton,29,38.0,59,2,0,479,471,65,408,398,426,4,4,1,3195,693,529,56.7
Fulham,28,38.0,67,3,0,570,457,45,490,502,415,5,6,1,3358,668,679,49.6
Leeds United,23,38.0,61,1,0,544,479,77,519,477,493,3,9,2,3464,589,612,49.0
Leicester City,27,38.0,61,0,0,498,513,73,390,434,445,11,4,2,3523,616,626,49.6
Liverpool,28,38.0,40,0,0,448,419,65,571,385,358,4,8,0,3685,567,621,47.7
Manchester City,24,38.0,46,2,0,422,467,59,438,339,365,7,10,1,3064,499,426,53.9
Manchester Utd,29,38.0,64,1,0,533,515,76,444,455,371,9,4,2,3173,553,432,56.1
Newcastle Utd,27,38.0,65,3,2,467,479,59,400,415,363,6,5,3,2877,658,729,47.4
Sheffield Utd,27,38.0,73,3,0,597,355,75,438,440,368,3,4,3,3111,761,852,47.2
Southampton,29,38.0,52,3,0,506,495,79,315,436,455,4,8,1,3549,557,724,43.5
Tottenham,24,38.0,57,2,2,514,570,44,332,370,425,5,10,3,3226,678,670,50.3
West Brom,30,38.0,51,4,0,506,477,76,405,447,398,4,11,3,3287,741,804,48.0
West Ham,24,38.0,50,3,1,456,440,74,500,426,346,3,5,4,3277,768,699,52.4
Wolves,27,38.0,55,1,1,500,471,39,501,388,397,3,8,3,3006,620,595,51.0
