Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Atalanta,27,38.0,62,3,1,492,546,72,500,405,470,3,5,3,3708,486,473,50.7
Bologna,29,38.0,91,6,3,564,555,86,471,312,420,3,4,1,3374,623,613,50.4
Cagliari,30,38.0,94,9,5,608,513,62,491,257,421,3,9,2,3622,711,640,52.6
Chievo,36,38.0,110,7,6,659,507,79,461,362,460,2,4,2,3289,551,583,48.6
Empoli,29,38.0,73,3,1,514,512,78,434,270,372,5,8,2,3082,327,420,43.8
Fiorentina,27,38.0,89,5,2,613,555,48,505,326,404,5,4,3,3649,476,504,48.6
Frosinone,33,38.0,99,2,0,617,573,77,508,341,385,5,5,1,3239,479,596,44.6
Genoa,31,38.0,95,7,2,609,525,67,538,342,470,4,4,2,3549,597,620,49.1
Inter,23,38.0,73,3,2,517,551,67,764,271,401,5,3,2,3406,421,448,48.4
Juventus,31,38.0,76,4,2,525,529,76,621,329,383,5,4,1,3223,446,382,53.9
Lazio,30,38.0,89,4,1,554,443,99,485,367,434,3,6,1,3570,501,436,53.5
Milan,23,38.0,80,5,2,505,544,64,511,286,453,2,5,1,3090,389,404,49.1
Napoli,26,38.0,72,5,3,438,477,89,553,262,446,0,4,0,3278,334,365,47.8
Parma,31,38.0,82,3,2,534,464,94,311,314,366,5,8,4,2944,457,511,47.2
Roma,26,38.0,88,2,2,521,451,51,589,325,351,5,7,1,3382,591,417,58.6
Sampdoria,24,38.0,89,3,3,528,564,74,463,224,411,7,7,1,3578,379,401,48.6
Sassuolo,29,38.0,87,8,3,563,582,76,413,299,378,4,7,2,3196,378,422,47.3
SPAL,28,38.0,112,3,1,551,588,41,552,319,389,7,5,0,3019,469,461,50.4
Torino,25,38.0,88,4,1,682,636,77,622,389,469,4,5,0,3719,686,620,52.5
Udinese,31,38.0,90,4,2,566,516,69,366,343,427,7,7,1,3104,549,532,50.8
