Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
Alavés,30,38.0,10284,14169,72.6,221451,88735,3856,4734,81.5,4231,5262,80.4,2011,3609,55.7,21,25.5,-4.5,245,741,192,75,848
Athletic Club,27,38.0,13694,17675,77.5,286035,98184,5068,5984,84.7,5906,6993,84.5,2509,4021,62.4,31,31.1,-0.1,302,1110,298,77,1289
Atlético Madrid,25,38.0,16924,20602,82.1,321009,104535,7417,8242,90.0,6740,7741,87.1,2378,3816,62.3,54,37.8,+16.2,339,1260,381,61,1477
Barcelona,25,38.0,25414,28517,89.1,439762,125458,12038,12965,92.8,10464,11331,92.3,2411,3255,74.1,51,57.4,-6.4,443,1904,552,57,1796
Betis,25,38.0,15938,19523,81.6,307041,97650,6750,7518,89.8,6471,7406,87.4,2354,3816,61.7,35,29.9,+5.1,333,1013,314,83,1118
Cádiz,34,38.0,8053,11925,67.5,178284,72914,3052,3738,81.6,3123,4036,77.4,1711,3608,47.4,16,19.0,-3.0,193,651,160,64,652
Celta Vigo,30,38.0,15277,19156,79.8,296823,92941,6094,6964,87.5,6651,7654,86.9,2216,3782,58.6,39,33.2,+5.8,253,923,265,50,1148
Eibar,30,38.0,11903,16701,71.3,258509,94793,4489,5358,83.8,4780,6058,78.9,2421,4631,52.3,20,26.2,-6.2,298,1098,263,109,1074
Elche,30,38.0,13601,16952,80.2,275052,94634,5286,5950,88.8,5825,6616,88.0,2210,3724,59.3,25,21.9,+3.1,189,785,154,76,785
Getafe,31,38.0,9017,13413,67.2,191115,80118,3663,4539,80.7,3348,4516,74.1,1773,3711,47.8,14,20.1,-6.1,249,870,239,97,942
Granada,34,38.0,9247,13165,70.2,197930,77964,3470,4204,82.5,3890,4871,79.9,1736,3518,49.3,30,23.8,+6.2,216,787,188,59,855
Huesca,27,38.0,13636,17400,78.4,280112,89385,5017,5749,87.3,6121,7069,86.6,2294,3987,57.5,23,23.8,-0.8,289,847,232,88,957
Levante,29,38.0,14234,17838,79.8,284117,97886,5615,6357,88.3,6065,6971,87.0,2311,3836,60.2,35,28.5,+6.5,275,1052,319,99,1336
Osasuna,28,38.0,10415,14861,70.1,229745,97901,3934,4899,80.3,4139,5375,77.0,2146,3958,54.2,25,23.4,+1.6,257,953,257,96,1029
Real Madrid,30,38.0,20825,24055,86.6,399432,116529,9030,9780,92.3,8317,9124,91.2,3132,4316,72.6,53,46.0,+7.0,437,1573,440,95,1521
Real Sociedad,30,38.0,14976,18740,79.9,292109,93375,5949,6823,87.2,6608,7639,86.5,2152,3537,60.8,39,39.2,-0.2,299,1072,357,60,1271
Sevilla,26,38.0,19429,22824,85.1,390199,112525,7475,8177,91.4,8653,9562,90.5,3020,4429,68.2,36,34.8,+1.2,372,1320,358,121,1299
Valencia,30,38.0,12953,16456,78.7,272791,93374,4709,5439,86.6,5729,6625,86.5,2309,3814,60.5,35,27.2,+7.8,266,962,252,72,1066
Valladolid,32,38.0,11338,15333,73.9,230046,81720,4611,5403,85.3,4573,5515,82.9,1922,3743,51.3,21,22.1,-1.1,253,851,211,77,892
Villarreal,29,38.0,17601,20981,83.9,349216,110193,6871,7685,89.4,7793,8696,89.6,2692,3910,68.8,33,40.5,-7.5,313,1226,378,90,1372
