Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
Amiens,30,38.0,10940,15245,71.8,215927,88753,4274,5201,82.2,4729,5947,79.5,1663,3407,48.8,24,23.5,+0.5,261,860,176,54,1050
Angers,27,38.0,12407,16446,75.4,242773,93492,4953,5833,84.9,5356,6479,82.7,1877,3467,54.1,30,30.8,-0.8,343,1000,235,63,1213
Bordeaux,31,38.0,14055,17958,78.3,271253,94854,5809,6727,86.4,6008,7107,84.5,2008,3485,57.6,36,36.7,-0.7,365,1114,313,94,1303
Caen,26,38.0,11292,15797,71.5,242060,97134,3990,5001,79.8,4820,6061,79.5,2241,4021,55.7,19,28.0,-9.0,349,1124,229,111,1225
Dijon,26,38.0,12787,16820,76.0,271545,96045,4482,5372,83.4,5675,6740,84.2,2417,4112,58.8,36,26.1,+9.9,322,1028,281,87,1159
Guingamp,23,38.0,13225,17284,76.5,252402,94274,5457,6412,85.1,5489,6662,82.4,1940,3469,55.9,27,26.0,+1.0,307,1085,238,83,1212
Lille,25,38.0,15564,19286,80.7,295958,102883,6199,7117,87.1,6881,7911,87.0,2129,3476,61.2,31,30.4,+0.6,354,1220,251,68,1411
Lyon,26,38.0,16846,20273,83.1,323840,102526,6619,7500,88.3,7302,8261,88.4,2523,3660,68.9,62,45.4,+16.6,423,1278,290,78,1373
Marseille,26,38.0,16580,20412,81.2,311663,105583,7041,7926,88.8,6937,8058,86.1,2252,3686,61.1,54,47.0,+7.0,447,1241,328,129,1411
Metz,36,38.0,12195,16396,74.4,252538,94358,4422,5283,83.7,5344,6522,81.9,2177,3929,55.4,27,27.4,-0.4,339,1113,245,97,1216
Monaco,32,38.0,13858,17911,77.4,274468,94915,5150,6044,85.2,6341,7531,84.2,2105,3645,57.8,56,40.2,+15.8,352,1225,287,72,1388
Montpellier,23,38.0,13023,17141,76.0,268322,100006,4886,5740,85.1,5444,6621,82.2,2420,4095,59.1,28,30.6,-2.6,375,1176,267,92,1302
Nantes,30,38.0,11474,15828,72.5,220625,91826,4868,5854,83.2,4554,5718,79.6,1765,3538,49.9,24,28.5,-4.5,356,1023,278,108,1172
Nice,31,38.0,19266,22513,85.6,360758,109677,8028,8849,90.7,8419,9314,90.4,2473,3606,68.6,35,32.6,+2.4,364,1345,222,57,1338
Paris S-G,28,38.0,22004,25194,87.3,385855,118870,10044,10972,91.5,9076,10014,90.6,2354,3237,72.7,75,65.0,+10.0,463,1696,493,82,1853
Rennes,28,38.0,13282,17389,76.4,266285,92182,4988,5880,84.8,5840,6952,84.0,2159,3862,55.9,32,32.1,-0.1,327,1180,206,67,1272
Saint-Étienne,30,38.0,14310,18272,78.3,280924,95924,5402,6348,85.1,6387,7458,85.6,2195,3697,59.4,31,32.9,-1.9,325,1129,249,69,1218
Strasbourg,25,38.0,12322,16465,74.8,256401,92210,4469,5312,84.1,5255,6321,83.1,2358,4148,56.8,26,28.2,-2.2,309,950,252,90,1120
Toulouse,25,38.0,10831,15139,71.5,221452,92052,4072,5044,80.7,4582,5767,79.5,1898,3595,52.8,24,28.3,-4.3,301,1127,236,112,1134
Troyes,25,38.0,11486,15719,73.1,227045,86974,4545,5509,82.5,4696,5836,80.5,1950,3606,54.1,21,24.7,-3.7,266,969,234,81,1120
